,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Nantes,Stredair Appuah,FRA,"FW,MF",19-237,2004,3,65,22,3.3,0.7,0,,0,3,22,5,1.0,0,3,-3,-4.15,-3.73,1.0,1.9,-0.9,-1.3,-0.89
FRA-Ligue 1,2324,Nantes,Tino Kadewere,ZIM,"MF,FW",28-045,1996,5,388,78,19.6,4.3,5,78,1,0,,0,0.8,3,4,-1,-0.23,0.39,5.0,4.6,0.3,0.08,0.64
FRA-Ligue 1,2324,Nantes,Yannis M'Bemba,FRA,DF,22-233,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Alexis Beka Beka,FRA,MF,22-327,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Alexis Claude-Maurice,FRA,MF,25-258,1998,10,227,23,11.5,2.5,1,63,0,9,18,4,1.8,4,2,2,0.79,0.54,4.6,4.3,0.2,0.09,-0.39
FRA-Ligue 1,2324,Nice,Aliou Badara Baldé,SEN,FW,21-069,2002,4,54,14,2.7,0.6,0,,0,4,14,14,1.5,2,0,2,3.33,3.1,1.3,1.2,0.1,0.11,-0.34
FRA-Ligue 1,2324,Nice,Antoine Mendy,FRA,DF,19-268,2004,2,91,46,4.6,1.0,1,84,0,1,7,9,3.0,2,0,2,1.98,1.74,2.3,0.6,1.7,1.7,1.32
FRA-Ligue 1,2324,Nice,Ayoub Amraoui,MAR,DF,19-281,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Badredine Bouanani,ALG,FW,19-073,2004,7,161,23,8.1,1.8,1,59,0,6,17,9,1.0,0,0,0,0.0,-0.35,2.1,1.5,0.6,0.35,-0.09
FRA-Ligue 1,2324,Nice,Bilal Brahimi,ALG,FW,23-342,2000,2,11,6,0.6,0.1,0,,0,2,6,0,1.0,0,0,0,0.0,-0.32,0.5,0.1,0.4,3.64,3.22
FRA-Ligue 1,2324,Nice,Dante,BRA,DF,40-124,1983,21,1853,88,93.6,20.6,21,88,20,0,,0,1.86,21,13,8,0.39,1.1,29.7,18.8,11.0,0.53,1.49
FRA-Ligue 1,2324,Nice,Daouda Traoré,FRA,MF,17-212,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Evann Guessand,FRA,FW,22-233,2001,22,997,45,50.4,11.1,10,78,5,12,18,0,1.77,10,14,-4,-0.36,-1.37,15.5,12.3,3.2,0.29,-0.3
FRA-Ligue 1,2324,Nice,Gaëtan Laborde,FRA,FW,29-292,1994,22,1538,70,77.7,17.1,20,74,3,2,30,0,1.77,16,11,5,0.29,-0.11,23.4,15.6,7.8,0.46,0.09
FRA-Ligue 1,2324,Nice,Hicham Boudaoui,ALG,MF,24-149,1999,18,969,54,48.9,10.8,10,86,6,8,14,0,1.83,11,7,4,0.37,0.1,15.5,8.6,7.0,0.64,0.4
FRA-Ligue 1,2324,Nice,Jean-Clair Todibo,FRA,DF,24-051,1999,18,1587,88,80.2,17.6,18,88,16,0,,0,1.78,17,12,5,0.28,-0.17,23.7,16.6,7.1,0.4,-0.18
FRA-Ligue 1,2324,Nice,Jeremie Boga,CIV,FW,27-047,1997,16,1047,65,52.9,11.6,12,80,2,4,23,0,2.06,13,6,7,0.6,0.6,16.5,9.9,6.5,0.56,0.27
FRA-Ligue 1,2324,Nice,Jordan Lotomba,SUI,DF,25-143,1998,18,1144,64,57.8,12.7,13,80,7,5,20,2,1.72,14,12,2,0.16,-0.38,16.8,13.7,3.0,0.24,-0.47
FRA-Ligue 1,2324,Nice,Khéphren Thuram,FRA,MF,22-330,2001,16,1177,74,59.4,13.1,14,81,8,2,22,0,1.69,11,6,5,0.38,0.16,16.9,12.7,4.2,0.32,-0.29
FRA-Ligue 1,2324,Nice,Marcin Bułka,POL,GK,24-138,1999,22,1980,90,100.0,22.0,22,90,22,0,,0,1.77,22,15,7,0.32,,30.8,21.2,9.6,0.44,
FRA-Ligue 1,2324,Nice,Maxime Dupé,FRA,GK,30-352,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Melvin Bard,FRA,DF,23-105,2000,22,1856,84,93.7,20.6,22,84,15,0,,0,1.77,20,14,6,0.29,-0.43,28.0,20.0,8.0,0.39,-0.77
FRA-Ligue 1,2324,Nice,Mohamed Ali Cho,FRA,"FW,MF",20-031,2004,5,215,43,10.9,2.4,2,73,0,3,23,0,0.8,0,2,-2,-0.84,-1.3,2.3,2.6,-0.3,-0.12,-0.63
FRA-Ligue 1,2324,Nice,Morgan Sanson,FRA,MF,29-185,1994,22,1611,73,81.4,17.9,19,79,6,3,34,0,1.77,17,12,5,0.28,-0.21,23.7,16.1,7.6,0.42,-0.08
FRA-Ligue 1,2324,Nice,Pablo Rosario,NED,"DF,MF",27-043,1997,19,1137,60,57.4,12.6,11,88,9,8,22,2,1.79,13,11,2,0.16,-0.38,17.2,14.7,2.5,0.2,-0.56
FRA-Ligue 1,2324,Nice,Reda Belahyane,FRA,MF,19-263,2004,1,27,27,1.4,0.3,0,,0,1,27,8,0.0,0,0,0,0.0,-0.32,0.5,0.2,0.3,1.06,0.63
FRA-Ligue 1,2324,Nice,Robson Bambu,BRA,DF,26-099,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Romain Perraud,FRA,"DF,FW",26-150,1997,14,175,13,8.8,1.9,0,,0,14,13,4,2.29,3,2,1,0.51,0.22,3.7,3.0,0.7,0.36,-0.08
FRA-Ligue 1,2324,Nice,Salvatore Sirigu,ITA,GK,37-038,1987,0,,,,,0,,0,0,,10,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Sofiane Diop,FRA,FW,23-255,2000,10,499,50,25.2,5.5,6,68,0,4,24,0,2.2,7,3,4,0.72,0.54,8.0,4.7,3.3,0.6,0.21
FRA-Ligue 1,2324,Nice,Teddy Boulhendi,FRA,GK,22-316,2001,0,,,,,0,,0,0,,10,,,,,,,,,,,
FRA-Ligue 1,2324,Nice,Terem Moffi,NGA,FW,24-270,1999,18,1207,67,61.0,13.4,14,80,3,4,23,0,1.94,14,5,9,0.67,0.9,18.2,12.3,5.9,0.44,0.0
FRA-Ligue 1,2324,Nice,Tom Louchet,FRA,"FW,MF",20-291,2003,8,153,19,7.7,1.7,1,66,0,7,12,6,1.25,2,2,0,0.0,-0.34,4.1,1.3,2.8,1.66,1.32
FRA-Ligue 1,2324,Nice,Valentin Rosier,FRA,"DF,MF",27-184,1996,2,35,18,1.8,0.4,0,,0,2,18,1,0.5,0,0,0,0.0,-0.32,0.3,1.1,-0.8,-2.02,-2.5
FRA-Ligue 1,2324,Nice,Youcef Atal,ALG,DF,27-278,1996,6,359,60,18.1,4.0,5,72,1,1,1,2,1.67,3,1,2,0.5,0.22,7.0,1.9,5.1,1.27,1.01
FRA-Ligue 1,2324,Nice,Youssouf Ndayishimiye,BDI,"MF,DF",25-115,1998,19,1607,85,81.2,17.9,19,85,15,0,,0,1.68,17,14,3,0.17,-0.8,24.8,16.4,8.4,0.47,0.17
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,25-107,1998,16,1224,77,61.8,13.6,13,88,11,3,25,2,2.31,33,13,20,1.47,-0.32,29.7,16.6,13.1,0.96,0.07
FRA-Ligue 1,2324,Paris S-G,Alexandre Letellier,FRA,GK,33-070,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22-265,2001,3,259,86,13.1,2.9,2,90,2,1,79,10,2.33,5,2,3,1.04,-0.63,4.6,3.7,0.9,0.31,-0.72
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",21-170,2002,17,861,51,43.5,9.6,11,67,1,6,20,1,2.47,21,8,13,1.36,-0.41,19.3,10.0,9.3,0.98,0.07
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"DF,MF",27-048,1997,16,612,38,30.9,6.8,7,75,0,9,10,5,2.44,14,7,7,1.03,-0.81,11.4,8.9,2.6,0.38,-0.8
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19-207,2004,3,28,9,1.4,0.3,0,,0,3,9,14,3.0,1,0,1,3.21,1.65,1.6,0.7,0.9,3.01,2.1
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,32-163,1991,17,1206,71,60.9,13.4,13,89,12,4,13,3,2.24,27,12,15,1.12,-1.21,25.7,15.0,10.7,0.8,-0.35
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,MF,17-052,2006,1,1,1,0.1,0.0,0,,0,1,1,7,3.0,0,0,0,0.0,-1.59,0.5,0.0,0.5,46.61,45.7
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27-322,1996,17,870,51,43.9,9.7,10,74,6,7,19,1,2.53,22,9,13,1.34,-0.44,22.8,11.7,11.2,1.16,0.4
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24-359,1999,19,1629,86,82.3,18.1,19,86,18,0,,1,2.42,45,15,30,1.66,0.38,38.8,20.8,18.0,1.0,0.35
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22-244,2001,17,803,47,40.6,8.9,9,68,2,8,24,3,2.35,20,8,12,1.34,-0.41,17.8,8.6,9.2,1.04,0.17
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21-244,2002,1,9,9,0.5,0.1,0,,0,1,9,2,1.0,0,0,0,0.0,-1.6,0.1,0.0,0.1,1.09,0.15
FRA-Ligue 1,2324,Paris S-G,Ismaël Gharbi,ESP,MF,19-315,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,37-066,1986,1,90,90,4.5,1.0,1,90,1,0,,12,3.0,3,1,2,2.0,0.43,2.8,1.2,1.6,1.65,0.75
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,25-061,1998,20,1629,81,82.3,18.1,18,87,16,2,35,1,2.45,46,17,29,1.6,0.06,39.3,22.9,16.3,0.9,-0.18
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,31-168,1992,1,9,9,0.5,0.1,0,,0,1,9,12,3.0,0,0,0,0.0,-1.6,0.0,0.2,-0.2,-2.27,-3.22
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",23-000,2001,11,850,77,42.9,9.4,11,77,4,0,,1,2.45,18,5,13,1.38,-0.38,13.7,8.9,4.8,0.51,-0.75
FRA-Ligue 1,2324,Paris S-G,Louis Mouquet,POR,GK,19-213,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,20-087,2003,4,291,73,14.7,3.2,3,90,3,1,21,1,2.5,8,4,4,1.24,-0.41,7.9,5.0,2.9,0.89,-0.05
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,28-005,1996,21,1493,71,75.4,16.6,17,84,10,4,18,1,2.48,41,16,25,1.51,-0.34,36.3,20.3,16.0,0.95,0.08
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22-314,2001,17,1336,79,67.5,14.8,15,82,9,2,56,5,2.47,40,10,30,2.02,1.32,29.2,16.0,13.2,0.89,-0.14
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"FW,MF",28-029,1996,10,592,59,29.9,6.6,7,78,3,3,15,4,2.4,17,7,10,1.52,-0.1,16.1,8.5,7.6,1.15,0.31
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29-281,1994,17,1295,76,65.4,14.4,15,85,11,2,13,2,2.41,34,9,25,1.74,0.42,31.1,15.7,15.3,1.07,0.38
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,29-008,1995,16,1207,75,61.0,13.4,13,88,12,3,21,1,2.31,35,12,23,1.71,0.32,29.3,15.3,14.0,1.05,0.29
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,26-110,1997,9,465,52,23.5,5.2,5,87,4,4,8,8,3.0,17,3,14,2.71,1.46,10.9,6.7,4.2,0.81,-0.16
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26-280,1997,19,1158,61,58.5,12.9,13,76,3,6,28,0,2.42,32,8,24,1.87,0.66,27.3,15.3,12.0,0.93,-0.01
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",25-076,1998,16,794,50,40.1,8.8,8,76,3,8,23,1,2.44,24,6,18,2.04,0.75,20.4,10.5,9.9,1.12,0.32
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,MF,17-278,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,24-006,2000,21,1496,71,75.6,16.6,16,84,9,5,31,1,2.38,39,15,24,1.44,-0.6,35.5,20.0,15.6,0.93,-0.02
FRA-Ligue 1,2324,Paris S-G,Warren Zaire-Emery,FRA,"MF,DF",17-348,2006,19,1491,78,75.3,16.6,16,89,13,3,25,0,2.32,39,13,26,1.57,-0.09,35.3,19.7,15.6,0.94,0.03
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17-280,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Adama Bojang,GAM,FW,19-267,2004,5,39,8,2.0,0.4,0,,0,5,8,8,0.8,2,1,1,2.31,2.45,2.8,1.0,1.8,4.25,4.21
FRA-Ligue 1,2324,Reims,Alexandre Olliero,FRA,GK,28-004,1996,0,,,,,0,,0,0,,22,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Amadou Koné,MLI,MF,18-281,2005,8,168,21,8.5,1.9,1,90,1,7,11,3,2.13,3,1,2,1.07,1.27,4.5,2.8,1.7,0.9,0.85
FRA-Ligue 1,2324,Reims,Amine Salama,FRA,FW,23-216,2000,11,313,28,15.8,3.5,2,62,0,9,21,7,1.18,2,3,-1,-0.29,-0.23,4.0,3.5,0.4,0.12,-0.01
FRA-Ligue 1,2324,Reims,Amir Richardson,MAR,MF,22-026,2002,17,889,52,44.9,9.9,10,74,1,7,22,2,1.24,10,14,-4,-0.4,-0.57,10.9,12.5,-1.7,-0.17,-0.54
FRA-Ligue 1,2324,Reims,Arthur Tchaptchet,FRA,DF,17-285,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Azor Matusiwa,NED,MF,25-297,1998,16,1385,87,69.9,15.4,16,87,13,0,,0,1.56,22,23,-1,-0.06,0.09,19.5,18.4,1.1,0.07,-0.19
FRA-Ligue 1,2324,Reims,Benjamin Stambouli,FRA,MF,33-190,1990,3,149,50,7.5,1.7,2,73,0,1,4,0,0.33,1,4,-3,-1.81,-1.86,1.9,2.5,-0.5,-0.32,-0.49
FRA-Ligue 1,2324,Reims,Check Keita,FRA,DF,20-323,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Emmanuel Agbadou,CIV,DF,26-247,1997,20,1516,76,76.6,16.8,17,88,15,3,8,1,1.55,22,22,0,0.0,0.39,23.7,21.0,2.7,0.16,0.14
FRA-Ligue 1,2324,Reims,Fallou Fall,SEN,DF,19-310,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Ibrahim Diakité,GUI,DF,20-111,2003,5,109,22,5.5,1.2,1,85,0,4,6,5,1.4,1,3,-2,-1.65,-1.65,2.0,1.8,0.2,0.15,0.02
FRA-Ligue 1,2324,Reims,Joseph Okumu,KEN,DF,26-269,1997,18,1543,86,77.9,17.1,17,89,16,1,31,2,1.39,19,22,-3,-0.17,-0.38,21.2,20.4,0.8,0.05,-0.38
FRA-Ligue 1,2324,Reims,Josh Wilson-Esbrand,ENG,"DF,MF",21-055,2002,11,461,42,23.3,5.1,5,72,0,6,17,0,1.64,7,5,2,0.39,0.63,5.4,5.8,-0.4,-0.07,-0.27
FRA-Ligue 1,2324,Reims,Junya Ito,JPN,FW,30-347,1993,19,1690,89,85.4,18.8,19,89,14,0,,0,1.42,23,25,-2,-0.11,-0.11,23.7,20.6,3.1,0.17,0.25
FRA-Ligue 1,2324,Reims,Kamory Doumbia,MLI,MF,21-001,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Keito Nakamura,JPN,FW,23-206,2000,14,758,54,38.3,8.4,9,72,1,5,21,0,1.43,12,11,1,0.12,0.34,11.0,8.9,2.1,0.25,0.19
FRA-Ligue 1,2324,Reims,Killian Prouchet,FRA,DF,19-027,2005,0,,,,,0,,0,0,,8,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Mamadou Diakhon,FRA,FW,18-150,2005,6,143,24,7.2,1.6,1,56,0,5,17,13,1.17,3,1,2,1.26,1.45,2.7,3.1,-0.4,-0.22,-0.38
FRA-Ligue 1,2324,Reims,Marshall Munetsi,ZIM,"MF,FW",27-242,1996,16,1206,75,60.9,13.4,14,82,8,2,31,0,1.19,16,20,-4,-0.3,-0.53,17.1,16.2,0.9,0.06,-0.17
FRA-Ligue 1,2324,Reims,Maxime Busi,BEL,"FW,DF",24-128,1999,3,119,40,6.0,1.3,1,90,1,2,15,3,3.0,3,1,2,1.51,1.71,2.2,2.7,-0.6,-0.42,-0.58
FRA-Ligue 1,2324,Reims,Mohammed Daramy,DEN,FW,22-043,2002,21,1368,65,69.1,15.2,16,78,3,5,23,0,1.48,19,20,-1,-0.07,0.08,22.0,16.4,5.6,0.37,0.76
FRA-Ligue 1,2324,Reims,Nhoa Sangui,FRA,DF,17-357,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Oumar Diakité,CIV,FW,20-061,2003,16,675,42,34.1,7.5,7,73,1,9,18,2,1.31,12,13,-1,-0.13,-0.06,8.3,11.4,-3.1,-0.42,-0.83
FRA-Ligue 1,2324,Reims,Reda Khadra,GER,"FW,MF",22-230,2001,17,667,39,33.7,7.4,7,77,1,10,13,5,1.29,9,13,-4,-0.54,-0.68,9.8,11.4,-1.7,-0.22,-0.54
FRA-Ligue 1,2324,Reims,Samuel Koeberlé,FRA,MF,19-085,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Reims,Sergio Akieme,ESP,DF,26-065,1997,3,208,69,10.5,2.3,2,82,0,1,45,0,0.33,3,2,1,0.43,0.59,3.9,2.1,1.9,0.81,0.75
FRA-Ligue 1,2324,Reims,Teddy Teuma,MLT,MF,30-142,1993,20,1575,79,79.5,17.5,18,85,10,2,25,0,1.5,25,23,2,0.11,1.0,25.6,19.9,5.6,0.32,0.94
FRA-Ligue 1,2324,Reims,Therence Koudou,FRA,"DF,MF",19-068,2004,4,70,18,3.5,0.8,0,,0,4,18,1,0.5,1,0,1,1.29,1.43,1.9,1.2,0.7,0.89,0.79
FRA-Ligue 1,2324,Reims,Thibault De Smet,BEL,"DF,FW",25-259,1998,19,1356,71,68.5,15.1,16,82,10,3,17,1,1.58,19,22,-3,-0.2,-0.34,21.1,17.7,3.4,0.22,0.3
FRA-Ligue 1,2324,Reims,Thomas Foket,BEL,DF,29-147,1994,18,1468,82,74.1,16.3,18,82,8,0,,3,1.56,20,19,1,0.06,0.59,20.2,16.3,3.8,0.23,0.4
FRA-Ligue 1,2324,Reims,Valentin Atangana Edoa,FRA,MF,18-178,2005,8,206,26,10.4,2.3,2,61,0,6,14,3,1.63,2,2,0,0.0,0.1,2.5,2.5,0.0,0.0,-0.15
FRA-Ligue 1,2324,Reims,Yaya Kader Fofana,MLI,"MF,DF",19-252,2004,2,18,9,0.9,0.2,0,,0,2,9,2,0.0,1,1,0,0.0,0.09,1.9,0.9,0.9,4.67,4.58
FRA-Ligue 1,2324,Reims,Yehvann Diouf,FRA,GK,24-095,1999,22,1980,90,100.0,22.0,22,90,22,0,,0,1.41,28,30,-2,-0.09,,29.4,26.5,2.9,0.13,
FRA-Ligue 1,2324,Reims,Yunis Abdelhamid,MAR,DF,36-144,1987,19,1701,90,85.9,18.9,19,90,18,0,,0,1.26,23,29,-6,-0.32,-1.61,24.1,23.8,0.3,0.02,-0.81
FRA-Ligue 1,2324,Rennes,Adrien Truffert,FRA,DF,22-091,2001,21,1465,70,74.0,16.3,17,82,11,4,20,0,1.48,22,16,6,0.37,0.02,20.3,19.2,1.1,0.07,-1.48
FRA-Ligue 1,2324,Rennes,Alidu Seidu,GHA,DF,23-260,2000,3,112,37,5.7,1.2,1,81,0,2,16,0,3.0,3,1,2,1.61,1.32,4.3,1.3,2.9,2.37,2.03
FRA-Ligue 1,2324,Rennes,Amine Gouiri,ALG,"FW,MF",24-003,2000,19,1340,71,67.7,14.9,15,83,6,4,23,2,1.42,22,23,-1,-0.07,-1.33,26.0,16.0,10.0,0.67,0.67
FRA-Ligue 1,2324,Rennes,Arnaud Kalimuendo,FRA,FW,22-030,2002,19,1264,67,63.8,14.0,15,77,2,4,28,0,1.53,22,16,6,0.43,0.18,21.4,13.2,8.2,0.59,0.36
FRA-Ligue 1,2324,Rennes,Arthur Theate,BEL,DF,23-270,2000,19,1659,87,83.8,18.4,19,87,18,0,,2,1.74,32,20,12,0.65,1.77,31.3,21.2,10.1,0.55,0.58
FRA-Ligue 1,2324,Rennes,Azor Matusiwa,NED,MF,25-297,1998,4,217,54,11.0,2.4,2,90,2,2,19,0,3.0,4,2,2,0.83,0.52,4.8,2.0,2.7,1.13,0.76
FRA-Ligue 1,2324,Rennes,Baptiste Santamaria,FRA,MF,28-347,1995,20,1200,60,60.6,13.3,13,82,9,7,19,2,1.65,22,15,7,0.52,0.41,21.4,12.2,9.2,0.69,0.6
FRA-Ligue 1,2324,Rennes,Benjamin Bourigeaud,FRA,"MF,DF",30-036,1994,20,1569,78,79.2,17.4,19,81,8,1,28,0,1.5,28,24,4,0.23,-0.65,26.1,20.7,5.5,0.31,-0.67
FRA-Ligue 1,2324,Rennes,Bertuğ Özgür Yıldırım,TUR,FW,21-222,2002,14,347,25,17.5,3.9,2,77,0,12,16,3,1.5,7,5,2,0.52,0.19,6.4,5.6,0.9,0.22,-0.28
FRA-Ligue 1,2324,Rennes,Birger Meling,NOR,DF,29-064,1994,1,16,16,0.8,0.2,0,,0,1,16,0,3.0,2,0,2,11.25,10.98,1.2,0.2,1.0,5.35,4.93
FRA-Ligue 1,2324,Rennes,Christopher Wooh,CMR,DF,22-154,2001,7,549,78,27.7,6.1,6,84,4,1,45,11,1.14,8,6,2,0.33,-0.05,8.9,6.1,2.9,0.47,0.02
FRA-Ligue 1,2324,Rennes,Djaoui Cissé,FRA,MF,20-019,2004,1,1,1,0.1,0.0,0,,0,1,1,0,3.0,0,0,0,0.0,-0.36,0.0,0.0,0.0,0.0,-0.45
FRA-Ligue 1,2324,Rennes,Désiré Doué,FRA,"MF,FW",18-261,2005,20,795,40,40.2,8.8,7,68,1,13,25,1,1.55,17,6,11,1.25,1.47,15.7,9.0,6.8,0.77,0.52
FRA-Ligue 1,2324,Rennes,Enzo Le Fée,FRA,MF,24-016,2000,18,1248,69,63.0,13.9,16,76,6,2,13,0,1.33,21,19,2,0.14,-0.59,21.2,15.3,5.9,0.43,-0.07
FRA-Ligue 1,2324,Rennes,Fabian Rieder,SUI,MF,22-003,2002,9,254,28,12.8,2.8,2,70,0,7,16,6,1.11,5,5,0,0.0,-0.42,4.8,3.3,1.5,0.53,0.08
FRA-Ligue 1,2324,Rennes,Flavien Tait,FRA,"FW,MF",31-017,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2324,Rennes,Gauthier Gallon,FRA,GK,30-302,1993,0,,,0.0,0.0,0,,0,0,,21,3.0,3,1,2,,,,,,,
FRA-Ligue 1,2324,Rennes,Geoffrey Lembet,CTA,GK,35-149,1988,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Rennes,Guela Doué,FRA,DF,21-125,2002,14,537,38,27.1,6.0,6,71,4,8,14,5,2.0,13,5,8,1.34,1.34,10.9,5.4,5.5,0.92,0.64
FRA-Ligue 1,2324,Rennes,Ibrahim Salah,MAR,"FW,MF",22-173,2001,15,378,25,19.1,4.2,3,60,0,12,16,4,1.93,9,2,7,1.67,1.61,8.5,5.5,2.9,0.7,0.31
FRA-Ligue 1,2324,Rennes,Jeanuël Belocian,FRA,DF,19-002,2005,16,1057,66,53.4,11.7,12,82,6,4,20,5,1.38,17,20,-3,-0.26,-1.33,18.0,12.1,5.9,0.5,0.1
FRA-Ligue 1,2324,Rennes,Jeremy Doku,BEL,FW,21-268,2002,2,111,56,5.6,1.2,1,83,0,1,28,0,2.0,3,1,2,1.62,1.33,3.5,0.6,2.9,2.3,1.95
FRA-Ligue 1,2324,Rennes,Jérémy Jacquet,FRA,MF,18-221,2005,1,5,5,0.3,0.1,0,,0,1,5,4,3.0,0,0,0,0.0,-0.36,0.2,0.1,0.1,1.32,0.87
FRA-Ligue 1,2324,Rennes,Lorenz Assignon,TOG,DF,23-242,2000,14,1011,72,51.1,11.2,12,82,8,2,16,2,1.14,15,14,1,0.09,-0.56,15.6,13.6,1.9,0.17,-0.57
FRA-Ligue 1,2324,Rennes,Lovro Majer,CRO,MF,26-033,1998,1,16,16,0.8,0.2,0,,0,1,16,0,3.0,2,0,2,11.25,10.98,1.2,0.2,1.0,5.35,4.93
FRA-Ligue 1,2324,Rennes,Ludovic Blas,FRA,"FW,MF",26-050,1997,20,1070,54,54.0,11.9,13,74,3,7,16,1,1.4,14,15,-1,-0.08,-0.97,14.9,14.2,0.7,0.06,-0.86
FRA-Ligue 1,2324,Rennes,Mahamadou Nagida,CMR,DF,18-236,2005,3,106,35,5.4,1.2,1,45,0,2,31,7,1.33,1,2,-1,-0.85,-1.28,2.4,0.8,1.6,1.35,0.94
FRA-Ligue 1,2324,Rennes,Martin Terrier,FRA,"FW,MF",26-352,1997,14,874,62,44.1,9.7,11,74,3,3,21,0,1.64,16,9,7,0.72,0.64,15.9,12.6,3.3,0.34,-0.21
FRA-Ligue 1,2324,Rennes,Mathis Lambourde,FRA,FW,18-041,2006,1,10,10,0.5,0.1,0,,0,1,10,5,1.0,1,0,1,9.0,8.68,0.2,0.1,0.1,0.71,0.26
FRA-Ligue 1,2324,Rennes,Matthis Abline,FRA,FW,20-328,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
FRA-Ligue 1,2324,Rennes,Mohamed Jaouab,MAR,DF,21-281,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
FRA-Ligue 1,2324,Rennes,Nemanja Matić,SRB,MF,35-202,1988,13,1027,79,51.9,11.4,11,88,8,2,32,0,1.0,11,14,-3,-0.26,-1.3,14.4,15.2,-0.7,-0.07,-1.08
