,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Marseille,Ulisses Garcia,SUI,DF,28-048,1996,2.7,0,4,2,50.0,1.5,0.75,0.0,0.0,25.6,1,0,0,0.3,0.3,0.07,-0.3,-0.3
FRA-Ligue 1,2324,Marseille,Valentin Rongier,FRA,MF,29-083,1994,9.5,0,10,3,30.0,1.06,0.32,0.0,0.0,19.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6
FRA-Ligue 1,2324,Marseille,Vitinha,POR,FW,23-350,2000,10.3,3,37,9,24.3,3.61,0.88,0.08,0.33,12.1,0,0,0,5.1,5.1,0.14,-2.1,-2.1
FRA-Ligue 1,2324,Metz,Ablie Jallow,GAM,"MF,FW",25-106,1998,7.8,3,16,6,37.5,2.05,0.77,0.13,0.33,21.5,1,1,1,2.0,1.2,0.07,1.0,0.8
FRA-Ligue 1,2324,Metz,Abou Lô,SEN,DF,24-057,2000,0.8,0,1,0,0.0,1.22,0.0,0.0,,7.8,0,0,0,0.1,0.1,0.13,-0.1,-0.1
FRA-Ligue 1,2324,Metz,Alexandre Oukidja,ALG,GK,35-224,1988,22.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Metz,Arthur Atta,FRA,"MF,DF",21-045,2003,2.1,0,2,1,50.0,0.97,0.49,0.0,0.0,22.1,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Metz,Benjamin Tetteh,GHA,"FW,MF",26-233,1997,3.1,0,3,1,33.3,0.97,0.32,0.0,0.0,17.6,0,0,0,0.3,0.3,0.09,-0.3,-0.3
FRA-Ligue 1,2324,Metz,Cheikh Tidiane Sabaly,SEN,"FW,MF",24-361,1999,13.6,3,17,8,47.1,1.25,0.59,0.18,0.38,16.2,0,0,0,2.2,2.2,0.13,0.8,0.8
FRA-Ligue 1,2324,Metz,Christophe Hérelle,MTQ,DF,31-190,1992,13.0,0,4,0,0.0,0.31,0.0,0.0,,21.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1
FRA-Ligue 1,2324,Metz,Danley Jean-Jacques,HAI,MF,23-284,2000,21.2,0,22,3,13.6,1.04,0.14,0.0,0.0,22.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3
FRA-Ligue 1,2324,Metz,Didier Lamkel Zé,CMR,"FW,MF",27-164,1996,3.5,1,8,3,37.5,2.3,0.86,0.13,0.33,14.9,0,0,0,1.4,1.4,0.18,-0.4,-0.4
FRA-Ligue 1,2324,Metz,Fali Candé,GNB,DF,26-035,1998,13.5,0,9,4,44.4,0.67,0.3,0.0,0.0,22.1,2,0,0,0.6,0.6,0.07,-0.6,-0.6
FRA-Ligue 1,2324,Metz,Georges Mikautadze,GEO,FW,23-120,2000,8.5,3,25,12,48.0,2.93,1.41,0.12,0.25,17.8,2,0,0,3.0,3.0,0.12,0.0,0.0
FRA-Ligue 1,2324,Metz,Guillaume Dietsch,FRA,GK,22-317,2001,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Metz,Habib Maïga,CIV,"MF,FW",28-058,1996,1.6,0,2,0,0.0,1.22,0.0,0.0,,9.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1
FRA-Ligue 1,2324,Metz,Ibou Sané,SEN,"MF,FW",18-337,2005,1.2,0,1,0,0.0,0.84,0.0,0.0,,26.6,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Metz,Ismaël Traoré,CIV,DF,37-194,1986,17.7,1,6,1,16.7,0.34,0.06,0.17,1.0,13.0,0,0,0,0.5,0.5,0.08,0.5,0.5
FRA-Ligue 1,2324,Metz,Jean Frederic N'Guessan,CIV,"MF,FW",20-317,2003,1.2,0,3,1,33.3,2.45,0.82,0.0,0.0,28.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2324,Metz,Joel Asoro,SWE,"FW,MF",24-307,1999,9.2,2,6,3,50.0,0.66,0.33,0.33,0.67,15.4,0,0,0,0.6,0.6,0.1,1.4,1.4
FRA-Ligue 1,2324,Metz,Joseph Nduquidi,FRA,"MF,DF",19-120,2004,8.3,0,4,1,25.0,0.48,0.12,0.0,0.0,19.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
FRA-Ligue 1,2324,Metz,Koffi Kouao,CIV,DF,25-284,1998,7.5,0,4,1,25.0,0.53,0.13,0.0,0.0,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2324,Metz,Kévin N'Doram,FRA,MF,28-037,1996,11.8,0,6,1,16.7,0.51,0.08,0.0,0.0,20.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3
FRA-Ligue 1,2324,Metz,Kévin Van Den Kerkhof,ALG,"FW,MF",27-351,1996,12.9,1,13,6,46.2,1.01,0.47,0.08,0.17,19.7,0,0,0,0.7,0.7,0.06,0.3,0.3
FRA-Ligue 1,2324,Metz,Lamine Camara,SEN,MF,20-058,2004,16.9,1,21,5,23.8,1.24,0.3,0.05,0.2,30.2,4,0,1,1.4,0.6,0.03,-0.4,0.4
FRA-Ligue 1,2324,Metz,Malick Mbaye,SEN,"MF,FW",19-328,2004,1.7,0,4,0,0.0,2.35,0.0,0.0,,18.6,0,0,0,0.4,0.4,0.11,-0.4,-0.4
FRA-Ligue 1,2324,Metz,Matthieu Udol,FRA,DF,27-345,1996,21.0,2,11,5,45.5,0.52,0.24,0.18,0.4,12.9,0,0,0,0.8,0.8,0.08,1.2,1.2
FRA-Ligue 1,2324,Metz,Maxime Colin,FRA,DF,32-105,1991,12.0,0,4,0,0.0,0.33,0.0,0.0,,20.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3
FRA-Ligue 1,2324,Metz,Oscar Estupiñan,COL,FW,27-061,1996,2.9,0,6,1,16.7,2.08,0.35,0.0,0.0,15.0,0,0,0,0.5,0.5,0.09,-0.5,-0.5
FRA-Ligue 1,2324,Metz,Papa Amadou Diallo,SEN,"FW,MF",19-248,2004,3.0,0,1,1,100.0,0.34,0.34,0.0,0.0,40.3,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Metz,Sadibou Sané,SEN,DF,19-263,2004,3.6,0,4,0,0.0,1.12,0.0,0.0,,13.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
FRA-Ligue 1,2324,Metz,Simon Elisor,FRA,FW,24-221,1999,8.5,1,13,6,46.2,1.53,0.7,0.08,0.17,16.7,0,0,1,2.3,1.5,0.11,-1.3,-0.5
FRA-Ligue 1,2324,Metz,Youssef Maziz,FRA,"FW,MF",25-249,1998,1.4,1,3,1,33.3,2.18,0.73,0.33,1.0,19.4,0,0,0,0.1,0.1,0.04,0.9,0.9
FRA-Ligue 1,2324,Monaco,Aleksandr Golovin,RUS,"MF,FW",27-274,1996,19.0,6,33,13,39.4,1.74,0.68,0.18,0.46,21.3,4,0,0,2.7,2.7,0.08,3.3,3.3
FRA-Ligue 1,2324,Monaco,Antonin Cartillier,FRA,DF,19-250,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Monaco,Caio Henrique Oliveira Silva,BRA,DF,26-212,1997,5.9,0,4,0,0.0,0.68,0.0,0.0,,21.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1
FRA-Ligue 1,2324,Monaco,Chrislain Matsima,FRA,DF,21-289,2002,3.3,0,2,0,0.0,0.6,0.0,0.0,,8.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1
FRA-Ligue 1,2324,Monaco,Denis Zakaria,SUI,"MF,DF",27-100,1996,18.0,3,18,6,33.3,1.0,0.33,0.17,0.5,21.5,0,0,0,1.0,1.0,0.06,2.0,2.0
FRA-Ligue 1,2324,Monaco,Edan Diop,FRA,"DF,MF",19-184,2004,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Monaco,Eliesse Ben Seghir,FRA,"FW,MF",19-012,2005,1.5,0,5,1,20.0,3.33,0.67,0.0,0.0,17.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3
FRA-Ligue 1,2324,Monaco,Eliot Matazo,BEL,MF,22-013,2002,1.1,0,1,1,100.0,0.88,0.88,0.0,0.0,22.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1
FRA-Ligue 1,2324,Monaco,Folarin Balogun,USA,FW,22-240,2001,12.4,5,42,19,45.2,3.39,1.53,0.12,0.26,14.4,0,0,3,7.2,4.6,0.11,-2.2,0.4
FRA-Ligue 1,2324,Monaco,Guillermo Maripán,CHI,DF,29-298,1994,14.1,1,7,3,42.9,0.5,0.21,0.14,0.33,19.6,0,0,0,0.3,0.3,0.04,0.7,0.7
FRA-Ligue 1,2324,Monaco,Ismail Jakobs,SEN,DF,24-195,1999,13.7,1,19,7,36.8,1.39,0.51,0.05,0.14,15.8,1,0,0,1.2,1.2,0.06,-0.2,-0.2
FRA-Ligue 1,2324,Monaco,Kassoum Ouattara,FRA,DF,19-137,2004,2.9,0,4,3,75.0,1.36,1.02,0.0,0.0,19.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3
FRA-Ligue 1,2324,Monaco,Krépin Diatta,SEN,DF,25-003,1999,7.3,0,8,0,0.0,1.09,0.0,0.0,,22.9,1,0,0,0.5,0.5,0.06,-0.5,-0.5
FRA-Ligue 1,2324,Monaco,Maghnes Akliouche,FRA,"MF,FW",22-003,2002,9.2,5,21,13,61.9,2.29,1.41,0.24,0.38,16.0,0,0,0,3.0,3.0,0.14,2.0,2.0
FRA-Ligue 1,2324,Monaco,Mamadou Coulibaly,FRA,MF,19-313,2004,0.7,0,1,0,0.0,1.36,0.0,0.0,,18.7,0,0,0,0.1,0.1,0.11,-0.1,-0.1
FRA-Ligue 1,2324,Monaco,Mohamed Camara,MLI,MF,24-053,2000,9.3,0,13,3,23.1,1.4,0.32,0.0,0.0,25.0,0,0,0,0.7,0.7,0.05,-0.7,-0.7
FRA-Ligue 1,2324,Monaco,Mohammed Salisu,GHA,DF,24-317,1999,8.0,0,3,1,33.3,0.37,0.12,0.0,0.0,15.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2
FRA-Ligue 1,2324,Monaco,Myron Boadu,NED,FW,23-045,2001,0.9,1,2,2,100.0,2.12,2.12,0.5,0.5,10.7,0,0,0,0.4,0.4,0.22,0.6,0.6
FRA-Ligue 1,2324,Monaco,Philipp Köhn,SUI,GK,25-332,1998,22.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Monaco,Radosław Majecki,POL,GK,24-104,1999,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Monaco,Soungoutou Magassa,FRA,DF,20-143,2003,13.4,0,7,2,28.6,0.52,0.15,0.0,0.0,17.0,0,0,0,0.6,0.6,0.09,-0.6,-0.6
FRA-Ligue 1,2324,Monaco,Takumi Minamino,JPN,"MF,FW",29-043,1995,15.3,6,39,21,53.8,2.55,1.38,0.15,0.29,17.4,0,0,0,4.1,4.1,0.11,1.9,1.9
FRA-Ligue 1,2324,Monaco,Thilo Kehrer,GER,DF,27-160,1996,5.0,0,4,1,25.0,0.8,0.2,0.0,0.0,13.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
FRA-Ligue 1,2324,Monaco,Vanderson,BRA,DF,22-252,2001,13.0,2,21,7,33.3,1.61,0.54,0.1,0.29,22.5,0,0,0,1.6,1.6,0.08,0.4,0.4
FRA-Ligue 1,2324,Monaco,Wilfried Singo,CIV,DF,23-065,2000,16.0,1,13,5,38.5,0.81,0.31,0.08,0.2,15.7,0,0,0,0.5,0.5,0.04,0.5,0.5
FRA-Ligue 1,2324,Monaco,Wissam Ben Yedder,FRA,"FW,MF",33-200,1990,16.1,11,33,19,57.6,2.05,1.18,0.3,0.53,11.6,0,1,1,6.4,5.6,0.17,4.6,4.4
FRA-Ligue 1,2324,Monaco,Youssouf Fofana,FRA,MF,25-049,1999,20.5,1,35,7,20.0,1.71,0.34,0.03,0.14,20.1,0,0,0,2.9,2.9,0.09,-1.9,-1.9
FRA-Ligue 1,2324,Montpellier,Akor Adams,NGA,FW,24-030,2000,18.4,7,60,28,46.7,3.26,1.52,0.12,0.25,14.7,0,0,0,10.1,10.1,0.17,-3.1,-3.1
FRA-Ligue 1,2324,Montpellier,Arnaud Nordin,FRA,"FW,MF",25-256,1998,6.5,3,13,5,38.5,1.99,0.76,0.23,0.6,16.1,0,0,0,1.6,1.6,0.12,1.4,1.4
FRA-Ligue 1,2324,Montpellier,Axel Gueguin,FRA,"DF,FW",18-341,2005,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Becir Omeragic,SUI,DF,22-039,2002,15.7,0,5,3,60.0,0.32,0.19,0.0,0.0,18.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2
FRA-Ligue 1,2324,Montpellier,Benjamin Lecomte,FRA,GK,32-308,1991,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Boubakar Kouyaté,MLI,DF,26-319,1997,15.8,0,14,2,14.3,0.89,0.13,0.0,0.0,11.4,0,0,0,0.8,0.8,0.05,-0.8,-0.8
FRA-Ligue 1,2324,Montpellier,Christopher Jullien,FRA,DF,30-343,1993,8.9,0,6,0,0.0,0.67,0.0,0.0,,8.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5
FRA-Ligue 1,2324,Montpellier,Elye Wahi,FRA,FW,21-057,2003,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Enzo Tchato,CMR,"DF,MF",21-097,2002,4.6,0,3,1,33.3,0.65,0.22,0.0,0.0,21.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
FRA-Ligue 1,2324,Montpellier,Falaye Sacko,MLI,DF,28-303,1995,15.1,0,1,0,0.0,0.07,0.0,0.0,,27.4,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Issiaga Sylla,GUI,"DF,FW",30-058,1994,11.0,1,9,3,33.3,0.82,0.27,0.11,0.33,13.5,0,0,0,1.1,1.1,0.12,-0.1,-0.1
FRA-Ligue 1,2324,Montpellier,Jordan Ferri,FRA,MF,31-353,1992,15.9,0,5,0,0.0,0.31,0.0,0.0,,21.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
FRA-Ligue 1,2324,Montpellier,Joris Chotard,FRA,MF,22-157,2001,21.1,0,18,6,33.3,0.85,0.28,0.0,0.0,26.0,0,0,0,0.5,0.5,0.03,-0.5,-0.5
FRA-Ligue 1,2324,Montpellier,Kelvin Yeboah,ITA,FW,23-298,2000,3.1,0,6,3,50.0,1.96,0.98,0.0,0.0,15.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5
FRA-Ligue 1,2324,Montpellier,Khalil Fayad,FRA,"FW,MF",19-264,2004,9.3,2,13,5,38.5,1.4,0.54,0.15,0.4,17.6,0,0,0,1.5,1.5,0.12,0.5,0.5
FRA-Ligue 1,2324,Montpellier,Lucas Mincarelli,FRA,"DF,MF",20-054,2004,5.2,0,1,1,100.0,0.19,0.19,0.0,0.0,10.7,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Léo Leroy,FRA,MF,24-014,2000,2.4,0,4,0,0.0,1.67,0.0,0.0,,17.2,0,0,0,0.7,0.7,0.18,-0.7,-0.7
FRA-Ligue 1,2324,Montpellier,Mamadou Sakho,FRA,DF,34-015,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Montpellier,Maxime Estève,FRA,DF,21-278,2002,11.1,1,5,2,40.0,0.45,0.18,0.2,0.5,9.7,0,0,0,0.2,0.2,0.05,0.8,0.8
FRA-Ligue 1,2324,Montpellier,Modibo Sagnan,FRA,DF,24-320,1999,3.9,1,3,1,33.3,0.76,0.25,0.33,1.0,19.7,0,0,0,0.7,0.7,0.23,0.3,0.3
FRA-Ligue 1,2324,Montpellier,Musa Al-Taamari,JOR,FW,26-263,1997,15.9,4,41,18,43.9,2.58,1.13,0.1,0.22,17.7,0,0,0,3.4,3.4,0.08,0.6,0.6
FRA-Ligue 1,2324,Montpellier,Sacha Delaye,FRA,"FW,MF",21-311,2002,1.1,0,3,1,33.3,2.78,0.93,0.0,0.0,19.2,0,0,0,0.3,0.3,0.1,-0.3,-0.3
FRA-Ligue 1,2324,Montpellier,Silvan Hefti,SUI,"FW,DF",26-126,1997,4.8,0,3,1,33.3,0.63,0.21,0.0,0.0,14.5,0,0,0,0.2,0.2,0.07,-0.2,-0.2
FRA-Ligue 1,2324,Montpellier,Tanguy Coulibaly,FRA,"MF,FW",23-010,2001,2.1,0,3,1,33.3,1.45,0.48,0.0,0.0,14.9,0,0,0,0.4,0.4,0.14,-0.4,-0.4
FRA-Ligue 1,2324,Montpellier,Théo Sainte-Luce,FRA,DF,25-131,1998,3.8,0,3,1,33.3,0.78,0.26,0.0,0.0,22.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
FRA-Ligue 1,2324,Montpellier,Téji Savanier,FRA,MF,32-068,1991,22.2,5,59,17,28.8,2.66,0.77,0.02,0.06,26.6,20,4,4,5.8,2.7,0.05,-0.8,-1.7
FRA-Ligue 1,2324,Montpellier,Wahbi Khazri,TUN,FW,33-020,1991,9.3,1,29,13,44.8,3.13,1.4,0.03,0.08,22.5,0,0,0,1.9,1.9,0.07,-0.9,-0.9
FRA-Ligue 1,2324,Montpellier,Yanis Ali Issoufou,FRA,FW,17-123,2006,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,
FRA-Ligue 1,2324,Montpellier,Yann Karamoh,FRA,"FW,MF",25-235,1998,0.7,0,3,2,66.7,4.29,2.86,0.0,0.0,20.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1
FRA-Ligue 1,2324,Nantes,Abdoul Kader Bamba,FRA,"MF,FW",29-279,1994,4.8,1,12,4,33.3,2.51,0.84,0.08,0.25,15.1,0,0,0,1.9,1.9,0.17,-0.9,-0.9
FRA-Ligue 1,2324,Nantes,Adel Mahamoud,COM,FW,21-024,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Adson,BRA,"MF,FW",23-145,2000,2.6,0,5,0,0.0,1.89,0.0,0.0,,17.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2
FRA-Ligue 1,2324,Nantes,Alban Lafont,FRA,GK,25-036,1999,16.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Bastien Meupiyou,FRA,DF,17-346,2006,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Bénie Adama Traore,CIV,"FW,MF",21-090,2002,2.1,0,2,1,50.0,0.96,0.48,0.0,0.0,25.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
FRA-Ligue 1,2324,Nantes,Denis Petrić,SRB,GK,35-280,1988,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Douglas,BRA,MF,27-046,1997,15.4,0,14,4,28.6,0.91,0.26,0.0,0.0,19.2,0,0,0,1.1,1.1,0.08,-1.1,-1.1
FRA-Ligue 1,2324,Nantes,Enzo Mongo,FRA,DF,18-326,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Eray Cömert,SUI,DF,26-024,1998,15.7,1,6,2,33.3,0.38,0.13,0.17,0.5,18.8,0,0,0,0.3,0.3,0.06,0.7,0.7
FRA-Ligue 1,2324,Nantes,Fabien Centonze,FRA,DF,28-043,1996,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Florent Mollet,FRA,"MF,FW",32-101,1991,15.4,4,49,22,44.9,3.18,1.43,0.08,0.18,19.2,7,0,0,5.0,5.0,0.1,-1.0,-1.0
FRA-Ligue 1,2324,Nantes,Hugo Boutsingkham,FRA,"MF,FW",21-039,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Ignatius Ganago,CMR,"FW,MF",25-012,1999,2.0,0,6,0,0.0,2.93,0.0,0.0,,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
FRA-Ligue 1,2324,Nantes,Jaouen Hadjam,ALG,DF,20-339,2003,1.2,0,1,0,0.0,0.8,0.0,0.0,,15.3,0,0,0,0.0,0.0,0.04,0.0,0.0
FRA-Ligue 1,2324,Nantes,Jean-Charles Castelletto,CMR,DF,29-033,1995,18.4,2,5,4,80.0,0.27,0.22,0.4,0.5,13.6,0,0,0,0.3,0.3,0.05,1.7,1.7
FRA-Ligue 1,2324,Nantes,Jean-Kevin Duverne,HAI,DF,26-231,1997,12.9,0,4,1,25.0,0.31,0.08,0.0,0.0,20.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3
FRA-Ligue 1,2324,Nantes,Kelvin Amian,FRA,DF,26-020,1998,1.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Lamine Diack,SEN,MF,23-105,2000,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Marcus Coco,FRA,DF,27-249,1996,11.9,1,7,2,28.6,0.59,0.17,0.14,0.5,20.4,0,0,0,0.5,0.5,0.07,0.5,0.5
FRA-Ligue 1,2324,Nantes,Marquinhos,BRA,"FW,MF",20-327,2003,1.7,0,5,1,20.0,2.92,0.58,0.0,0.0,20.7,1,0,0,0.3,0.3,0.05,-0.3,-0.3
FRA-Ligue 1,2324,Nantes,Matthis Abline,FRA,FW,20-337,2003,5.1,1,13,6,46.2,2.57,1.18,0.08,0.17,17.1,0,0,0,0.8,0.8,0.06,0.2,0.2
FRA-Ligue 1,2324,Nantes,Moses Simon,NGA,"FW,MF",28-231,1995,16.9,3,30,12,40.0,1.78,0.71,0.07,0.17,16.9,0,1,1,4.0,3.2,0.11,-1.0,-1.2
FRA-Ligue 1,2324,Nantes,Mostafa Mohamed,EGY,FW,26-092,1997,14.7,7,36,15,41.7,2.45,1.02,0.14,0.33,16.3,4,2,2,4.5,3.0,0.08,2.5,2.0
FRA-Ligue 1,2324,Nantes,Moussa Sissoko,FRA,MF,34-196,1989,10.3,0,6,1,16.7,0.58,0.1,0.0,0.0,16.8,0,0,0,0.7,0.7,0.11,-0.7,-0.7
FRA-Ligue 1,2324,Nantes,Nathan Zeze,FRA,DF,18-255,2005,6.0,0,1,0,0.0,0.17,0.0,0.0,,7.6,0,0,0,0.1,0.1,0.14,-0.1,-0.1
FRA-Ligue 1,2324,Nantes,Nicolas Cozza,FRA,DF,25-051,1999,2.1,0,1,0,0.0,0.47,0.0,0.0,,6.3,0,0,0,0.4,0.4,0.36,-0.4,-0.4
FRA-Ligue 1,2324,Nantes,Nicolas Pallois,FRA,DF,36-162,1987,11.4,0,2,1,50.0,0.18,0.09,0.0,0.0,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0
FRA-Ligue 1,2324,Nantes,Pedro Chirivella,ESP,MF,26-281,1997,21.1,1,15,6,40.0,0.71,0.28,0.07,0.17,19.7,0,0,0,1.4,1.4,0.09,-0.4,-0.4
FRA-Ligue 1,2324,Nantes,Quentin Merlin,FRA,DF,21-288,2002,14.3,0,14,3,21.4,0.98,0.21,0.0,0.0,20.4,0,0,0,0.7,0.7,0.05,-0.7,-0.7
FRA-Ligue 1,2324,Nantes,Ronaël Pierre-Gabriel,FRA,DF,25-260,1998,6.6,0,7,0,0.0,1.05,0.0,0.0,,20.8,0,0,0,0.3,0.3,0.05,-0.3,-0.3
FRA-Ligue 1,2324,Nantes,Rémy Descamps,FRA,GK,27-248,1996,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nantes,Samuel Moutoussamy,COD,MF,27-200,1996,7.9,1,13,4,30.8,1.65,0.51,0.08,0.25,18.0,0,0,0,1.4,1.4,0.11,-0.4,-0.4
FRA-Ligue 1,2324,Nantes,Stredair Appuah,FRA,"FW,MF",19-246,2004,0.7,0,4,0,0.0,5.54,0.0,0.0,,23.3,0,0,0,0.4,0.4,0.11,-0.4,-0.4
FRA-Ligue 1,2324,Nantes,Tino Kadewere,ZIM,"MF,FW",28-054,1996,4.8,1,5,3,60.0,1.04,0.62,0.2,0.33,26.2,0,0,1,1.3,0.5,0.1,-0.3,0.5
FRA-Ligue 1,2324,Nice,Alexis Claude-Maurice,FRA,MF,25-267,1998,3.4,0,12,5,41.7,3.51,1.46,0.0,0.0,24.9,1,0,0,0.5,0.5,0.04,-0.5,-0.5
FRA-Ligue 1,2324,Nice,Aliou Badara Baldé,SEN,FW,21-078,2002,0.6,0,2,2,100.0,3.33,3.33,0.0,0.0,20.4,0,0,0,0.1,0.1,0.05,-0.1,-0.1
FRA-Ligue 1,2324,Nice,Antoine Mendy,FRA,DF,19-277,2004,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nice,Badredine Bouanani,ALG,FW,19-082,2004,1.8,0,4,1,25.0,2.24,0.56,0.0,0.0,16.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2
FRA-Ligue 1,2324,Nice,Bilal Brahimi,ALG,FW,23-351,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2324,Nice,Dante,BRA,DF,40-133,1983,21.6,0,9,3,33.3,0.42,0.14,0.0,0.0,14.4,0,0,0,0.6,0.6,0.07,-0.6,-0.6
FRA-Ligue 1,2324,Nice,Evann Guessand,FRA,FW,22-242,2001,12.1,4,32,14,43.8,2.65,1.16,0.09,0.21,11.7,0,1,1,5.3,4.5,0.14,-1.3,-1.5
FRA-Ligue 1,2324,Nice,Gaëtan Laborde,FRA,FW,29-301,1994,17.3,4,54,17,31.5,3.12,0.98,0.06,0.18,16.5,2,1,2,6.4,4.9,0.09,-2.4,-1.9
FRA-Ligue 1,2324,Nice,Hicham Boudaoui,ALG,MF,24-158,1999,11.4,2,18,4,22.2,1.57,0.35,0.11,0.5,14.4,0,0,0,2.5,2.5,0.14,-0.5,-0.5
FRA-Ligue 1,2324,Nice,Jean-Clair Todibo,FRA,DF,24-060,1999,18.6,0,8,1,12.5,0.43,0.05,0.0,0.0,18.3,0,0,0,0.6,0.6,0.07,-0.6,-0.6
FRA-Ligue 1,2324,Nice,Jeremie Boga,CIV,FW,27-056,1997,12.3,3,18,10,55.6,1.46,0.81,0.17,0.3,17.1,1,0,0,1.9,1.9,0.1,1.1,1.1
