,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,24-052,2000,12.8,4,39,18,46.2,3.04,1.4,0.1,0.22,18.4,0,0,0,2.5,2.5,0.06,1.5,1.5
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,26-115,1997,3.0,0,1,1,100.0,0.34,0.34,0.0,0.0,8.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-017,2002,6.0,0,14,2,14.3,2.35,0.34,0.0,0.0,15.3,0,0,0,1.1,1.1,0.08,-1.1,-1.1
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26-235,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,17.4,0,0,0,2.2,2.2,0.17,-1.2,-1.2
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,26-167,1997,24.7,14,78,26,33.3,3.15,1.05,0.17,0.5,11.9,0,1,1,14.6,13.8,0.18,-0.6,-0.8
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"MF,FW",26-294,1997,0.3,0,4,0,0.0,13.85,0.0,0.0,,14.3,0,0,0,0.3,0.3,0.08,-0.3,-0.3
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,24-012,2000,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,25.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,21-180,2002,25.0,0,6,0,0.0,0.24,0.0,0.0,,8.4,0,0,0,0.5,0.5,0.08,-0.5,-0.5
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-276,1997,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,24-089,1999,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,24.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,22-049,2002,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,29-048,1995,4.3,0,2,0,0.0,0.47,0.0,0.0,,22.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,"MF,FW",24-299,1999,12.1,3,26,8,30.8,2.14,0.66,0.12,0.38,17.8,1,0,0,2.8,2.8,0.11,0.2,0.2
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"FW,MF",31-204,1992,1.2,1,6,2,33.3,5.0,1.67,0.17,0.5,12.5,0,0,0,1.5,1.5,0.25,-0.5,-0.5
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,27-025,1997,18.0,0,5,2,40.0,0.28,0.11,0.0,0.0,23.9,0,0,0,0.1,0.1,0.02,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,25-145,1998,11.2,0,2,1,50.0,0.18,0.09,0.0,0.0,11.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,"FW,MF",24-256,1999,6.5,2,20,6,30.0,3.07,0.92,0.1,0.33,14.0,0,0,0,2.0,2.0,0.1,0.0,0.0
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26-294,1997,18.3,3,7,3,42.9,0.38,0.16,0.43,1.0,14.0,0,0,0,1.0,1.0,0.14,2.0,2.0
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,FW,24-343,1999,18.0,2,40,13,32.5,2.22,0.72,0.05,0.15,19.7,2,0,0,3.4,3.4,0.08,-1.4,-1.4
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,24-055,2000,12.1,0,1,0,0.0,0.08,0.0,0.0,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,20-113,2003,14.6,0,7,1,14.3,0.48,0.07,0.0,0.0,20.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34-224,1989,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27-262,1996,13.4,2,23,5,21.7,1.72,0.37,0.09,0.4,19.9,5,0,0,2.1,2.1,0.09,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,DF",25-229,1998,0.2,0,1,0,0.0,5.0,0.0,0.0,,14.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,29-006,1995,22.0,0,25,11,44.0,1.14,0.5,0.0,0.0,19.7,0,0,0,1.2,1.2,0.05,-1.2,-1.2
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21-263,2002,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,25.3,0,0,0,0.2,0.2,0.03,-0.2,-0.2
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,34-160,1989,14.1,2,10,2,20.0,0.71,0.14,0.2,1.0,12.7,0,0,0,1.5,1.5,0.15,0.5,0.5
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,24-205,1999,14.3,7,38,13,34.2,2.66,0.91,0.11,0.31,17.3,3,3,3,8.5,6.2,0.16,-1.5,-2.2
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29-355,1994,22.8,2,32,6,18.8,1.4,0.26,0.06,0.33,14.6,0,0,0,3.4,3.4,0.1,-1.4,-1.4
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30-275,1993,23.0,1,15,3,20.0,0.65,0.13,0.07,0.33,9.5,0,0,0,1.7,1.7,0.11,-0.7,-0.7
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,26-058,1998,10.3,0,20,7,35.0,1.94,0.68,0.0,0.0,17.6,0,0,0,1.8,1.8,0.09,-1.8,-1.8
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27-349,1996,7.0,4,23,11,47.8,3.29,1.57,0.17,0.36,16.9,5,0,0,3.0,3.0,0.13,1.0,1.0
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",25-128,1998,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-006,2001,10.2,2,23,10,43.5,2.26,0.98,0.09,0.2,13.6,0,0,0,3.2,3.2,0.14,-1.2,-1.2
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",22-093,2001,2.9,1,5,2,40.0,1.75,0.7,0.2,0.5,15.8,0,0,0,0.7,0.7,0.14,0.3,0.3
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25-317,1998,11.4,0,6,1,16.7,0.53,0.09,0.0,0.0,9.0,0,0,0,0.7,0.7,0.11,-0.7,-0.7
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,DF,24-249,1999,13.7,0,5,0,0.0,0.36,0.0,0.0,,15.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30-260,1993,24.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
