,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Wolfsburg,Pavao Pervan,AUT,GK,36-098,1987,4,4,360,4.0,8,2.0,17,10,52.9,0,1,3,0,0.0,0,0,0,0,
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29-289,1994,10,10,900,10.0,12,1.2,31,20,67.7,5,1,4,5,50.0,2,2,0,0,0.0
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23-233,2000,14,14,1260,14.0,11,0.79,54,42,83.3,9,2,3,6,42.9,4,2,1,1,33.3
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,24-100,1999,3,3,270,3.0,1,0.33,7,6,85.7,2,1,0,2,66.7,0,0,0,0,
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32-290,1991,22,22,1980,22.0,22,1.0,78,56,75.6,10,8,4,8,36.4,6,3,1,2,25.0
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27-269,1996,7,7,630,7.0,12,1.71,27,16,55.6,0,2,5,2,28.6,1,0,0,1,
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27-264,1996,18,18,1620,18.0,34,1.89,75,42,57.3,4,5,9,1,5.6,2,2,0,0,0.0
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,22-178,2001,10,10,900,10.0,11,1.1,43,31,76.7,2,4,4,3,30.0,2,1,1,0,50.0
ITA-Serie A,2324,Empoli,Etrit Berisha,ALB,GK,34-346,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3
ITA-Serie A,2324,Empoli,Samuele Perisan,ITA,GK,26-182,1997,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24-334,1999,2,2,180,2.0,6,3.0,13,7,61.5,0,1,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33-348,1990,23,23,2070,23.0,23,1.0,91,67,80.2,11,4,8,6,26.1,6,5,1,0,16.7
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,25-046,1999,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,22-167,2001,24,24,2160,24.0,51,2.12,121,70,61.2,5,5,14,2,8.3,6,4,1,1,20.0
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25-268,1998,24,24,2159,24.0,29,1.21,89,60,68.5,7,9,8,5,20.8,2,1,1,0,50.0
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,31-002,1993,2,1,91,1.0,2,1.98,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,27-364,1996,25,25,2250,25.0,34,1.36,110,77,70.9,4,8,13,5,20.0,2,2,0,0,0.0
ITA-Serie A,2324,Inter,Yann Sommer,SUI,GK,35-064,1988,24,24,2160,24.0,12,0.5,64,51,84.4,20,3,1,15,62.5,4,2,1,1,33.3
ITA-Serie A,2324,Juventus,Mattia Perin,ITA,GK,31-101,1992,2,2,180,2.0,1,0.5,4,3,75.0,1,1,0,1,50.0,0,0,0,0,
ITA-Serie A,2324,Juventus,Wojciech Szczęsny,POL,GK,33-307,1990,23,23,2070,23.0,16,0.7,70,56,77.1,15,5,3,11,47.8,0,0,0,0,
ITA-Serie A,2324,Lazio,Ivan Provedel,ITA,GK,29-339,1994,24,24,2160,24.0,26,1.08,89,63,73.0,11,4,9,8,33.3,2,2,0,0,0.0
ITA-Serie A,2324,Lecce,Wladimiro Falcone,ITA,GK,28-313,1995,25,25,2250,25.0,39,1.56,115,76,69.6,5,9,11,2,8.0,5,4,1,0,20.0
ITA-Serie A,2324,Milan,Antonio Mirante,ITA,GK,40-226,1983,1,1,90,1.0,1,1.0,4,3,75.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2324,Milan,Marco Sportiello,ITA,GK,31-285,1992,2,2,180,2.0,1,0.5,8,7,87.5,2,0,0,1,50.0,0,0,0,0,
ITA-Serie A,2324,Milan,Mike Maignan,FRA,GK,28-231,1995,22,22,1979,22.0,29,1.32,91,62,74.7,14,4,4,7,31.8,6,6,0,0,0.0
ITA-Serie A,2324,Monza,Alessandro Sorrentino,ITA,GK,21-322,2002,5,3,368,4.1,13,3.18,23,10,60.9,0,1,2,0,0.0,4,4,0,0,0.0
ITA-Serie A,2324,Monza,Michele Di Gregorio,ITA,GK,26-207,1997,22,22,1882,20.9,17,0.81,100,82,84.0,8,8,6,9,40.9,2,1,1,0,50.0
ITA-Serie A,2324,Napoli,Alex Meret,ITA,GK,26-334,1997,17,17,1513,16.8,20,1.19,57,36,66.7,7,5,5,4,23.5,2,1,1,0,50.0
ITA-Serie A,2324,Napoli,Nikita Contini Baranovsky,ITA,GK,27-274,1996,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
ITA-Serie A,2324,Napoli,Pierluigi Gollini,ITA,GK,28-338,1995,7,7,630,7.0,8,1.14,24,16,66.7,3,1,3,1,14.3,0,0,0,0,
ITA-Serie A,2324,Roma,Mile Svilar,SRB,GK,24-176,1999,2,2,180,2.0,3,1.5,12,9,75.0,1,0,1,1,50.0,0,0,0,0,
ITA-Serie A,2324,Roma,Rui Patrício,POR,GK,36-004,1988,23,23,2070,23.0,27,1.17,74,49,66.2,11,5,7,6,26.1,3,2,0,1,0.0
ITA-Serie A,2324,Salernitana,Benoît Costil,FRA,GK,36-231,1987,8,8,720,8.0,16,2.0,44,28,68.2,2,2,4,1,12.5,2,2,0,0,0.0
ITA-Serie A,2324,Salernitana,Guillermo Ochoa,MEX,GK,38-221,1985,17,17,1530,17.0,35,2.06,89,55,68.5,0,5,12,1,5.9,7,7,0,0,0.0
ITA-Serie A,2324,Sassuolo,Alessio Cragno,ITA,GK,29-236,1994,2,2,180,2.0,6,3.0,8,3,37.5,1,0,1,0,0.0,1,1,0,0,0.0
ITA-Serie A,2324,Sassuolo,Andrea Consigli,ITA,GK,37-023,1987,22,22,1980,22.0,39,1.77,101,63,65.3,4,5,13,1,4.5,6,4,1,1,20.0
ITA-Serie A,2324,Torino,Luca Gemello,ITA,GK,23-231,2000,1,1,90,1.0,2,2.0,2,0,0.0,0,0,1,0,0.0,0,0,0,0,
ITA-Serie A,2324,Torino,Vanja Milinković-Savić,SRB,GK,26-364,1997,23,23,2070,23.0,18,0.78,89,71,83.1,9,9,5,12,52.2,3,3,0,0,0.0
ITA-Serie A,2324,Udinese,Maduka Okoye,NGA,GK,24-175,1999,8,8,720,8.0,10,1.25,37,27,75.7,2,3,3,3,37.5,1,1,0,0,0.0
ITA-Serie A,2324,Udinese,Marco Silvestri,ITA,GK,32-354,1991,17,17,1530,17.0,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0.0
