,,,,nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2324,Betis,Francisco Barbosa,ESP,GK,24-297,1999,2.5,4,0,1,0,0,3.7,0.26,-0.3,-0.13,10,35,28.6,58,15,39.7,36.2,24,50.0,44.3,51,2,3.9,2,0.8,12.3
ESP-La Liga,2324,Betis,Rui Silva,POR,GK,30-021,1994,16.5,17,5,0,1,0,20.4,0.24,3.4,0.2,78,237,32.9,484,72,36.2,33.2,114,54.4,42.2,228,24,10.5,20,1.21,13.7
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26-234,1997,9.3,15,1,0,1,0,14.5,0.31,-0.5,-0.05,32,127,25.2,183,40,39.3,36.7,80,68.8,49.6,121,5,4.1,7,0.76,12.8
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,37-049,1987,16.7,24,4,0,2,0,27.3,0.34,3.3,0.2,97,258,37.6,349,77,47.0,39.7,128,73.4,53.2,305,19,6.2,18,1.08,13.3
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,30-048,1994,3.1,2,0,0,0,0,2.1,0.18,0.1,0.04,44,102,43.1,75,4,89.3,54.7,37,94.6,63.8,79,5,6.3,0,0.0,7.3
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,31-015,1993,22.9,35,2,0,2,0,35.5,0.32,0.5,0.02,215,535,40.2,626,84,59.6,43.5,187,86.6,62.0,378,37,9.8,27,1.18,11.7
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30-330,1993,26.0,38,4,0,3,0,40.8,0.3,2.8,0.11,255,665,38.3,683,81,70.6,47.1,206,88.8,59.2,312,13,4.2,49,1.88,17.7
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,32-057,1992,26.0,32,2,0,6,0,35.3,0.29,3.3,0.13,105,297,35.4,794,124,25.9,30.1,175,52.0,44.6,383,27,7.0,14,0.54,11.8
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27-275,1996,14.9,29,3,0,2,1,27.8,0.33,-0.2,-0.01,73,186,39.2,388,88,31.4,32.2,110,58.2,44.3,195,6,3.1,13,0.87,12.6
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27-304,1996,7.0,9,0,0,1,0,8.3,0.28,-0.7,-0.1,34,125,27.2,273,49,34.1,34.2,48,66.7,50.1,105,12,11.4,2,0.29,10.5
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35-352,1988,3.1,11,0,0,1,1,7.8,0.46,-2.2,-0.71,14,47,29.8,88,10,37.5,35.7,17,82.4,62.1,36,4,11.1,11,3.54,17.3
ESP-La Liga,2324,Las Palmas,Álvaro Vallés,ESP,GK,26-218,1997,26.0,26,4,0,4,0,34.7,0.29,8.7,0.34,109,346,31.5,1269,135,23.2,28.1,117,44.4,40.1,409,25,6.1,71,2.73,17.7
ESP-La Liga,2324,Mallorca,Predrag Rajković,SRB,GK,28-120,1995,26.0,34,4,1,4,0,33.8,0.3,-0.2,-0.01,240,580,41.4,665,68,62.6,45.4,228,71.9,53.6,389,29,7.5,22,0.85,13.2
ESP-La Liga,2324,Osasuna,Aitor Fernández,ESP,GK,32-301,1991,4.1,7,1,0,1,0,5.5,0.34,-1.5,-0.37,32,71,45.1,115,13,51.3,41.1,17,70.6,50.7,47,1,2.1,5,1.21,21.1
ESP-La Liga,2324,Osasuna,Sergio Herrera,ESP,GK,30-268,1993,21.9,30,0,0,5,0,28.7,0.34,-1.3,-0.06,188,458,41.0,638,60,53.8,41.1,160,71.9,51.7,331,18,5.4,28,1.28,16.7
ESP-La Liga,2324,Rayo Vallecano,Stole Dimitrievski,MKD,GK,30-065,1993,26.0,36,1,1,4,2,36.2,0.3,2.2,0.09,122,432,28.2,643,122,49.5,40.5,203,56.2,46.3,377,13,3.4,27,1.04,15.5
ESP-La Liga,2324,Real Madrid,Andriy Lunin,UKR,GK,25-017,1999,14.0,7,1,0,0,0,12.9,0.32,5.9,0.42,19,53,35.8,344,67,11.9,24.0,76,15.8,27.0,179,18,10.1,15,1.07,13.0
ESP-La Liga,2324,Real Madrid,Kepa Arrizabalaga,ESP,GK,29-148,1994,12.0,9,0,0,0,1,9.3,0.29,1.3,0.1,24,72,33.3,342,54,17.0,26.5,59,23.7,28.9,138,4,2.9,10,0.83,15.5
ESP-La Liga,2324,Real Sociedad,Unai Marrero,ESP,GK,22-142,2001,1.6,3,1,0,0,0,2.9,0.37,-0.1,-0.09,10,25,40.0,37,5,45.9,37.0,8,100.0,63.4,27,1,3.7,4,2.54,20.1
ESP-La Liga,2324,Real Sociedad,Álex Remiro,ESP,GK,28-341,1995,24.4,23,2,0,3,1,23.6,0.26,1.6,0.07,129,295,43.7,745,83,29.7,31.4,111,66.7,51.6,283,14,4.9,41,1.68,17.4
ESP-La Liga,2324,Sevilla,Marko Dmitrović,SRB,GK,32-035,1992,13.0,25,2,0,3,1,22.6,0.3,-1.4,-0.11,52,148,35.1,314,70,32.5,32.7,79,58.2,45.9,152,11,7.2,15,1.15,15.4
ESP-La Liga,2324,Sevilla,Yassine Bounou,MAR,GK,32-329,1991,1.0,2,0,0,0,0,1.1,0.37,-0.9,-0.88,6,16,37.5,24,4,41.7,36.1,7,85.7,57.4,9,0,0.0,0,0.0,
ESP-La Liga,2324,Sevilla,Ørjan Nyland,NOR,GK,33-171,1990,12.0,11,1,0,1,1,11.2,0.22,1.2,0.1,75,223,33.6,285,61,51.2,40.0,96,80.2,58.2,181,11,6.1,11,0.92,13.8
ESP-La Liga,2324,Valencia,Giorgi Mamardashvili,GEO,GK,23-152,2000,25.0,29,2,0,3,1,32.6,0.32,4.6,0.18,116,426,27.2,553,96,57.7,41.8,154,69.5,53.4,361,35,9.7,22,0.88,12.1
ESP-La Liga,2324,Villarreal,Filip Jørgensen,DEN,GK,21-318,2002,26.0,48,4,1,7,1,45.0,0.28,-2.0,-0.08,108,274,39.4,753,130,25.9,30.3,176,44.9,38.9,484,24,5.0,25,0.96,13.5
FRA-Ligue 1,2324,Brest,Grégoire Coudert,FRA,GK,24-331,1999,2.0,0,0,0,0,0,0.3,0.07,0.3,0.13,12,36,33.3,70,10,41.4,37.2,10,70.0,55.4,24,0,0.0,2,0.99,23.0
FRA-Ligue 1,2324,Brest,Marco Bizot,NED,GK,32-355,1991,21.0,18,1,0,2,0,23.2,0.26,5.2,0.25,163,342,47.7,600,82,41.5,36.0,123,75.6,51.0,245,15,6.1,30,1.43,16.4
FRA-Ligue 1,2324,Clermont Foot,Massamba Ndiaye,SEN,GK,22-143,2001,2.0,2,0,0,1,0,3.3,0.27,1.3,0.64,7,22,31.8,69,17,26.1,27.8,11,36.4,31.5,33,3,9.1,1,0.5,11.2
FRA-Ligue 1,2324,Clermont Foot,Mory Diaw,SEN,GK,30-251,1993,21.0,34,3,0,4,1,36.8,0.25,3.8,0.18,150,411,36.5,768,87,43.6,37.0,131,58.0,44.4,299,30,10.0,37,1.76,15.2
