,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21-253,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,37-075,1986,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,25-070,1998,18.8,3,1,1,1,1,3,7,42.9,4,3,0,3,2,5,1,0
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,31-177,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"MF,FW",23-009,2001,9.9,19,10,4,6,9,11,25,44.0,14,6,0,6,4,23,1,0
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,20-096,2003,4.2,14,7,9,5,0,5,16,31.3,11,7,2,5,7,21,4,0
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,28-014,1996,17.4,45,31,24,14,7,26,45,57.8,19,16,4,12,25,70,30,0
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22-323,2001,14.8,63,39,20,32,11,31,63,49.2,32,18,4,14,29,92,16,1
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"FW,MF",28-038,1996,7.1,6,4,2,4,0,1,5,20.0,4,5,0,5,1,7,2,0
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29-290,1994,14.4,17,9,9,7,1,10,15,66.7,5,26,18,8,16,33,50,0
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,29-017,1995,13.4,20,15,14,6,0,13,19,68.4,6,16,9,7,11,31,33,0
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,26-119,1997,5.2,10,7,5,4,1,7,12,58.3,5,10,3,7,10,20,22,0
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21-254,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26-289,1997,13.6,15,12,2,5,8,3,9,33.3,6,9,0,9,4,19,3,1
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",25-085,1998,9.1,6,5,4,2,0,3,10,30.0,7,5,0,5,4,10,7,0
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,24-015,2000,17.6,29,17,9,11,9,14,39,35.9,25,20,5,15,20,49,17,2
FRA-Ligue 1,2324,Paris S-G,Warren Zaire-Emery,FRA,"MF,DF",17-357,2006,16.8,35,19,10,17,8,22,40,55.0,18,26,7,19,14,49,15,1
FRA-Ligue 1,2324,Reims,Adama Bojang,GAM,FW,19-276,2004,0.4,1,0,0,0,1,0,0,,0,1,0,1,1,2,0,0
FRA-Ligue 1,2324,Reims,Amadou Koné,MLI,MF,18-290,2005,1.9,4,3,4,0,0,1,3,33.3,2,1,0,1,2,6,6,0
FRA-Ligue 1,2324,Reims,Amine Salama,FRA,FW,23-225,2000,3.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0
FRA-Ligue 1,2324,Reims,Amir Richardson,MAR,MF,22-035,2002,10.2,21,13,7,11,3,5,13,38.5,8,20,4,16,10,31,22,0
FRA-Ligue 1,2324,Reims,Azor Matusiwa,NED,MF,25-306,1998,15.4,39,27,17,19,3,22,32,68.8,10,21,3,18,33,72,32,1
FRA-Ligue 1,2324,Reims,Benjamin Stambouli,FRA,MF,33-199,1990,1.7,5,4,1,3,1,3,6,50.0,3,3,1,2,2,7,3,0
FRA-Ligue 1,2324,Reims,Emmanuel Agbadou,CIV,DF,26-256,1997,17.8,40,26,20,16,4,27,39,69.2,12,23,8,15,34,74,67,1
FRA-Ligue 1,2324,Reims,Ibrahim Diakité,GUI,DF,20-120,2003,1.2,1,0,0,1,0,0,1,0.0,1,3,0,3,2,3,5,0
FRA-Ligue 1,2324,Reims,Joseph Okumu,KEN,DF,26-278,1997,17.1,40,26,26,12,2,21,35,60.0,14,19,14,5,32,72,103,2
FRA-Ligue 1,2324,Reims,Josh Wilson-Esbrand,ENG,"DF,MF",21-064,2002,5.1,5,4,2,3,0,2,8,25.0,6,5,2,3,6,11,7,0
FRA-Ligue 1,2324,Reims,Junya Ito,JPN,"FW,MF",30-356,1993,19.8,21,11,7,10,4,6,25,24.0,19,14,1,13,7,28,6,0
FRA-Ligue 1,2324,Reims,Keito Nakamura,JPN,FW,23-215,2000,9.1,21,10,8,7,6,12,25,48.0,13,13,2,11,5,26,4,0
FRA-Ligue 1,2324,Reims,Mamadou Diakhon,FRA,FW,18-159,2005,1.6,2,1,1,1,0,2,6,33.3,4,0,0,0,1,3,1,0
FRA-Ligue 1,2324,Reims,Marshall Munetsi,ZIM,"MF,FW",27-251,1996,14.4,31,19,9,19,3,18,38,47.4,20,13,3,10,9,40,19,0
FRA-Ligue 1,2324,Reims,Maxime Busi,BEL,"FW,DF",24-137,1999,1.3,1,0,0,1,0,0,2,0.0,2,4,0,4,2,3,1,0
FRA-Ligue 1,2324,Reims,Mohammed Daramy,DEN,FW,22-052,2002,15.5,7,6,2,3,2,4,14,28.6,10,4,1,3,4,11,4,0
FRA-Ligue 1,2324,Reims,Oumar Diakité,CIV,FW,20-070,2003,8.4,11,6,6,3,2,4,12,33.3,8,6,0,6,3,14,4,0
FRA-Ligue 1,2324,Reims,Reda Khadra,GER,"FW,MF",22-239,2001,8.2,6,3,1,2,3,3,10,30.0,7,4,0,4,2,8,5,0
FRA-Ligue 1,2324,Reims,Sergio Akieme,ESP,DF,26-074,1997,2.3,4,1,1,3,0,3,4,75.0,1,1,0,1,2,6,1,0
FRA-Ligue 1,2324,Reims,Teddy Teuma,MLT,MF,30-151,1993,18.2,43,31,15,19,9,20,46,43.5,26,28,4,24,17,60,5,0
FRA-Ligue 1,2324,Reims,Therence Koudou,FRA,"DF,MF",19-077,2004,1.0,0,0,0,0,0,0,0,,0,2,2,0,1,1,5,0
FRA-Ligue 1,2324,Reims,Thibault De Smet,BEL,"DF,FW",25-268,1998,16.1,48,29,30,14,4,29,47,61.7,18,18,2,16,16,64,39,0
FRA-Ligue 1,2324,Reims,Thomas Foket,BEL,DF,29-156,1994,17.0,27,13,18,6,3,17,37,45.9,20,30,9,21,20,47,27,0
FRA-Ligue 1,2324,Reims,Valentin Atangana Edoa,FRA,MF,18-187,2005,2.4,10,8,2,5,3,3,5,60.0,2,2,0,2,4,14,3,0
FRA-Ligue 1,2324,Reims,Yaya Kader Fofana,MLI,"MF,DF",19-261,2004,0.2,2,2,0,1,1,0,0,,0,0,0,0,1,3,0,0
FRA-Ligue 1,2324,Reims,Yehvann Diouf,FRA,GK,24-104,1999,23.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,13,2
FRA-Ligue 1,2324,Reims,Yunis Abdelhamid,MAR,DF,36-153,1987,19.9,39,25,18,18,3,16,30,53.3,14,32,20,12,24,63,59,0
FRA-Ligue 1,2324,Rennes,Adrien Truffert,FRA,DF,22-100,2001,16.6,31,17,19,6,6,21,33,63.6,12,18,4,14,10,41,33,0
FRA-Ligue 1,2324,Rennes,Alidu Seidu,GHA,DF,23-269,2000,2.2,5,1,5,0,0,4,6,66.7,2,2,1,1,3,8,4,0
FRA-Ligue 1,2324,Rennes,Amine Gouiri,ALG,"FW,MF",24-012,2000,15.8,16,9,4,8,4,7,14,50.0,7,14,0,14,9,25,7,0
FRA-Ligue 1,2324,Rennes,Arnaud Kalimuendo,FRA,FW,22-039,2002,14.8,3,2,1,1,1,2,4,50.0,2,8,2,6,4,7,3,0
FRA-Ligue 1,2324,Rennes,Arthur Theate,BEL,DF,23-279,2000,18.4,18,10,12,5,1,15,25,60.0,10,32,20,12,23,41,72,1
FRA-Ligue 1,2324,Rennes,Azor Matusiwa,NED,MF,25-306,1998,2.4,2,0,1,1,0,1,1,100.0,0,3,0,3,4,6,4,0
FRA-Ligue 1,2324,Rennes,Baptiste Santamaria,FRA,MF,28-356,1995,14.3,38,27,16,16,6,22,32,68.8,10,7,2,5,22,60,22,0
FRA-Ligue 1,2324,Rennes,Benjamin Bourigeaud,FRA,"MF,DF",30-045,1994,17.8,24,14,12,6,6,10,30,33.3,20,22,2,20,17,41,25,0
FRA-Ligue 1,2324,Rennes,Bertuğ Özgür Yıldırım,TUR,FW,21-231,2002,3.9,6,4,2,2,2,3,7,42.9,4,6,0,6,0,6,4,0
FRA-Ligue 1,2324,Rennes,Birger Meling,NOR,DF,29-073,1994,0.2,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
FRA-Ligue 1,2324,Rennes,Christopher Wooh,CMR,DF,22-163,2001,7.1,6,4,5,1,0,1,2,50.0,1,11,5,6,15,21,31,0
FRA-Ligue 1,2324,Rennes,Djaoui Cissé,FRA,MF,20-028,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Rennes,Désiré Doué,FRA,"MF,FW",18-270,2005,9.4,22,12,6,10,6,6,18,33.3,12,18,0,18,9,31,5,0
FRA-Ligue 1,2324,Rennes,Enzo Le Fée,FRA,MF,24-025,2000,13.9,37,26,16,15,6,19,37,51.4,18,16,3,13,14,51,17,0
FRA-Ligue 1,2324,Rennes,Fabian Rieder,SUI,MF,22-012,2002,2.8,6,4,1,3,2,3,6,50.0,3,1,1,0,2,8,1,0
FRA-Ligue 1,2324,Rennes,Guela Doué,FRA,DF,21-134,2002,7.0,18,14,8,8,2,13,21,61.9,8,8,1,7,10,28,34,0
FRA-Ligue 1,2324,Rennes,Ibrahim Salah,MAR,"FW,MF",22-182,2001,4.9,15,7,5,6,4,11,18,61.1,7,4,0,4,8,23,5,0
FRA-Ligue 1,2324,Rennes,Jeanuël Belocian,FRA,DF,19-011,2005,12.7,26,16,19,7,0,18,22,81.8,4,13,9,4,12,38,38,0
FRA-Ligue 1,2324,Rennes,Jeremy Doku,BEL,FW,21-277,2002,1.2,2,2,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
FRA-Ligue 1,2324,Rennes,Jérémy Jacquet,FRA,MF,18-230,2005,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0
FRA-Ligue 1,2324,Rennes,Lorenz Assignon,TOG,DF,23-251,2000,11.2,24,12,12,8,4,9,24,37.5,15,9,4,5,9,33,27,1
FRA-Ligue 1,2324,Rennes,Lovro Majer,CRO,MF,26-042,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2324,Rennes,Ludovic Blas,FRA,"FW,MF",26-059,1997,12.9,17,9,8,9,0,9,22,40.9,13,13,1,12,5,22,6,0
FRA-Ligue 1,2324,Rennes,Mahamadou Nagida,CMR,DF,18-245,2005,1.2,1,1,0,0,1,0,2,0.0,2,2,1,1,4,5,0,0
FRA-Ligue 1,2324,Rennes,Martin Terrier,FRA,"FW,MF",26-361,1997,10.0,7,4,2,3,2,2,7,28.6,5,13,2,11,6,13,10,0
FRA-Ligue 1,2324,Rennes,Mathis Lambourde,FRA,FW,18-050,2006,0.1,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0
FRA-Ligue 1,2324,Rennes,Nemanja Matić,SRB,MF,35-211,1988,11.4,19,10,7,9,3,9,12,75.0,3,15,7,8,27,46,19,0
FRA-Ligue 1,2324,Rennes,Steve Mandanda,FRA,GK,38-337,1985,23.0,2,0,2,0,0,2,3,66.7,1,0,0,0,0,2,4,0
FRA-Ligue 1,2324,Rennes,Warmed Omari,FRA,DF,23-311,2000,16.1,25,15,18,5,2,13,23,56.5,10,25,17,8,25,50,56,2
FRA-Ligue 1,2324,Strasbourg,Abakar Sylla,CIV,DF,21-065,2002,13.6,48,21,27,16,5,25,31,80.6,6,29,7,22,21,69,49,2
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,22-058,2002,4.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,2
FRA-Ligue 1,2324,Strasbourg,Andrey Santos,BRA,MF,19-301,2004,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
FRA-Ligue 1,2324,Strasbourg,Dilane Bakwa,FRA,"FW,MF",21-186,2002,15.1,24,18,9,11,4,8,32,25.0,24,14,0,14,17,41,7,0
FRA-Ligue 1,2324,Strasbourg,Dion Moise Sahi,CIV,"MF,FW",22-070,2001,5.5,4,4,1,2,1,0,2,0.0,2,10,1,9,1,5,6,0
FRA-Ligue 1,2324,Strasbourg,Eduard Sobol,UKR,DF,28-314,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
FRA-Ligue 1,2324,Strasbourg,Emanuel Emegha,NED,FW,21-025,2003,15.2,6,4,2,2,2,3,7,42.9,4,8,2,6,2,8,16,0
FRA-Ligue 1,2324,Strasbourg,Frederic Guilbert,FRA,"DF,MF",29-066,1994,17.7,59,35,32,22,5,30,49,61.2,19,26,4,22,51,110,51,1
FRA-Ligue 1,2324,Strasbourg,Gerzino Nyamsi,FRA,DF,27-037,1997,12.1,18,14,13,5,0,12,18,66.7,6,19,11,8,10,28,43,0
FRA-Ligue 1,2324,Strasbourg,Ibrahima Sissoko,MLI,MF,26-124,1997,11.6,30,21,9,16,5,17,23,73.9,6,13,5,8,12,42,18,0
FRA-Ligue 1,2324,Strasbourg,Ismaël Doukouré,FRA,"MF,DF",20-219,2003,14.4,19,13,4,13,2,12,18,66.7,6,13,5,8,17,36,14,2
FRA-Ligue 1,2324,Strasbourg,Jean-Ricner Bellegarde,FRA,"MF,FW",25-246,1998,3.0,5,3,3,2,0,3,6,50.0,3,4,0,4,4,9,0,0
FRA-Ligue 1,2324,Strasbourg,Jessy Deminguet,FRA,"MF,FW",26-052,1998,7.6,14,9,6,8,0,6,18,33.3,12,8,0,8,8,22,4,1
FRA-Ligue 1,2324,Strasbourg,Junior Mwanga,FRA,MF,20-293,2003,14.0,34,17,19,10,5,11,21,52.4,10,16,5,11,15,49,15,0
FRA-Ligue 1,2324,Strasbourg,Jérémy Sebas,MTQ,FW,20-320,2003,0.7,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0
FRA-Ligue 1,2324,Strasbourg,Kévin Gameiro,FRA,"FW,MF",36-295,1987,9.9,10,10,5,3,2,2,14,14.3,12,6,0,6,2,12,2,0
FRA-Ligue 1,2324,Strasbourg,Lebo Mothiba,RSA,FW,28-031,1996,6.9,5,2,1,4,0,3,4,75.0,1,6,1,5,0,5,11,0
FRA-Ligue 1,2324,Strasbourg,Lucas Perrin,FRA,DF,25-101,1998,21.0,37,24,27,10,0,23,39,59.0,16,28,19,9,18,55,79,0
FRA-Ligue 1,2324,Strasbourg,Marvin Senaya,TOG,DF,23-031,2001,15.9,53,36,30,19,4,31,49,63.3,18,28,10,18,33,86,46,0
FRA-Ligue 1,2324,Strasbourg,Matz Sels,BEL,GK,32-002,1992,19.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,13,1
FRA-Ligue 1,2324,Strasbourg,Mohamed Bechikh,FRA,"FW,MF",18-230,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Strasbourg,Mouhamadou Diarra,FRA,"MF,FW",20-056,2004,16.4,15,11,3,12,0,4,24,16.7,20,17,4,13,12,27,8,0
FRA-Ligue 1,2324,Strasbourg,Rabby Nzingoula,FRA,"FW,MF",18-095,2005,0.4,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,0,0
FRA-Ligue 1,2324,Strasbourg,Saidou Sow,GUI,DF,21-239,2002,1.5,7,4,4,3,0,3,3,100.0,0,1,1,0,3,10,9,0
FRA-Ligue 1,2324,Strasbourg,Sanjin Prcić,BIH,MF,30-100,1993,1.0,0,0,0,0,0,0,1,0.0,1,2,1,1,3,3,1,0
FRA-Ligue 1,2324,Strasbourg,Steven Baseya,FRA,DF,19-045,2005,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,1,0
FRA-Ligue 1,2324,Strasbourg,Thomas Delaine,FRA,"DF,MF",31-341,1992,13.4,21,9,15,5,1,15,26,57.7,11,6,2,4,15,36,34,0
FRA-Ligue 1,2324,Strasbourg,Ângelo Borges,BRA,"FW,MF",19-069,2004,12.2,24,11,9,7,8,11,31,35.5,20,18,0,18,9,33,2,0
FRA-Ligue 1,2324,Toulouse,Aron Dønnum,NOR,"FW,MF",25-314,1998,13.1,11,7,2,6,3,4,17,23.5,13,10,0,10,8,19,15,1
FRA-Ligue 1,2324,Toulouse,Christian Mawissa,FRA,DF,18-316,2005,7.0,15,10,9,3,3,7,11,63.6,4,11,6,5,13,28,26,1
FRA-Ligue 1,2324,Toulouse,Cristian Cásseres Jr.,VEN,MF,24-039,2000,15.3,53,27,23,25,5,23,44,52.3,21,25,3,22,21,74,26,1
FRA-Ligue 1,2324,Toulouse,Denis Genreau,AUS,"FW,MF",24-283,1999,4.8,11,8,5,6,0,8,13,61.5,5,8,1,7,4,15,8,0
FRA-Ligue 1,2324,Toulouse,Fares Chaïbi,ALG,"FW,MF",21-092,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
FRA-Ligue 1,2324,Toulouse,Frank Magri,CMR,"FW,MF",24-177,1999,13.2,16,10,4,8,4,9,13,69.2,4,11,2,9,4,20,12,0
FRA-Ligue 1,2324,Toulouse,Gabriel Suazo,CHI,DF,26-203,1997,17.5,45,20,28,14,3,24,56,42.9,32,28,3,25,16,61,26,0
FRA-Ligue 1,2324,Toulouse,Gelabert,ESP,"MF,FW",23-120,2000,8.4,14,8,5,6,3,7,20,35.0,13,8,2,6,5,19,8,0
FRA-Ligue 1,2324,Toulouse,Guillaume Restes,FRA,GK,18-354,2005,23.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,14,1
FRA-Ligue 1,2324,Toulouse,Ibrahim Cissoko,NED,"FW,MF",20-339,2003,2.4,3,2,2,1,0,1,3,33.3,2,3,0,3,1,4,0,0
FRA-Ligue 1,2324,Toulouse,Kévin Keben Biakolo,CMR,DF,20-033,2004,2.4,3,2,3,0,0,2,3,66.7,1,4,0,4,3,6,10,0
FRA-Ligue 1,2324,Toulouse,Logan Costa,CPV,DF,22-333,2001,18.4,27,17,19,8,0,9,18,50.0,9,32,20,12,14,41,83,0
FRA-Ligue 1,2324,Toulouse,Mamady Bangré,BFA,"FW,MF",22-258,2001,1.1,4,2,2,2,0,3,4,75.0,1,0,0,0,4,8,3,0
FRA-Ligue 1,2324,Toulouse,Mikkel Desler,DEN,DF,29-009,1995,14.1,13,8,6,6,1,6,12,50.0,6,25,9,16,14,27,31,0
FRA-Ligue 1,2324,Toulouse,Moussa Diarra,MLI,DF,23-110,2000,9.4,21,8,10,10,1,8,19,42.1,11,21,12,9,14,35,32,0
FRA-Ligue 1,2324,Toulouse,Naatan Skyttä,FIN,"MF,FW",21-297,2002,1.1,4,4,2,1,1,1,1,100.0,0,0,0,0,0,4,0,0
FRA-Ligue 1,2324,Toulouse,Niklas Schmidt,GER,MF,25-364,1998,11.9,31,20,11,17,3,13,27,48.1,14,13,7,6,4,35,12,0
FRA-Ligue 1,2324,Toulouse,Rasmus Nicolaisen,DEN,DF,26-349,1997,23.0,32,21,28,4,0,16,26,61.5,10,36,26,10,26,58,118,0
FRA-Ligue 1,2324,Toulouse,Shavy Babicka,GAB,FW,23-272,2000,3.0,6,5,2,4,0,1,4,25.0,3,3,0,3,0,6,2,0
FRA-Ligue 1,2324,Toulouse,Stijn Spierings,NED,MF,27-353,1996,11.0,35,28,17,13,5,22,37,59.5,15,14,2,12,22,57,22,0
FRA-Ligue 1,2324,Toulouse,Thijs Dallinga,NED,FW,23-209,2000,17.4,21,11,6,7,8,6,11,54.5,5,7,2,5,2,23,23,0
FRA-Ligue 1,2324,Toulouse,Vincent Sierro,SUI,MF,28-143,1995,16.4,26,12,9,13,4,17,50,34.0,33,24,9,15,21,47,24,0
FRA-Ligue 1,2324,Toulouse,Waren Kamanzi,NOR,"DF,FW",23-109,2000,7.2,23,16,10,10,3,10,17,58.8,7,6,2,4,4,27,24,0
FRA-Ligue 1,2324,Toulouse,Yanis Begraoui,MAR,"FW,MF",22-239,2001,3.3,5,3,1,3,1,3,9,33.3,6,4,0,4,5,10,5,0
FRA-Ligue 1,2324,Toulouse,Yann Gboho,FRA,"MF,FW",23-045,2001,3.7,6,2,3,3,0,5,8,62.5,3,4,0,4,1,7,0,0
FRA-Ligue 1,2324,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24-010,2000,4.2,1,1,0,0,1,1,3,33.3,2,3,0,3,1,2,1,0
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",20-173,2003,10.7,17,11,4,10,3,7,21,33.3,14,18,1,17,7,24,12,0
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,DF",25-051,1999,1.9,4,4,1,2,1,2,3,66.7,1,5,0,5,1,5,0,0
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21-364,2002,5.0,0,0,0,0,0,0,1,0.0,1,6,1,5,1,1,3,0
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,GER,MF,26-119,1997,21.1,29,19,13,13,3,18,35,51.4,17,30,6,24,19,48,19,0
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"MF,FW",25-340,1998,22.2,20,12,5,13,2,11,30,36.7,19,18,1,17,7,27,20,0
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25-338,1998,23.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,15,5
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",26-172,1997,11.8,22,10,8,8,6,14,24,58.3,10,22,1,21,10,32,15,0
GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,FW",26-342,1997,12.5,22,12,15,5,2,12,26,46.2,14,26,5,21,11,33,31,0
GER-Bundesliga,2324,Augsburg,Irvin Cardona,FRA,"MF,DF",26-204,1997,0.6,1,1,0,0,1,1,3,33.3,2,1,0,1,0,1,1,0
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32-233,1991,18.0,24,16,8,14,2,11,15,73.3,4,30,15,15,24,48,75,0
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,DF,28-315,1995,14.7,37,27,18,13,6,15,24,62.5,9,22,8,14,17,54,33,0
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26-290,1997,5.2,17,8,9,5,3,8,16,50.0,8,6,1,5,6,23,7,0
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,DF,27-180,1996,13.2,34,22,15,14,5,11,24,45.8,13,16,3,13,15,49,33,0
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,DF",27-320,1996,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,24-019,2000,6.5,10,6,6,4,0,4,11,36.4,7,9,8,1,9,19,25,1
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25-293,1998,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0
GER-Bundesliga,2324,Augsburg,Nathanael Mbuku,FRA,FW,21-349,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,26-044,1998,12.8,29,21,11,18,0,11,28,39.3,17,13,9,4,15,44,22,0
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,26-172,1997,21.5,22,12,11,8,3,9,17,52.9,8,18,13,5,34,56,123,1
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GER,DF,24-192,1999,4.1,9,5,5,3,1,5,6,83.3,1,7,4,3,8,17,16,0
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"MF,FW",27-176,1996,1.1,2,2,0,0,2,0,1,0.0,1,1,0,1,0,2,1,0
GER-Bundesliga,2324,Augsburg,Phillip Tietz,GER,FW,26-234,1997,17.0,14,9,7,6,1,4,9,44.4,5,13,1,12,5,19,29,0
GER-Bundesliga,2324,Augsburg,Robert Gumny,POL,DF,25-269,1998,5.3,6,5,1,3,2,1,5,20.0,4,13,5,8,7,13,15,0
GER-Bundesliga,2324,Augsburg,Ruben Vargas,SUI,"MF,FW",25-207,1998,14.3,14,5,5,7,2,5,15,33.3,10,14,4,10,5,19,11,0
GER-Bundesliga,2324,Augsburg,Sven Michel,GER,"FW,MF",33-228,1990,5.3,5,3,1,1,3,2,6,33.3,4,1,0,1,0,5,4,0
GER-Bundesliga,2324,Augsburg,Tim Breithaupt,GER,MF,22-021,2002,2.9,5,3,4,1,0,4,6,66.7,2,4,2,2,1,6,5,0
GER-Bundesliga,2324,Bayern Munich,Aleksandar Pavlovic,GER,MF,19-301,2004,7.1,20,13,8,11,1,12,21,57.1,9,8,0,8,8,28,5,0
GER-Bundesliga,2324,Bayern Munich,Alphonso Davies,CAN,DF,23-118,2000,15.7,34,17,20,12,2,19,37,51.4,18,20,1,19,19,53,31,1
GER-Bundesliga,2324,Bayern Munich,Bouna Sarr,SEN,DF,32-028,1992,1.2,2,0,1,1,0,2,2,100.0,0,3,0,3,0,2,1,0
GER-Bundesliga,2324,Bayern Munich,Bryan Zaragoza,ESP,MF,22-309,2001,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,0,0
GER-Bundesliga,2324,Bayern Munich,Dayot Upamecano,FRA,DF,25-124,1998,15.3,28,17,16,10,2,14,25,56.0,11,11,4,7,15,43,40,2
GER-Bundesliga,2324,Bayern Munich,Eric Dier,ENG,DF,30-044,1994,4.6,1,0,0,1,0,0,0,,0,6,5,1,6,7,18,0
GER-Bundesliga,2324,Bayern Munich,Eric Maxim Choupo-Moting,CMR,"MF,FW",34-342,1989,4.7,10,8,4,4,2,2,3,66.7,1,1,0,1,2,12,4,0
GER-Bundesliga,2324,Bayern Munich,Frans Krätzig,GER,DF,21-045,2003,0.6,2,0,2,0,0,1,2,50.0,1,0,0,0,0,2,0,0
GER-Bundesliga,2324,Bayern Munich,Harry Kane,ENG,FW,30-215,1993,22.6,8,4,3,3,2,4,14,28.6,10,7,2,5,4,12,13,0
GER-Bundesliga,2324,Bayern Munich,Jamal Musiala,GER,"MF,FW",21-002,2003,14.8,35,24,7,19,9,13,28,46.4,15,22,1,21,13,48,4,0
GER-Bundesliga,2324,Bayern Munich,Joshua Kimmich,GER,MF,29-020,1995,14.2,26,19,9,12,5,14,22,63.6,8,20,3,17,12,38,12,1
GER-Bundesliga,2324,Bayern Munich,Kim Min-jae,KOR,DF,27-105,1996,16.7,24,15,13,7,4,9,18,50.0,9,22,12,10,38,62,48,1
GER-Bundesliga,2324,Bayern Munich,Kingsley Coman,FRA,FW,27-260,1996,11.5,11,6,5,3,3,8,16,50.0,8,14,1,13,2,13,5,0
GER-Bundesliga,2324,Bayern Munich,Konrad Laimer,AUT,"DF,MF",26-277,1997,14.4,39,23,16,14,9,17,32,53.1,15,32,4,28,15,54,10,1
