,,,,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31-261,1992,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-051,1990,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20-243,2003,0.3,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30-352,1993,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26-297,1997,10.2,23,11,8,13,2,9,23,39.1,14,13,0,13,9,32,4,0
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30-265,1993,8.5,13,9,13,0,0,7,12,58.3,5,7,2,5,10,23,27,0
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32-305,1991,13.2,18,9,12,1,5,9,18,50.0,9,15,7,8,12,30,31,0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,20-191,2003,6.5,15,9,5,7,3,7,14,50.0,7,10,4,6,11,26,11,1
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,24-052,2000,12.8,14,10,6,4,4,6,16,37.5,10,19,1,18,4,18,9,0
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,26-115,1997,3.0,4,4,3,1,0,2,6,33.3,4,6,3,3,4,8,11,1
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-017,2002,6.0,25,14,15,5,5,9,17,52.9,8,8,2,6,8,33,17,0
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26-235,1997,3.1,5,4,2,1,2,2,4,50.0,2,3,0,3,2,7,2,0
