,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,"MF,DF",25-229,1998,0.2,14,13,1,1,0,0,2,0,0,0,0,0,10,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,29-006,1995,22.0,864,810,49,13,13,13,42,1,16,15,0,0,653,5,17
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,DF,21-263,2002,7.9,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,34-160,1989,14.1,667,594,72,15,0,3,5,56,0,0,0,0,511,1,6
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,24-205,1999,14.3,528,448,74,22,6,2,73,9,42,17,9,3,366,6,16
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29-355,1994,22.8,1221,1168,47,18,6,8,18,18,0,0,0,0,965,6,14
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30-275,1993,23.0,1207,1159,46,22,0,6,7,23,0,0,0,0,1006,2,13
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,26-058,1998,10.3,338,331,6,2,2,0,13,4,0,0,0,0,261,1,7
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27-349,1996,7.0,196,188,5,0,1,0,13,3,1,0,0,0,110,3,10
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,"DF,FW",25-128,1998,0.3,19,17,2,0,0,0,6,0,2,2,0,0,10,0,1
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,DF",23-006,2001,10.2,272,265,6,0,0,4,34,5,0,0,0,0,193,1,5
ENG-Premier League,2324,Brentford,Kevin Schade,GER,"FW,MF",22-093,2001,2.9,71,69,0,0,0,0,4,0,0,0,0,0,43,2,3
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25-317,1998,11.4,522,472,50,8,1,9,11,42,0,0,0,0,391,0,9
