,,,,nation,pos,age,born,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,,,,,,,,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
league,season,team,player,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Lille,Tiago Fonseca Morais,POR,FW,20-178,2003,0.5,15,13,2,0,0,0,1,0,2,1,0,0,11,0,0
FRA-Ligue 1,2324,Lille,Tiago santos,POR,DF,21-220,2002,16.4,888,715,172,39,1,4,51,133,0,0,0,0,732,1,16
FRA-Ligue 1,2324,Lille,Trévis Dago,CIV,MF,19-038,2005,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA-Ligue 1,2324,Lille,Yusuf Yazıcı,TUR,"MF,FW",27-030,1997,12.1,396,370,23,6,1,1,12,0,6,1,4,0,301,3,10
FRA-Ligue 1,2324,Lorient,Adrian Grbić,AUT,FW,27-208,1996,0.3,13,10,3,1,0,0,1,0,0,0,0,0,7,0,0
FRA-Ligue 1,2324,Lorient,Aurélien Pelon,FRA,DF,19-298,2004,1.0,33,33,0,0,0,0,0,0,0,0,0,0,26,0,0
FRA-Ligue 1,2324,Lorient,Ayman Kari,FRA,"MF,FW",19-101,2004,4.9,190,190,0,0,2,0,1,0,0,0,0,0,167,0,5
FRA-Ligue 1,2324,Lorient,Badredine Bouanani,ALG,MF,19-082,2004,0.4,12,12,0,0,0,0,0,0,0,0,0,0,8,0,1
FRA-Ligue 1,2324,Lorient,Bamba Dieng,SEN,FW,23-342,2000,5.0,89,74,15,0,0,0,3,0,0,0,0,0,69,0,2
FRA-Ligue 1,2324,Lorient,Bamo Meïté,CIV,DF,22-087,2001,1.6,56,54,2,1,0,0,0,1,0,0,0,0,48,0,1
FRA-Ligue 1,2324,Lorient,Bassirou Ndiaye,SEN,FW,22-013,2002,1.7,,,,,,,1,,,,,,,,
FRA-Ligue 1,2324,Lorient,Benjamin Mendy,FRA,"DF,FW",29-226,1994,4.0,248,179,68,20,0,0,59,34,14,6,7,0,159,1,5
FRA-Ligue 1,2324,Lorient,Bonke Innocent,NGA,MF,28-039,1996,2.3,96,95,1,1,0,0,0,0,0,0,0,0,91,0,1
FRA-Ligue 1,2324,Lorient,Darlin Yongwa,CMR,DF,23-159,2000,8.5,424,353,68,8,1,0,47,59,1,0,1,0,294,3,19
FRA-Ligue 1,2324,Lorient,Dembo Sylla,GUI,DF,21-110,2002,0.5,22,18,4,0,0,1,4,4,0,0,0,0,19,0,1
FRA-Ligue 1,2324,Lorient,Eli Junior Kroupi,FRA,FW,17-250,2006,9.8,185,156,28,2,3,0,12,3,9,3,3,0,149,1,5
FRA-Ligue 1,2324,Lorient,Formose Mendy,SEN,DF,23-057,2001,8.6,454,388,66,25,0,13,11,40,0,0,0,0,355,0,7
FRA-Ligue 1,2324,Lorient,Gedeon Kalulu,COD,DF,26-183,1997,9.0,425,366,57,7,0,5,14,50,0,0,0,0,352,2,11
FRA-Ligue 1,2324,Lorient,Gino Caoki,FRA,MF,19-226,2004,0.1,4,3,1,1,0,0,1,0,0,0,0,0,2,0,0
FRA-Ligue 1,2324,Lorient,Ibrahima Koné,MLI,FW,24-257,1999,0.4,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
FRA-Ligue 1,2324,Lorient,Igor Carioca,BRA,"DF,MF",27-191,1996,2.9,162,134,28,4,1,1,10,24,0,0,0,0,115,0,15
FRA-Ligue 1,2324,Lorient,Imran Louza,MAR,MF,24-303,1999,3.6,228,197,31,18,1,3,14,2,7,3,2,0,189,0,0
FRA-Ligue 1,2324,Lorient,Jean-Victor Makengo,FRA,"MF,FW",25-261,1998,5.3,273,267,6,4,0,2,5,1,1,0,0,0,240,0,6
FRA-Ligue 1,2324,Lorient,Joel Mugisha,NOR,"DF,FW",21-108,2002,2.0,49,41,8,2,0,0,12,1,5,2,3,0,33,0,2
FRA-Ligue 1,2324,Lorient,Joel Mvuka,NOR,MF,21-098,2002,0.2,,,,,,,0,,,,,,,,
FRA-Ligue 1,2324,Lorient,Julien Laporte,FRA,DF,30-116,1993,13.1,689,658,28,12,0,3,1,1,0,0,0,0,609,3,4
FRA-Ligue 1,2324,Lorient,Julien Ponceau,FRA,MF,23-092,2000,16.4,788,758,27,14,2,3,19,7,6,2,4,0,671,3,20
FRA-Ligue 1,2324,Lorient,Laurent Abergel,FRA,MF,31-027,1993,22.8,1340,1266,70,58,2,10,22,7,0,0,0,0,1150,4,15
FRA-Ligue 1,2324,Lorient,Loris Mouyokolo,FRA,DF,22-282,2001,1.0,55,54,1,1,0,0,0,0,0,0,0,0,48,0,1
FRA-Ligue 1,2324,Lorient,Montassar Talbi,TUN,DF,25-278,1998,20.5,1028,993,30,19,0,4,2,4,0,0,0,0,873,5,6
FRA-Ligue 1,2324,Lorient,Muhamad Bamba,CIV,MF,22-080,2001,3.7,,,,,,,2,,,,,,,,
FRA-Ligue 1,2324,Lorient,Nathaniel Adjei,GHA,DF,21-191,2002,4.1,223,206,17,12,0,1,0,5,0,0,0,0,188,0,2
FRA-Ligue 1,2324,Lorient,Pablo Pagis,FRA,MF,21-061,2002,1.8,61,58,3,0,0,1,2,0,3,1,0,0,46,0,0
FRA-Ligue 1,2324,Lorient,Panos Katseris,GRE,DF,22-238,2001,3.6,144,111,33,2,0,0,7,31,0,0,0,0,112,0,8
FRA-Ligue 1,2324,Lorient,Romain Faivre,FRA,"MF,FW",25-229,1998,16.1,601,546,54,19,2,2,38,4,25,11,3,0,495,1,9
FRA-Ligue 1,2324,Lorient,Royce Openda Owaga,GAB,FW,21-313,2002,0.2,,,,,,,0,,,,,,,,
FRA-Ligue 1,2324,Lorient,Siriné Doucouré,MLI,FW,21-326,2002,4.7,94,87,7,0,2,1,1,0,0,0,0,0,71,0,1
FRA-Ligue 1,2324,Lorient,Souleymane Touré,FRA,DF,20-337,2003,16.0,894,842,51,20,1,3,1,0,0,0,0,0,787,1,6
FRA-Ligue 1,2324,Lorient,Théo Le Bris,FRA,"DF,MF",21-150,2002,13.0,504,461,41,1,0,1,22,35,3,2,0,0,384,2,11
FRA-Ligue 1,2324,Lorient,Tiemoué Bakayoko,FRA,MF,29-195,1994,6.9,256,247,9,9,1,0,0,0,0,0,0,0,215,0,6
FRA-Ligue 1,2324,Lorient,Tosin Aiyegun,BEN,"MF,FW",25-247,1998,8.0,152,144,6,0,0,0,7,0,0,0,0,0,116,2,1
FRA-Ligue 1,2324,Lorient,Vincent Le Goff,FRA,"DF,MF",34-136,1989,6.0,322,280,40,3,1,0,18,34,3,1,2,0,252,2,7
FRA-Ligue 1,2324,Lorient,Yvon Mvogo,SUI,GK,29-267,1994,23.0,770,579,191,55,0,1,0,0,0,0,0,0,587,0,1
FRA-Ligue 1,2324,Lyon,Adryelson,BRA,"DF,FW",25-342,1998,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
FRA-Ligue 1,2324,Lyon,Ainsley Maitland-Niles,ENG,"DF,MF",26-183,1997,8.6,444,391,53,3,1,2,12,47,3,1,0,0,368,0,7
FRA-Ligue 1,2324,Lyon,Alexandre Lacazette,FRA,FW,32-276,1991,18.5,397,362,34,0,4,5,7,2,0,0,0,0,290,1,8
FRA-Ligue 1,2324,Lyon,Amin Sarr,SWE,"FW,MF",22-354,2001,1.1,20,18,2,0,0,0,1,0,0,0,0,0,13,0,1
FRA-Ligue 1,2324,Lyon,Anthony Lopes,POR,GK,33-150,1990,20.0,656,473,183,49,1,0,0,0,0,0,0,0,477,0,0
FRA-Ligue 1,2324,Lyon,Bradley Barcola,FRA,FW,21-179,2002,3.0,90,90,0,0,0,1,0,0,0,0,0,0,70,0,2
FRA-Ligue 1,2324,Lyon,Chaim El Djebali,TUN,MF,20-021,2004,0.1,9,9,0,0,0,0,1,0,0,0,0,0,7,0,1
FRA-Ligue 1,2324,Lyon,Clinton Mata,ANG,DF,31-113,1992,17.1,1109,977,132,25,0,1,32,107,0,0,0,0,930,0,22
FRA-Ligue 1,2324,Lyon,Corentin Tolisso,FRA,MF,29-209,1994,12.5,872,828,40,29,5,5,20,9,0,0,0,0,732,4,16
FRA-Ligue 1,2324,Lyon,Dejan Lovren,CRO,DF,34-238,1989,8.0,440,418,22,10,0,2,3,1,0,0,0,0,371,0,5
FRA-Ligue 1,2324,Lyon,Diego Moreira,POR,"FW,MF",19-206,2004,3.0,108,105,2,1,0,0,6,1,0,0,0,0,74,1,3
FRA-Ligue 1,2324,Lyon,Duje Ćaleta-Car,CRO,DF,27-164,1996,12.1,617,604,12,10,0,6,0,1,0,0,0,0,540,1,1
FRA-Ligue 1,2324,Lyon,Ernest Nuamah,GHA,"FW,MF",20-119,2003,14.2,496,461,34,12,0,5,58,4,17,13,1,0,373,1,21
FRA-Ligue 1,2324,Lyon,Gift Orban,NGA,"FW,MF",21-226,2002,2.0,47,46,1,1,0,1,3,0,0,0,0,0,31,0,3
FRA-Ligue 1,2324,Lyon,Henrique,BRA,DF,29-309,1994,3.7,220,187,33,3,0,0,8,30,0,0,0,0,189,0,6
FRA-Ligue 1,2324,Lyon,Jake O'Brien,IRL,DF,,,15.3,889,855,33,22,0,6,1,7,0,0,0,0,783,1,3
FRA-Ligue 1,2324,Lyon,Jeffinho,BRA,"FW,MF",24-060,1999,3.4,129,124,5,2,0,1,2,1,2,0,0,0,95,0,7
FRA-Ligue 1,2324,Lyon,Johann Lepenant,FRA,MF,21-129,2002,2.8,186,179,6,5,1,0,2,1,0,0,0,0,165,1,4
FRA-Ligue 1,2324,Lyon,Mahamadou Diawara,FRA,MF,19-011,2005,3.8,140,137,2,2,0,0,2,0,0,0,0,0,118,1,4
FRA-Ligue 1,2324,Lyon,Malick Fofana,BEL,"FW,DF",18-334,2005,1.8,51,49,2,0,0,0,4,2,0,0,0,0,40,0,3
FRA-Ligue 1,2324,Lyon,Mama Samba Baldé,GNB,"FW,MF",28-114,1995,4.5,90,88,2,0,1,0,4,0,0,0,0,0,54,0,4
FRA-Ligue 1,2324,Lyon,Mamadou Sarr,FRA,DF,18-183,2005,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
FRA-Ligue 1,2324,Lyon,Maxence Caqueret,FRA,MF,24-013,2000,22.6,1391,1296,91,39,5,6,73,6,43,9,25,0,1139,4,31
FRA-Ligue 1,2324,Lyon,Mohamed El Arouch,FRA,FW,19-328,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FRA-Ligue 1,2324,Lyon,Nemanja Matić,SRB,MF,35-211,1988,3.9,280,269,10,10,0,1,3,0,0,0,0,0,229,1,14
FRA-Ligue 1,2324,Lyon,Nicolás Tagliafico,ARG,DF,31-181,1992,17.2,771,663,103,10,2,0,25,92,1,0,0,0,648,5,15
FRA-Ligue 1,2324,Lyon,Orel Mangala,BEL,MF,25-347,1998,2.1,100,98,2,2,0,2,2,0,0,0,0,0,85,0,2
FRA-Ligue 1,2324,Lyon,Paul Akouokou,CIV,MF,26-070,1997,3.4,185,183,2,2,0,0,0,0,0,0,0,0,158,0,2
FRA-Ligue 1,2324,Lyon,Rayan Cherki,FRA,"FW,MF",20-195,2003,14.1,749,677,69,14,12,19,42,8,35,10,8,0,584,3,22
FRA-Ligue 1,2324,Lyon,Rémy Riou,FRA,GK,36-206,1987,3.0,104,69,35,12,0,0,0,0,0,0,0,0,80,0,0
FRA-Ligue 1,2324,Lyon,Sael Kumbedi,FRA,DF,18-339,2005,10.2,586,503,82,9,1,0,27,73,0,0,0,0,466,1,10
FRA-Ligue 1,2324,Lyon,Saïd Benrahma,ALG,"FW,MF",28-202,1995,1.9,70,64,5,0,0,0,16,0,5,4,0,0,50,1,3
FRA-Ligue 1,2324,Lyon,Sinaly Diomande,CIV,DF,22-325,2001,9.9,570,554,15,13,1,3,1,2,0,0,0,0,521,1,3
FRA-Ligue 1,2324,Lyon,Skelly Alvero,FRA,MF,21-300,2002,4.7,193,190,2,2,1,1,2,0,0,0,0,0,159,1,2
FRA-Ligue 1,2324,Lyon,Tino Kadewere,ZIM,"FW,MF",28-054,1996,3.3,111,104,6,0,0,0,2,2,0,0,0,0,89,1,1
FRA-Ligue 1,2324,Marseille,Amine Harit,MAR,"MF,FW",26-255,1997,13.8,702,656,40,10,8,0,28,9,19,6,7,0,583,6,9
FRA-Ligue 1,2324,Marseille,Azzedine Ounahi,MAR,MF,23-315,2000,10.8,641,628,10,9,3,2,10,1,0,0,0,0,567,3,11
FRA-Ligue 1,2324,Marseille,Bamo Meïté,CIV,DF,22-087,2001,4.4,327,311,16,7,0,0,2,5,0,0,0,0,301,0,3
FRA-Ligue 1,2324,Marseille,Bilal Nadir,FRA,"MF,FW",20-092,2003,1.3,47,46,1,0,0,0,0,1,0,0,0,0,41,0,3
FRA-Ligue 1,2324,Marseille,Chancel Mbemba,COD,DF,29-204,1994,18.0,976,918,56,25,0,0,11,18,0,0,0,0,850,2,5
FRA-Ligue 1,2324,Marseille,Emran Soglo,ENG,"MF,DF",18-232,2005,1.2,39,38,1,0,0,0,5,1,0,0,0,0,31,0,1
FRA-Ligue 1,2324,Marseille,Faris Pemi Moumbagna,CMR,FW,23-242,2000,2.3,39,35,4,0,0,0,1,0,0,0,0,0,30,0,0
FRA-Ligue 1,2324,Marseille,François Mughe,CMR,"MF,DF",19-257,2004,2.0,45,41,4,0,0,0,7,4,0,0,0,0,29,0,5
FRA-Ligue 1,2324,Marseille,Geoffrey Kondogbia,CTA,MF,31-013,1993,10.9,626,613,7,5,2,8,2,1,1,0,0,0,543,6,5
FRA-Ligue 1,2324,Marseille,Iliman Ndiaye,SEN,FW,23-359,2000,13.0,412,409,3,1,2,0,14,1,0,0,0,0,335,0,18
FRA-Ligue 1,2324,Marseille,Ismaila Sarr,SEN,"FW,MF",26-003,1998,11.1,323,317,5,0,0,1,22,4,0,0,0,0,250,1,11
FRA-Ligue 1,2324,Marseille,Jean Onana,CMR,MF,24-051,2000,4.2,324,315,8,8,1,2,1,0,0,0,0,0,285,1,4
FRA-Ligue 1,2324,Marseille,Joaquín Correa,ARG,"FW,MF",29-199,1994,4.0,137,133,3,1,1,0,0,2,0,0,0,0,110,1,8
FRA-Ligue 1,2324,Marseille,Jonathan Clauss,FRA,DF,31-156,1992,17.7,1234,980,246,33,1,4,123,172,41,0,38,0,926,8,33
FRA-Ligue 1,2324,Marseille,Jordan Veretout,FRA,MF,30-364,1993,15.5,880,796,80,26,5,4,79,7,47,22,17,0,686,4,17
FRA-Ligue 1,2324,Marseille,Leonardo Balerdi,ARG,DF,25-033,1999,16.4,1095,1059,34,32,0,6,1,2,0,0,0,0,946,2,3
FRA-Ligue 1,2324,Marseille,Luis Henrique,BRA,FW,22-076,2001,2.2,136,132,2,0,0,2,8,2,0,0,0,0,109,2,2
FRA-Ligue 1,2324,Marseille,Mattéo Guendouzi,FRA,MF,24-320,1999,0.2,12,10,2,1,0,0,1,0,1,0,0,0,9,0,1
FRA-Ligue 1,2324,Marseille,Michael Amir Murillo,PAN,DF,28-017,1996,7.1,359,310,49,7,0,1,8,42,0,0,0,0,292,0,5
FRA-Ligue 1,2324,Marseille,Noam Mayoka-Tika,BEL,MF,20-118,2003,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
FRA-Ligue 1,2324,Marseille,Pape Gueye,SEN,MF,25-035,1999,0.6,50,49,1,1,0,0,1,0,0,0,0,0,42,0,2
FRA-Ligue 1,2324,Marseille,Pau López,ESP,GK,29-077,1994,21.7,762,615,146,51,0,0,0,0,0,0,0,0,605,1,0
FRA-Ligue 1,2324,Marseille,Pierre-Emerick Aubameyang,GAB,FW,34-255,1989,18.8,437,402,33,1,3,0,27,3,0,0,0,0,306,2,21
FRA-Ligue 1,2324,Marseille,Quentin Merlin,FRA,DF,21-288,2002,2.3,138,114,24,4,1,1,14,17,3,0,3,0,110,0,2
FRA-Ligue 1,2324,Marseille,Renan Lodi,BRA,DF,25-326,1998,13.7,748,603,141,32,0,2,70,94,15,1,14,0,579,4,18
FRA-Ligue 1,2324,Marseille,Rubén Blanco,ESP,GK,28-218,1995,1.3,51,36,15,5,0,0,0,0,0,0,0,0,43,0,0
FRA-Ligue 1,2324,Marseille,Samuel Gigot,FRA,DF,30-139,1993,15.0,748,682,65,34,2,0,5,3,0,0,0,0,660,1,6
FRA-Ligue 1,2324,Marseille,Sofiane Sidi Ali,FRA,MF,28-229,1995,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
FRA-Ligue 1,2324,Marseille,Ulisses Garcia,SUI,DF,28-048,1996,2.7,200,164,36,7,0,1,22,23,6,0,6,0,154,0,5
FRA-Ligue 1,2324,Marseille,Valentin Rongier,FRA,MF,29-083,1994,9.5,577,557,19,17,8,7,3,2,0,0,0,0,504,1,6
FRA-Ligue 1,2324,Marseille,Vitinha,POR,FW,23-350,2000,10.3,217,199,16,1,0,0,18,5,1,0,0,0,159,2,14
FRA-Ligue 1,2324,Metz,Ablie Jallow,GAM,"MF,FW",25-106,1998,7.8,231,214,16,4,2,6,18,2,9,6,2,0,175,1,6
FRA-Ligue 1,2324,Metz,Abou Lô,SEN,DF,24-057,2000,0.8,37,36,1,1,0,0,0,0,0,0,0,0,36,0,0
FRA-Ligue 1,2324,Metz,Alexandre Oukidja,ALG,GK,35-224,1988,22.2,640,378,260,80,0,3,0,0,0,0,0,0,343,2,1
FRA-Ligue 1,2324,Metz,Arthur Atta,FRA,"MF,DF",21-045,2003,2.1,109,101,8,5,0,0,5,2,1,1,0,0,81,0,3
FRA-Ligue 1,2324,Metz,Benjamin Tetteh,GHA,"FW,MF",26-233,1997,3.1,77,71,6,0,0,0,1,0,0,0,0,0,49,0,4
FRA-Ligue 1,2324,Metz,Cheikh Tidiane Sabaly,SEN,"FW,MF",24-361,1999,13.6,327,324,3,0,1,1,12,3,0,0,0,0,254,0,12
FRA-Ligue 1,2324,Metz,Christophe Hérelle,MTQ,DF,31-190,1992,13.0,453,433,19,19,0,2,1,0,0,0,0,0,411,1,3
FRA-Ligue 1,2324,Metz,Danley Jean-Jacques,HAI,MF,23-284,2000,21.2,573,563,9,9,0,6,18,0,0,0,0,0,437,1,20
FRA-Ligue 1,2324,Metz,Didier Lamkel Zé,CMR,"FW,MF",27-164,1996,3.5,122,114,7,3,0,5,9,1,2,1,0,0,89,1,2
FRA-Ligue 1,2324,Metz,Fali Candé,GNB,DF,26-035,1998,13.5,526,490,33,25,0,9,5,8,0,0,0,0,408,3,6
FRA-Ligue 1,2324,Metz,Georges Mikautadze,GEO,FW,23-120,2000,8.5,190,150,39,7,0,0,19,3,8,3,3,0,134,1,7
FRA-Ligue 1,2324,Metz,Guillaume Dietsch,FRA,GK,22-317,2001,0.8,26,12,14,7,0,0,0,0,0,0,0,0,15,0,0
FRA-Ligue 1,2324,Metz,Habib Maïga,CIV,"MF,FW",28-058,1996,1.6,63,62,0,0,0,0,1,0,0,0,0,0,47,1,1
FRA-Ligue 1,2324,Metz,Ibou Sané,SEN,"MF,FW",18-337,2005,1.2,37,33,4,0,0,0,2,3,0,0,0,0,30,0,1
FRA-Ligue 1,2324,Metz,Ismaël Traoré,CIV,DF,37-194,1986,17.7,571,556,15,15,0,3,0,0,0,0,0,0,509,0,3
FRA-Ligue 1,2324,Metz,Jean Frederic N'Guessan,CIV,"MF,FW",20-317,2003,1.2,46,44,2,2,0,0,1,0,0,0,0,0,37,0,1
FRA-Ligue 1,2324,Metz,Joel Asoro,SWE,"FW,MF",24-307,1999,9.2,144,133,10,4,0,0,19,1,2,2,0,0,91,1,10
FRA-Ligue 1,2324,Metz,Joseph Nduquidi,FRA,"MF,DF",19-120,2004,8.3,211,193,17,4,1,2,0,13,0,0,0,0,173,1,1
FRA-Ligue 1,2324,Metz,Koffi Kouao,CIV,DF,25-284,1998,7.5,313,246,64,5,0,1,13,59,0,0,0,0,247,3,6
FRA-Ligue 1,2324,Metz,Kévin N'Doram,FRA,MF,28-037,1996,11.8,431,405,24,24,1,13,1,0,0,0,0,0,345,2,7
FRA-Ligue 1,2324,Metz,Kévin Van Den Kerkhof,ALG,"FW,MF",27-351,1996,12.9,375,328,47,4,1,1,85,28,15,7,7,0,198,0,35
FRA-Ligue 1,2324,Metz,Lamine Camara,SEN,MF,20-058,2004,16.9,662,565,94,43,0,16,76,3,46,21,24,0,487,3,15
FRA-Ligue 1,2324,Metz,Malick Mbaye,SEN,"MF,FW",19-328,2004,1.7,54,49,5,1,0,0,13,0,3,0,3,0,34,0,5
FRA-Ligue 1,2324,Metz,Matthieu Udol,FRA,DF,27-345,1996,21.0,943,736,202,26,2,2,58,175,1,0,1,0,692,5,26
FRA-Ligue 1,2324,Metz,Maxime Colin,FRA,DF,32-105,1991,12.0,572,420,149,14,0,1,28,135,0,0,0,0,410,3,20
FRA-Ligue 1,2324,Metz,Oscar Estupiñan,COL,FW,27-061,1996,2.9,61,54,5,0,0,0,1,0,0,0,0,0,41,2,1
FRA-Ligue 1,2324,Metz,Papa Amadou Diallo,SEN,"FW,MF",19-248,2004,3.0,78,78,0,0,0,0,3,0,0,0,0,0,52,0,5
FRA-Ligue 1,2324,Metz,Sadibou Sané,SEN,DF,19-263,2004,3.6,151,129,22,3,0,0,6,19,0,0,0,0,118,0,3
FRA-Ligue 1,2324,Metz,Simon Elisor,FRA,FW,24-221,1999,8.5,157,139,18,0,0,0,4,0,0,0,0,0,111,0,5
FRA-Ligue 1,2324,Metz,Youssef Maziz,FRA,"FW,MF",25-249,1998,1.4,39,33,5,1,1,2,4,1,3,2,1,0,30,1,0
FRA-Ligue 1,2324,Monaco,Aleksandr Golovin,RUS,"MF,FW",27-274,1996,19.0,964,863,90,27,12,8,77,9,54,17,32,0,720,11,24
FRA-Ligue 1,2324,Monaco,Antonin Cartillier,FRA,DF,19-250,2004,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0
FRA-Ligue 1,2324,Monaco,Caio Henrique Oliveira Silva,BRA,DF,26-212,1997,5.9,380,301,78,11,2,0,34,45,22,4,12,0,303,1,10
FRA-Ligue 1,2324,Monaco,Chrislain Matsima,FRA,DF,21-289,2002,3.3,231,224,6,2,0,0,0,3,0,0,0,0,215,1,0
FRA-Ligue 1,2324,Monaco,Denis Zakaria,SUI,"MF,DF",27-100,1996,18.0,916,893,23,20,2,3,3,3,0,0,0,0,840,0,11
FRA-Ligue 1,2324,Monaco,Edan Diop,FRA,"DF,MF",19-184,2004,1.6,83,75,7,1,0,0,2,6,0,0,0,0,60,1,2
FRA-Ligue 1,2324,Monaco,Eliesse Ben Seghir,FRA,"FW,MF",19-012,2005,1.5,68,65,3,0,0,0,4,1,1,0,1,0,56,0,2
FRA-Ligue 1,2324,Monaco,Eliot Matazo,BEL,MF,22-013,2002,1.1,63,61,2,1,0,1,1,1,0,0,0,0,50,0,0
FRA-Ligue 1,2324,Monaco,Folarin Balogun,USA,FW,22-240,2001,12.4,245,219,21,1,2,0,6,0,0,0,0,0,180,5,8
FRA-Ligue 1,2324,Monaco,Guillermo Maripán,CHI,DF,29-298,1994,14.1,771,736,34,29,0,2,0,3,0,0,0,0,681,1,8
FRA-Ligue 1,2324,Monaco,Ismail Jakobs,SEN,DF,24-195,1999,13.7,727,591,132,12,1,0,67,102,18,5,7,0,512,4,20
FRA-Ligue 1,2324,Monaco,Kassoum Ouattara,FRA,DF,19-137,2004,2.9,126,90,35,1,0,0,14,34,0,0,0,0,79,1,2
FRA-Ligue 1,2324,Monaco,Krépin Diatta,SEN,DF,25-003,1999,7.3,418,347,68,2,0,1,16,64,2,1,1,0,330,3,9
FRA-Ligue 1,2324,Monaco,Maghnes Akliouche,FRA,"MF,FW",22-003,2002,9.2,433,403,27,4,5,2,28,0,21,6,5,0,334,3,12
FRA-Ligue 1,2324,Monaco,Mamadou Coulibaly,FRA,MF,19-313,2004,0.7,50,49,1,0,0,0,1,1,0,0,0,0,40,0,0
FRA-Ligue 1,2324,Monaco,Mohamed Camara,MLI,MF,24-053,2000,9.3,602,587,13,12,1,2,1,0,1,0,0,0,552,2,10
FRA-Ligue 1,2324,Monaco,Mohammed Salisu,GHA,DF,24-317,1999,8.0,528,518,10,9,0,0,1,1,0,0,0,0,453,0,7
FRA-Ligue 1,2324,Monaco,Myron Boadu,NED,FW,23-045,2001,0.9,15,15,0,0,0,0,0,0,0,0,0,0,10,0,0
FRA-Ligue 1,2324,Monaco,Philipp Köhn,SUI,GK,25-332,1998,22.0,667,484,182,52,0,0,0,0,0,0,0,0,479,1,0
FRA-Ligue 1,2324,Monaco,Radosław Majecki,POL,GK,24-104,1999,1.0,37,24,13,1,0,0,0,0,0,0,0,0,25,0,0
FRA-Ligue 1,2324,Monaco,Soungoutou Magassa,FRA,DF,20-143,2003,13.4,866,848,18,15,0,17,1,3,0,0,0,0,749,0,12
FRA-Ligue 1,2324,Monaco,Takumi Minamino,JPN,"MF,FW",29-043,1995,15.3,631,603,25,6,10,0,20,11,5,1,2,0,467,3,24
FRA-Ligue 1,2324,Monaco,Thilo Kehrer,GER,DF,27-160,1996,5.0,296,268,28,9,0,0,4,19,0,0,0,0,248,0,6
FRA-Ligue 1,2324,Monaco,Vanderson,BRA,DF,22-252,2001,13.0,696,589,106,12,2,6,39,92,2,0,1,0,508,1,16
FRA-Ligue 1,2324,Monaco,Wilfried Singo,CIV,DF,23-065,2000,16.0,979,943,33,25,1,1,9,8,0,0,0,0,846,3,4
FRA-Ligue 1,2324,Monaco,Wissam Ben Yedder,FRA,"FW,MF",33-200,1990,16.1,447,413,31,0,5,0,6,1,0,0,0,0,326,3,13
FRA-Ligue 1,2324,Monaco,Youssouf Fofana,FRA,MF,25-049,1999,20.5,1237,1174,57,52,9,3,10,5,0,0,0,0,984,6,18
FRA-Ligue 1,2324,Montpellier,Akor Adams,NGA,FW,24-030,2000,18.4,292,286,6,0,1,1,9,1,0,0,0,0,192,0,15
FRA-Ligue 1,2324,Montpellier,Arnaud Nordin,FRA,"FW,MF",25-256,1998,6.5,185,173,11,1,0,0,16,3,1,0,1,0,149,1,5
FRA-Ligue 1,2324,Montpellier,Axel Gueguin,FRA,"DF,FW",18-341,2005,1.5,43,38,5,0,0,0,2,5,0,0,0,0,28,0,3
FRA-Ligue 1,2324,Montpellier,Becir Omeragic,SUI,DF,22-039,2002,15.7,681,640,41,22,0,9,2,4,0,0,0,0,571,0,7
FRA-Ligue 1,2324,Montpellier,Benjamin Lecomte,FRA,GK,32-308,1991,23.0,767,506,257,80,0,2,0,0,0,0,0,0,506,4,1
FRA-Ligue 1,2324,Montpellier,Boubakar Kouyaté,MLI,DF,26-319,1997,15.8,658,630,26,20,1,4,1,2,0,0,0,0,541,2,7
FRA-Ligue 1,2324,Montpellier,Christopher Jullien,FRA,DF,30-343,1993,8.9,311,289,21,11,0,0,0,0,0,0,0,0,261,1,1
FRA-Ligue 1,2324,Montpellier,Elye Wahi,FRA,FW,21-057,2003,0.2,6,5,1,0,0,0,0,0,0,0,0,0,6,0,0
FRA-Ligue 1,2324,Montpellier,Enzo Tchato,CMR,"DF,MF",21-097,2002,4.6,198,158,40,2,0,0,16,38,0,0,0,0,146,0,4
FRA-Ligue 1,2324,Montpellier,Falaye Sacko,MLI,DF,28-303,1995,15.1,775,627,148,10,0,2,27,138,0,0,0,0,597,0,20
FRA-Ligue 1,2324,Montpellier,Issiaga Sylla,GUI,"DF,FW",30-058,1994,11.0,501,382,116,7,0,1,28,109,0,0,0,0,371,3,18
FRA-Ligue 1,2324,Montpellier,Jordan Ferri,FRA,MF,31-353,1992,15.9,947,923,24,14,4,6,28,8,2,0,0,0,780,0,12
