,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Crystal Palace,Jordan Ayew,GHA,"FW,MF",32-170,1991,22.2,1081,20,152,454,492,80,1081,105,42,40.0,44,41.9,687,4549,1811,64,51,17,74,67,783,151
ENG-Premier League,2324,Crystal Palace,Marc Guéhi,ENG,DF,23-230,2000,21.2,1423,193,742,633,53,12,1423,13,7,53.8,4,30.8,863,4024,2109,13,9,1,8,2,955,6
ENG-Premier League,2324,Crystal Palace,Matheus França,BRA,"MF,FW",19-333,2004,2.3,111,2,28,44,46,9,111,13,4,30.8,8,61.5,75,703,368,12,10,5,4,6,67,12
ENG-Premier League,2324,Crystal Palace,Michael Olise,FRA,"FW,MF",22-078,2001,8.4,563,10,75,219,278,47,562,46,27,58.7,12,26.1,343,2321,1253,35,25,17,24,22,394,82
ENG-Premier League,2324,Crystal Palace,Naouirou Ahamada,FRA,"MF,FW",21-336,2002,2.4,130,3,29,52,51,3,130,8,5,62.5,2,25.0,84,645,332,14,6,1,5,4,87,15
ENG-Premier League,2324,Crystal Palace,Nathaniel Clyne,ENG,DF,32-329,1991,8.0,394,21,134,162,102,5,394,9,4,44.4,5,55.6,145,726,344,8,9,0,8,0,185,15
ENG-Premier League,2324,Crystal Palace,Odsonne Édouard,FRA,"FW,MF",26-043,1998,15.5,505,18,54,185,276,83,505,43,15,34.9,21,48.8,293,1557,818,31,16,23,46,22,344,82
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,30-018,1994,0.0,6,5,6,0,0,0,6,0,0,,0,,2,18,0,0,0,0,0,0,1,0
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30-340,1993,18.0,562,472,560,2,0,0,562,0,0,,0,,309,1769,1136,0,0,0,0,0,251,0
ENG-Premier League,2324,Crystal Palace,Tyrick Mitchell,ENG,DF,24-180,1999,24.1,1368,96,530,500,351,26,1368,19,8,42.1,10,52.6,546,2009,953,14,13,2,25,18,636,91
ENG-Premier League,2324,Crystal Palace,Will Hughes,ENG,MF,28-317,1995,14.3,706,39,150,411,150,8,706,11,7,63.6,3,27.3,297,1209,579,9,10,0,14,21,377,7
ENG-Premier League,2324,Everton,Abdoulaye Doucouré,MLI,"FW,MF",31-058,1993,18.8,759,21,118,341,310,68,759,29,16,55.2,12,41.4,409,2198,1211,34,24,11,46,23,502,94
ENG-Premier League,2324,Everton,Alex Iwobi,NGA,MF,27-301,1996,1.6,58,0,5,17,38,3,58,4,3,75.0,1,25.0,33,316,221,6,5,2,3,1,34,8
ENG-Premier League,2324,Everton,Amadou Onana,BEL,MF,22-196,2001,16.5,883,39,200,495,196,21,883,21,7,33.3,7,33.3,460,2025,992,17,20,3,15,6,579,32
ENG-Premier League,2324,Everton,André Gomes,POR,MF,30-213,1993,1.8,78,1,10,40,29,4,78,1,1,100.0,0,0.0,37,144,52,1,0,2,2,1,54,14
ENG-Premier League,2324,Everton,Arnaut Danjuma,NED,"MF,FW",27-028,1997,6.6,223,4,23,77,127,32,223,21,8,38.1,11,52.4,147,1182,599,24,15,11,10,7,147,44
ENG-Premier League,2324,Everton,Ashley Young,ENG,"DF,MF",38-234,1985,16.8,876,45,242,375,268,9,876,16,7,43.8,8,50.0,409,2147,1097,27,18,1,8,9,435,36
ENG-Premier League,2324,Everton,Ben Godfrey,ENG,DF,26-044,1998,5.4,285,33,106,103,77,10,285,10,4,40.0,6,60.0,106,551,264,5,7,0,3,5,114,8
ENG-Premier League,2324,Everton,Beto,GNB,FW,26-028,1998,6.8,250,11,21,99,133,37,250,25,10,40.0,12,48.0,128,662,266,8,7,8,31,14,171,37
ENG-Premier League,2324,Everton,Dominic Calvert-Lewin,ENG,FW,26-349,1997,17.1,522,34,53,211,261,87,522,23,7,30.4,15,65.2,249,1478,531,22,14,14,47,20,402,78
ENG-Premier League,2324,Everton,Dwight McNeil,ENG,"MF,FW",24-098,1999,20.4,991,29,162,421,428,41,991,42,20,47.6,21,50.0,554,3571,1470,52,35,11,37,45,617,83
ENG-Premier League,2324,Everton,Idrissa Gana Gueye,SEN,MF,34-155,1989,14.5,754,31,167,407,191,16,754,16,8,50.0,8,50.0,415,2019,917,20,17,1,10,16,455,32
ENG-Premier League,2324,Everton,Jack Harrison,ENG,"MF,FW",27-100,1996,17.7,629,18,109,226,306,44,629,50,19,38.0,26,52.0,363,2225,1121,45,25,10,54,26,382,92
