,,,,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,26-119,1997,5.2,403,31,161,199,45,5,403,9,6,66.7,1,11.1,280,1321,623,8,4,2,6,10,257,10
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21-254,2002,0.2,18,1,1,12,5,0,18,0,0,,0,,15,66,21,0,1,0,0,0,14,1
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26-289,1997,13.6,1019,5,44,395,601,82,1019,117,50,42.7,61,52.1,874,6639,3648,135,92,44,33,19,851,212
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",25-085,1998,9.1,362,10,46,141,183,47,362,54,19,35.2,31,57.4,291,2018,888,30,12,13,39,13,274,80
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,24-015,2000,17.6,1503,36,215,756,547,44,1503,40,25,62.5,15,37.5,1221,5930,2436,29,49,9,28,18,1156,105
FRA-Ligue 1,2324,Paris S-G,Warren Zaire-Emery,FRA,"MF,DF",17-357,2006,16.8,1256,41,201,655,414,24,1256,34,15,44.1,17,50.0,1008,5356,2310,40,49,8,25,27,975,73
FRA-Ligue 1,2324,Reims,Adama Bojang,GAM,FW,19-276,2004,0.4,27,0,2,10,15,7,27,1,1,100.0,0,0.0,15,53,18,0,0,0,2,1,16,3
FRA-Ligue 1,2324,Reims,Amadou Koné,MLI,MF,18-290,2005,1.9,116,6,34,75,10,2,116,1,0,0.0,1,100.0,82,437,102,0,2,0,4,0,70,0
FRA-Ligue 1,2324,Reims,Amine Salama,FRA,FW,23-225,2000,3.5,110,0,10,48,56,10,110,14,10,71.4,3,21.4,85,723,311,10,4,3,15,5,79,33
FRA-Ligue 1,2324,Reims,Amir Richardson,MAR,MF,22-035,2002,10.2,562,29,102,309,157,15,562,13,2,15.4,11,84.6,382,2071,863,13,16,0,12,12,360,29
FRA-Ligue 1,2324,Reims,Azor Matusiwa,NED,MF,25-306,1998,15.4,929,56,216,558,164,10,929,13,9,69.2,3,23.1,617,3259,1296,12,20,2,15,10,541,12
FRA-Ligue 1,2324,Reims,Benjamin Stambouli,FRA,MF,33-199,1990,1.7,93,6,23,56,15,1,93,1,1,100.0,0,0.0,59,218,102,0,0,0,0,0,54,0
FRA-Ligue 1,2324,Reims,Emmanuel Agbadou,CIV,DF,26-256,1997,17.8,1382,125,475,799,123,21,1382,17,7,41.2,10,58.8,1004,6440,3402,31,19,1,16,15,885,16
FRA-Ligue 1,2324,Reims,Ibrahim Diakité,GUI,DF,20-120,2003,1.2,100,5,30,40,31,2,100,5,2,40.0,3,60.0,57,385,192,7,5,1,1,0,46,9
FRA-Ligue 1,2324,Reims,Joseph Okumu,KEN,DF,26-278,1997,17.1,1378,157,690,671,28,12,1378,10,7,70.0,1,10.0,1030,6172,3193,14,13,1,12,5,917,3
FRA-Ligue 1,2324,Reims,Josh Wilson-Esbrand,ENG,"DF,MF",21-064,2002,5.1,304,9,66,163,77,10,304,17,10,58.8,7,41.2,196,1058,569,11,10,3,9,8,186,20
FRA-Ligue 1,2324,Reims,Junya Ito,JPN,"FW,MF",30-356,1993,19.8,954,9,79,371,520,78,954,79,39,49.4,34,43.0,726,4785,2253,82,49,24,51,24,692,207
FRA-Ligue 1,2324,Reims,Keito Nakamura,JPN,FW,23-215,2000,9.1,364,7,53,139,179,38,364,18,11,61.1,7,38.9,271,1666,814,21,13,10,19,15,246,94
FRA-Ligue 1,2324,Reims,Mamadou Diakhon,FRA,FW,18-159,2005,1.6,56,3,12,23,23,4,56,16,5,31.3,8,50.0,43,441,213,8,1,4,1,2,39,11
FRA-Ligue 1,2324,Reims,Marshall Munetsi,ZIM,"MF,FW",27-251,1996,14.4,474,26,80,245,157,50,474,17,3,17.6,12,70.6,275,1404,466,13,12,1,28,9,249,52
FRA-Ligue 1,2324,Reims,Maxime Busi,BEL,"FW,DF",24-137,1999,1.3,83,0,24,38,22,3,83,3,2,66.7,1,33.3,51,271,96,1,2,1,2,3,47,10
FRA-Ligue 1,2324,Reims,Mohammed Daramy,DEN,FW,22-052,2002,15.5,607,6,49,206,360,81,606,78,44,56.4,29,37.2,496,3785,1891,64,40,29,41,18,476,143
FRA-Ligue 1,2324,Reims,Oumar Diakité,CIV,FW,20-070,2003,8.4,281,8,33,105,146,48,280,37,16,43.2,18,48.6,193,1201,341,11,11,11,41,11,188,45
FRA-Ligue 1,2324,Reims,Reda Khadra,GER,"FW,MF",22-239,2001,8.2,315,7,41,116,174,23,315,35,18,51.4,16,45.7,237,1844,787,24,21,8,22,16,215,59
FRA-Ligue 1,2324,Reims,Sergio Akieme,ESP,DF,26-074,1997,2.3,128,1,19,73,38,3,128,8,3,37.5,4,50.0,88,515,241,7,4,1,2,3,83,14
FRA-Ligue 1,2324,Reims,Teddy Teuma,MLT,MF,30-151,1993,18.2,1450,14,204,812,456,30,1449,38,20,52.6,15,39.5,1055,5583,2344,26,32,4,36,12,1001,90
FRA-Ligue 1,2324,Reims,Therence Koudou,FRA,"DF,MF",19-077,2004,1.0,68,8,19,24,25,0,68,0,0,,0,,40,254,141,3,1,0,1,2,33,9
FRA-Ligue 1,2324,Reims,Thibault De Smet,BEL,"DF,FW",25-268,1998,16.1,979,58,292,457,237,9,979,14,5,35.7,8,57.1,623,3540,1357,17,21,1,12,7,569,61
FRA-Ligue 1,2324,Reims,Thomas Foket,BEL,DF,29-156,1994,17.0,1049,60,310,472,272,16,1049,10,5,50.0,5,50.0,672,3508,1630,22,20,1,23,7,610,70
FRA-Ligue 1,2324,Reims,Valentin Atangana Edoa,FRA,MF,18-187,2005,2.4,110,3,27,59,25,6,110,4,0,0.0,4,100.0,69,447,180,3,4,1,3,1,54,4
FRA-Ligue 1,2324,Reims,Yaya Kader Fofana,MLI,"MF,DF",19-261,2004,0.2,25,0,0,10,15,4,25,2,2,100.0,0,0.0,16,110,35,1,2,0,1,0,15,1
FRA-Ligue 1,2324,Reims,Yehvann Diouf,FRA,GK,24-104,1999,23.0,928,701,922,7,0,0,928,2,2,100.0,0,0.0,723,3386,1835,0,0,0,0,0,538,0
FRA-Ligue 1,2324,Reims,Yunis Abdelhamid,MAR,DF,36-153,1987,19.9,1478,170,631,784,76,26,1478,14,8,57.1,6,42.9,1049,5982,3323,27,15,0,18,2,975,4
FRA-Ligue 1,2324,Rennes,Adrien Truffert,FRA,DF,22-100,2001,16.6,1104,47,277,473,362,27,1104,39,16,41.0,19,48.7,727,4210,1950,32,38,4,23,22,670,110
FRA-Ligue 1,2324,Rennes,Alidu Seidu,GHA,DF,23-269,2000,2.2,112,10,37,59,19,0,112,5,3,60.0,1,20.0,73,538,286,6,6,0,2,0,64,6
FRA-Ligue 1,2324,Rennes,Amine Gouiri,ALG,"FW,MF",24-012,2000,15.8,728,13,87,290,364,84,728,59,33,55.9,26,44.1,569,3425,1475,40,38,18,27,26,559,130
FRA-Ligue 1,2324,Rennes,Arnaud Kalimuendo,FRA,FW,22-039,2002,14.8,464,6,28,241,198,64,462,23,10,43.5,13,56.5,359,2163,665,17,10,8,40,20,361,111
FRA-Ligue 1,2324,Rennes,Arthur Theate,BEL,DF,23-279,2000,18.4,1388,153,647,673,74,19,1388,6,2,33.3,3,50.0,1049,6123,3351,20,21,2,10,1,972,8
FRA-Ligue 1,2324,Rennes,Azor Matusiwa,NED,MF,25-306,1998,2.4,140,6,42,86,14,0,140,1,1,100.0,0,0.0,110,566,204,1,4,0,1,1,104,0
FRA-Ligue 1,2324,Rennes,Baptiste Santamaria,FRA,MF,28-356,1995,14.3,964,45,239,600,130,13,964,17,10,58.8,6,35.3,710,3480,1334,6,15,0,23,11,655,28
FRA-Ligue 1,2324,Rennes,Benjamin Bourigeaud,FRA,"MF,DF",30-045,1994,17.8,1214,48,218,582,421,41,1210,17,6,35.3,11,64.7,867,4181,1501,17,25,3,22,9,810,88
FRA-Ligue 1,2324,Rennes,Bertuğ Özgür Yıldırım,TUR,FW,21-231,2002,3.9,119,4,13,67,41,10,119,8,5,62.5,1,12.5,85,523,160,6,4,1,12,6,88,22
FRA-Ligue 1,2324,Rennes,Birger Meling,NOR,DF,29-073,1994,0.2,10,0,4,2,4,1,10,0,0,,0,,4,10,4,0,0,0,0,0,5,0
FRA-Ligue 1,2324,Rennes,Christopher Wooh,CMR,DF,22-163,2001,7.1,408,55,186,200,27,9,408,4,0,0.0,1,25.0,271,1566,778,4,1,1,9,3,248,1
FRA-Ligue 1,2324,Rennes,Djaoui Cissé,FRA,MF,20-028,2004,0.0,1,0,0,1,0,0,1,0,0,,0,,1,8,0,0,0,0,0,0,1,1
FRA-Ligue 1,2324,Rennes,Désiré Doué,FRA,"MF,FW",18-270,2005,9.4,545,10,73,229,251,38,545,47,25,53.2,15,31.9,428,2832,1301,28,33,11,29,18,411,76
FRA-Ligue 1,2324,Rennes,Enzo Le Fée,FRA,MF,24-025,2000,13.9,973,40,184,531,277,15,973,42,20,47.6,20,47.6,748,4305,1914,39,34,7,28,20,694,42
FRA-Ligue 1,2324,Rennes,Fabian Rieder,SUI,MF,22-012,2002,2.8,137,2,12,81,48,5,137,3,2,66.7,1,33.3,116,535,186,3,5,0,4,2,103,15
FRA-Ligue 1,2324,Rennes,Guela Doué,FRA,DF,21-134,2002,7.0,445,38,162,173,115,13,445,11,8,72.7,2,18.2,261,1666,767,17,16,5,10,5,227,38
FRA-Ligue 1,2324,Rennes,Ibrahim Salah,MAR,"FW,MF",22-182,2001,4.9,287,14,51,110,129,17,287,25,10,40.0,15,60.0,225,1482,598,13,13,2,15,12,198,52
FRA-Ligue 1,2324,Rennes,Jeanuël Belocian,FRA,DF,19-011,2005,12.7,812,89,334,404,77,2,812,4,3,75.0,1,25.0,619,3631,1841,11,14,0,5,3,571,27
FRA-Ligue 1,2324,Rennes,Jeremy Doku,BEL,FW,21-277,2002,1.2,61,1,6,17,44,12,61,9,9,100.0,0,0.0,60,627,342,11,6,7,2,2,54,19
FRA-Ligue 1,2324,Rennes,Jérémy Jacquet,FRA,MF,18-230,2005,0.1,7,0,3,4,0,0,7,0,0,,0,,5,43,36,1,0,0,0,0,3,0
FRA-Ligue 1,2324,Rennes,Lorenz Assignon,TOG,DF,23-251,2000,11.2,712,26,158,323,237,21,712,23,10,43.5,13,56.5,489,2754,1380,28,19,7,13,5,431,67
FRA-Ligue 1,2324,Rennes,Lovro Majer,CRO,MF,26-042,1998,0.2,20,1,6,9,6,2,20,1,1,100.0,0,0.0,17,131,58,1,0,1,1,0,16,1
FRA-Ligue 1,2324,Rennes,Ludovic Blas,FRA,"FW,MF",26-059,1997,12.9,509,3,67,205,248,50,507,54,19,35.2,31,57.4,390,2596,1134,26,18,6,31,20,360,107
FRA-Ligue 1,2324,Rennes,Mahamadou Nagida,CMR,DF,18-245,2005,1.2,82,0,15,30,39,6,82,5,3,60.0,1,20.0,62,413,251,5,6,2,2,1,53,11
FRA-Ligue 1,2324,Rennes,Martin Terrier,FRA,"FW,MF",26-361,1997,10.0,393,13,48,171,176,50,393,20,12,60.0,5,25.0,297,1673,711,18,11,5,20,11,297,63
FRA-Ligue 1,2324,Rennes,Mathis Lambourde,FRA,FW,18-050,2006,0.1,9,1,3,3,3,0,9,0,0,,0,,6,33,10,1,0,0,1,0,4,2
FRA-Ligue 1,2324,Rennes,Nemanja Matić,SRB,MF,35-211,1988,11.4,923,53,244,549,147,7,923,21,16,76.2,3,14.3,700,4023,2164,14,37,0,11,15,617,8
FRA-Ligue 1,2324,Rennes,Steve Mandanda,FRA,GK,38-337,1985,23.0,917,695,907,10,0,0,917,1,1,100.0,0,0.0,676,3266,1893,0,1,1,0,0,478,0
FRA-Ligue 1,2324,Rennes,Warmed Omari,FRA,DF,23-311,2000,16.1,1062,136,515,517,39,5,1062,7,5,71.4,2,28.6,787,4875,2797,13,13,1,6,4,712,1
FRA-Ligue 1,2324,Strasbourg,Abakar Sylla,CIV,DF,21-065,2002,13.6,1000,155,517,451,37,15,1000,9,6,66.7,3,33.3,684,3684,1783,3,2,0,13,2,606,2
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,22-058,2002,4.0,127,94,127,1,0,0,127,0,0,,0,,105,574,373,0,0,0,0,0,70,0
FRA-Ligue 1,2324,Strasbourg,Andrey Santos,BRA,MF,19-301,2004,0.4,36,0,3,21,13,0,36,1,1,100.0,0,0.0,32,198,63,3,2,0,0,0,31,1
FRA-Ligue 1,2324,Strasbourg,Dilane Bakwa,FRA,"FW,MF",21-186,2002,15.1,726,15,88,292,360,44,726,73,33,45.2,35,47.9,497,3492,1710,53,48,12,30,27,461,127
FRA-Ligue 1,2324,Strasbourg,Dion Moise Sahi,CIV,"MF,FW",22-070,2001,5.5,194,3,30,95,73,25,194,12,4,33.3,8,66.7,133,904,433,12,8,4,17,3,124,28
FRA-Ligue 1,2324,Strasbourg,Eduard Sobol,UKR,DF,28-314,1995,0.3,15,1,2,9,4,0,15,0,0,,0,,10,114,69,2,3,0,0,0,9,0
FRA-Ligue 1,2324,Strasbourg,Emanuel Emegha,NED,FW,21-025,2003,15.2,329,18,32,152,153,56,329,22,7,31.8,14,63.6,226,1335,390,17,14,8,33,24,228,70
FRA-Ligue 1,2324,Strasbourg,Frederic Guilbert,FRA,"DF,MF",29-066,1994,17.7,1143,75,371,529,258,11,1143,26,14,53.8,11,42.3,716,3984,1686,22,28,1,16,11,619,49
FRA-Ligue 1,2324,Strasbourg,Gerzino Nyamsi,FRA,DF,27-037,1997,12.1,739,122,416,314,13,10,739,3,3,100.0,0,0.0,552,2838,1185,3,1,0,5,1,489,3
FRA-Ligue 1,2324,Strasbourg,Ibrahima Sissoko,MLI,MF,26-124,1997,11.6,588,41,153,328,119,20,588,15,7,46.7,5,33.3,380,2135,875,9,16,0,23,16,334,12
FRA-Ligue 1,2324,Strasbourg,Ismaël Doukouré,FRA,"MF,DF",20-219,2003,14.4,694,31,178,459,67,1,694,26,17,65.4,9,34.6,506,2841,1166,14,14,0,9,24,455,7
FRA-Ligue 1,2324,Strasbourg,Jean-Ricner Bellegarde,FRA,"MF,FW",25-246,1998,3.0,135,2,27,68,44,5,135,15,8,53.3,5,33.3,102,751,275,9,7,1,6,13,88,10
FRA-Ligue 1,2324,Strasbourg,Jessy Deminguet,FRA,"MF,FW",26-052,1998,7.6,327,9,64,195,74,8,327,7,2,28.6,4,57.1,232,1368,415,7,10,1,11,5,206,13
FRA-Ligue 1,2324,Strasbourg,Junior Mwanga,FRA,MF,20-293,2003,14.0,633,40,165,336,142,23,633,39,25,64.1,11,28.2,424,2731,1218,23,14,6,29,23,384,32
FRA-Ligue 1,2324,Strasbourg,Jérémy Sebas,MTQ,FW,20-320,2003,0.7,25,1,4,7,16,4,25,3,2,66.7,1,33.3,21,234,71,2,4,3,2,2,18,6
FRA-Ligue 1,2324,Strasbourg,Kévin Gameiro,FRA,"FW,MF",36-295,1987,9.9,390,3,37,191,167,32,389,7,3,42.9,3,42.9,295,1644,578,20,12,8,19,9,283,58
FRA-Ligue 1,2324,Strasbourg,Lebo Mothiba,RSA,FW,28-031,1996,6.9,183,13,17,64,103,37,183,5,4,80.0,1,20.0,141,806,280,8,6,5,16,11,152,27
FRA-Ligue 1,2324,Strasbourg,Lucas Perrin,FRA,DF,25-101,1998,21.0,1477,197,740,701,47,19,1477,8,4,50.0,3,37.5,1090,6636,3866,13,7,1,13,3,1007,7
FRA-Ligue 1,2324,Strasbourg,Marvin Senaya,TOG,DF,23-031,2001,15.9,983,59,311,470,212,15,983,42,15,35.7,20,47.6,581,3620,1666,27,26,2,21,9,528,55
FRA-Ligue 1,2324,Strasbourg,Matz Sels,BEL,GK,32-002,1992,19.0,664,582,657,7,0,0,664,0,0,,0,,452,2379,1252,0,0,0,0,0,345,0
FRA-Ligue 1,2324,Strasbourg,Mohamed Bechikh,FRA,"FW,MF",18-230,2005,0.2,10,0,0,9,1,0,10,2,0,0.0,2,100.0,5,42,24,0,0,0,1,0,7,3
FRA-Ligue 1,2324,Strasbourg,Mouhamadou Diarra,FRA,"MF,FW",20-056,2004,16.4,691,17,114,383,209,25,691,36,20,55.6,12,33.3,526,3179,1427,38,36,8,24,21,479,62
FRA-Ligue 1,2324,Strasbourg,Rabby Nzingoula,FRA,"FW,MF",18-095,2005,0.4,21,0,1,13,7,1,21,3,2,66.7,1,33.3,16,101,40,2,1,1,0,0,12,1
FRA-Ligue 1,2324,Strasbourg,Saidou Sow,GUI,DF,21-239,2002,1.5,101,17,52,48,2,0,101,0,0,,0,,71,417,301,0,0,0,0,0,65,0
FRA-Ligue 1,2324,Strasbourg,Sanjin Prcić,BIH,MF,30-100,1993,1.0,54,0,12,33,9,0,54,0,0,,0,,40,223,84,0,0,0,1,0,36,0
FRA-Ligue 1,2324,Strasbourg,Steven Baseya,FRA,DF,19-045,2005,0.1,13,2,8,5,0,0,13,0,0,,0,,9,38,7,0,0,0,0,0,7,0
FRA-Ligue 1,2324,Strasbourg,Thomas Delaine,FRA,"DF,MF",31-341,1992,13.4,678,43,175,257,253,16,678,21,12,57.1,9,42.9,431,2931,1257,40,30,2,18,6,386,91
FRA-Ligue 1,2324,Strasbourg,Ângelo Borges,BRA,"FW,MF",19-069,2004,12.2,593,7,76,261,282,27,593,56,30,53.6,23,41.1,464,4032,1883,50,47,6,44,24,411,109
FRA-Ligue 1,2324,Toulouse,Aron Dønnum,NOR,"FW,MF",25-314,1998,13.1,596,17,88,254,263,35,596,55,23,41.8,25,45.5,460,3317,1545,53,27,17,30,16,434,91
FRA-Ligue 1,2324,Toulouse,Christian Mawissa,FRA,DF,18-316,2005,7.0,456,47,197,218,46,9,456,26,12,46.2,11,42.3,307,1672,872,12,11,2,7,5,268,7
FRA-Ligue 1,2324,Toulouse,Cristian Cásseres Jr.,VEN,MF,24-039,2000,15.3,860,47,198,528,143,19,860,10,5,50.0,5,50.0,566,2742,1301,13,11,0,16,7,524,36
FRA-Ligue 1,2324,Toulouse,Denis Genreau,AUS,"FW,MF",24-283,1999,4.8,242,6,58,119,70,9,242,11,4,36.4,6,54.5,164,909,292,6,5,2,10,3,134,26
FRA-Ligue 1,2324,Toulouse,Fares Chaïbi,ALG,"FW,MF",21-092,2002,0.6,50,1,4,23,23,0,50,2,0,0.0,2,100.0,40,214,91,2,1,0,4,0,39,12
FRA-Ligue 1,2324,Toulouse,Frank Magri,CMR,"FW,MF",24-177,1999,13.2,424,14,44,158,230,56,424,31,11,35.5,16,51.6,308,1993,759,26,16,9,31,21,300,104
FRA-Ligue 1,2324,Toulouse,Gabriel Suazo,CHI,DF,26-203,1997,17.5,1176,46,294,555,347,34,1176,45,28,62.2,15,33.3,783,3999,1851,32,37,8,24,13,706,93
FRA-Ligue 1,2324,Toulouse,Gelabert,ESP,"MF,FW",23-120,2000,8.4,456,14,77,231,156,32,456,29,13,44.8,15,51.7,353,1876,691,14,17,11,23,12,336,57
FRA-Ligue 1,2324,Toulouse,Guillaume Restes,FRA,GK,18-354,2005,23.0,691,556,685,6,0,0,691,1,1,100.0,0,0.0,439,2189,1214,0,0,0,1,0,329,0
FRA-Ligue 1,2324,Toulouse,Ibrahim Cissoko,NED,"FW,MF",20-339,2003,2.4,143,0,11,39,95,21,143,27,16,59.3,10,37.0,114,788,460,19,9,10,7,3,104,36
FRA-Ligue 1,2324,Toulouse,Kévin Keben Biakolo,CMR,DF,20-033,2004,2.4,129,15,73,46,11,1,129,4,3,75.0,1,25.0,75,515,194,3,3,0,6,1,65,5
FRA-Ligue 1,2324,Toulouse,Logan Costa,CPV,DF,22-333,2001,18.4,1290,190,604,620,72,18,1290,5,3,60.0,2,40.0,897,4741,2447,13,16,2,7,1,834,7
FRA-Ligue 1,2324,Toulouse,Mamady Bangré,BFA,"FW,MF",22-258,2001,1.1,97,2,14,33,50,13,97,5,1,20.0,4,80.0,76,542,312,10,5,2,4,4,69,12
FRA-Ligue 1,2324,Toulouse,Mikkel Desler,DEN,DF,29-009,1995,14.1,890,47,223,427,248,28,890,18,11,61.1,6,33.3,555,2879,1277,23,21,7,16,5,517,73
FRA-Ligue 1,2324,Toulouse,Moussa Diarra,MLI,DF,23-110,2000,9.4,514,60,194,251,73,5,514,7,4,57.1,2,28.6,298,1572,755,7,7,0,14,6,269,5
FRA-Ligue 1,2324,Toulouse,Naatan Skyttä,FIN,"MF,FW",21-297,2002,1.1,60,0,4,29,27,4,60,1,1,100.0,0,0.0,45,221,78,1,0,1,2,1,45,11
FRA-Ligue 1,2324,Toulouse,Niklas Schmidt,GER,MF,25-364,1998,11.9,767,31,143,461,173,10,767,16,8,50.0,8,50.0,586,3001,1317,18,19,0,16,9,546,32
FRA-Ligue 1,2324,Toulouse,Rasmus Nicolaisen,DEN,DF,26-349,1997,23.0,1408,239,694,676,41,27,1408,1,1,100.0,0,0.0,933,4593,2480,2,3,0,6,0,864,7
FRA-Ligue 1,2324,Toulouse,Shavy Babicka,GAB,FW,23-272,2000,3.0,115,2,13,42,61,10,115,11,4,36.4,7,63.6,83,550,232,9,2,4,6,2,81,43
FRA-Ligue 1,2324,Toulouse,Stijn Spierings,NED,MF,27-353,1996,11.0,877,33,178,577,131,5,877,11,5,45.5,5,45.5,642,3231,1507,14,20,0,6,10,579,16
FRA-Ligue 1,2324,Toulouse,Thijs Dallinga,NED,FW,23-209,2000,17.4,550,26,56,260,241,74,547,24,12,50.0,10,41.7,411,2242,781,22,15,5,34,13,427,110
FRA-Ligue 1,2324,Toulouse,Vincent Sierro,SUI,MF,28-143,1995,16.4,1006,42,218,579,225,14,1003,17,11,64.7,5,29.4,696,3417,1403,9,11,2,23,18,647,45
FRA-Ligue 1,2324,Toulouse,Waren Kamanzi,NOR,"DF,FW",23-109,2000,7.2,442,25,120,215,110,7,442,5,2,40.0,2,40.0,289,1661,690,14,8,3,11,10,274,28
FRA-Ligue 1,2324,Toulouse,Yanis Begraoui,MAR,"FW,MF",22-239,2001,3.3,149,5,20,69,65,15,149,9,7,77.8,2,22.2,113,692,266,9,6,2,12,6,107,30
FRA-Ligue 1,2324,Toulouse,Yann Gboho,FRA,"MF,FW",23-045,2001,3.7,141,2,19,52,77,20,141,14,9,64.3,4,28.6,101,810,478,18,12,6,10,10,93,30
FRA-Ligue 1,2324,Toulouse,Zakaria Aboukhlal,MAR,"MF,FW",24-010,2000,4.2,142,1,9,60,75,21,141,12,4,33.3,8,66.7,106,702,325,12,9,3,11,5,106,35
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",20-173,2003,10.7,477,14,100,224,156,14,477,7,4,57.1,3,42.9,233,1156,518,17,12,4,11,5,260,38
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,"MF,DF",25-051,1999,1.9,162,3,23,68,73,8,162,6,5,83.3,1,16.7,88,388,171,3,1,2,6,0,94,20
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21-364,2002,5.0,180,3,19,75,88,24,180,17,9,52.9,5,29.4,103,735,330,15,8,6,19,4,133,27
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,GER,MF,26-119,1997,21.1,885,42,209,488,203,21,884,23,8,34.8,14,60.9,444,2159,882,15,16,3,37,17,467,47
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"MF,FW",25-340,1998,22.2,663,19,79,287,305,113,659,50,22,44.0,24,48.0,337,1651,660,20,13,7,57,28,398,107
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25-338,1998,23.0,1110,711,1080,31,0,0,1110,0,0,,0,,707,4020,2574,0,0,0,1,0,598,0
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",26-172,1997,11.8,507,22,72,206,233,30,507,23,5,21.7,17,73.9,245,1153,533,18,8,4,16,9,283,65
GER-Bundesliga,2324,Augsburg,Iago,BRA,"DF,FW",26-342,1997,12.5,634,39,184,293,170,28,634,26,15,57.7,9,34.6,327,1834,833,16,15,4,19,8,315,30
GER-Bundesliga,2324,Augsburg,Irvin Cardona,FRA,"MF,DF",26-204,1997,0.6,24,0,2,4,18,5,24,1,0,0.0,1,100.0,14,129,61,3,2,2,2,0,15,6
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32-233,1991,18.0,1139,121,538,546,72,19,1139,11,8,72.7,3,27.3,692,4626,2851,26,14,0,10,3,698,9
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,DF,28-315,1995,14.7,847,47,223,380,262,17,847,52,21,40.4,29,55.8,390,2596,1204,42,25,6,27,16,390,60
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26-290,1997,5.2,281,14,73,164,45,1,281,4,2,50.0,2,50.0,143,651,334,5,4,0,3,12,146,1
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,DF,27-180,1996,13.2,723,43,213,328,196,10,723,23,16,69.6,5,21.7,328,2274,1212,38,25,1,15,9,342,45
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,DF",27-320,1996,0.4,14,1,2,6,6,2,14,1,0,0.0,0,0.0,6,11,4,0,1,0,0,0,8,2
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,24-019,2000,6.5,425,46,251,160,15,5,425,1,1,100.0,0,0.0,270,1300,718,1,1,0,2,0,277,0
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25-293,1998,1.4,28,4,5,9,14,3,28,2,0,0.0,2,100.0,18,96,53,3,1,1,1,1,20,5
GER-Bundesliga,2324,Augsburg,Nathanael Mbuku,FRA,FW,21-349,2002,0.1,10,0,0,4,6,1,10,1,0,0.0,1,100.0,9,67,51,1,0,1,0,0,9,4
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,26-044,1998,12.8,662,50,219,382,68,2,662,10,6,60.0,3,30.0,368,1632,630,10,7,1,18,7,379,9
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,26-172,1997,21.5,1358,204,721,584,60,30,1358,5,4,80.0,1,20.0,754,3700,1853,18,7,1,10,3,815,4
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GER,DF,24-192,1999,4.1,246,27,108,118,21,11,246,1,0,0.0,1,100.0,114,452,209,1,0,0,4,1,138,3
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"MF,FW",27-176,1996,1.1,48,0,10,17,21,2,48,2,1,50.0,1,50.0,25,109,26,0,1,0,8,0,30,6
GER-Bundesliga,2324,Augsburg,Phillip Tietz,GER,FW,26-234,1997,17.0,531,28,67,223,245,80,531,26,9,34.6,14,53.8,278,1043,354,10,9,4,47,15,358,70
GER-Bundesliga,2324,Augsburg,Robert Gumny,POL,DF,25-269,1998,5.3,260,19,68,121,74,8,260,13,5,38.5,4,30.8,108,554,213,9,9,1,14,1,115,17
GER-Bundesliga,2324,Augsburg,Ruben Vargas,SUI,"MF,FW",25-207,1998,14.3,604,18,74,250,289,49,604,39,16,41.0,20,51.3,342,1946,795,37,17,9,45,10,369,82
