,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Metz,Ibou Sané,SEN,"FW,MF",18-328,2005,1.0,23,28,82.1,382,115,10,12,83.3,12,13,92.3,1,2,50.0,0,0.0,0.0,0.0,0,3,1,0,4
FRA-Ligue 1,2324,Metz,Ismaël Traoré,CIV,DF,37-185,1986,17.7,509,571,89.1,11007,4371,107,117,91.5,322,343,93.9,76,105,72.4,0,0.2,0.1,-0.2,2,18,1,0,28
FRA-Ligue 1,2324,Metz,Jean Frederic N'Guessan,CIV,"MF,FW",20-308,2003,1.2,37,46,80.4,682,151,14,19,73.7,19,22,86.4,3,3,100.0,0,0.0,0.0,0.0,0,3,0,0,5
FRA-Ligue 1,2324,Metz,Joel Asoro,SWE,FW,24-298,1999,8.3,81,131,61.8,1334,422,38,54,70.4,26,36,72.2,11,23,47.8,1,0.3,0.3,0.7,7,9,5,3,14
FRA-Ligue 1,2324,Metz,Joseph N'Duquidi,FRA,"MF,DF",19-111,2004,6.2,169,207,81.6,3046,690,77,93,82.8,77,93,82.8,14,18,77.8,0,0.1,0.1,-0.1,2,10,1,0,22
FRA-Ligue 1,2324,Metz,Joseph Nduquidi,FRA,MF,19-117,2004,2.1,,,,,,,,,,,,,,,0,,,,,,,,
FRA-Ligue 1,2324,Metz,Koffi Kouao,CIV,DF,25-275,1998,7.5,247,313,78.9,4344,1806,120,130,92.3,104,129,80.6,23,47,48.9,0,0.2,0.3,-0.2,4,19,4,3,24
FRA-Ligue 1,2324,Metz,Kévin N'Doram,FRA,MF,28-028,1996,11.8,345,431,80.0,7283,2428,111,133,83.5,170,203,83.7,60,79,75.9,1,0.2,0.3,0.8,5,45,3,0,52
FRA-Ligue 1,2324,Metz,Kévin Van Den Kerkhof,ALG,"FW,DF",27-342,1996,12.5,188,362,51.9,3246,837,92,135,68.1,68,128,53.1,24,59,40.7,2,1.8,1.2,0.2,9,6,13,8,20
FRA-Ligue 1,2324,Metz,Lamine Camara,SEN,MF,20-049,2004,16.0,456,620,73.5,9971,2980,128,167,76.6,225,279,80.6,94,149,63.1,3,1.8,1.5,1.2,27,52,8,2,59
FRA-Ligue 1,2324,Metz,Malick Mbaye,SEN,"MF,FW",19-319,2004,1.7,34,54,63.0,683,120,14,23,60.9,12,21,57.1,6,7,85.7,0,0.2,0.2,-0.2,2,1,1,1,1
FRA-Ligue 1,2324,Metz,Matthieu Udol,FRA,DF,27-336,1996,20.0,657,896,73.3,12107,5099,254,302,84.1,339,411,82.5,55,142,38.7,3,2.2,1.6,0.8,24,48,18,13,72
FRA-Ligue 1,2324,Metz,Maxime Colin,FRA,DF,32-096,1991,11.0,378,530,71.3,6891,3360,153,191,80.1,181,234,77.4,37,84,44.0,0,0.1,0.4,-0.1,3,39,7,5,39
FRA-Ligue 1,2324,Metz,Oscar Estupiñan,COL,FW,27-052,1996,2.9,41,61,67.2,627,74,24,31,77.4,11,18,61.1,3,5,60.0,0,0.0,0.1,0.0,1,2,1,0,2
FRA-Ligue 1,2324,Metz,Papa Amadou Diallo,SEN,"FW,MF",19-239,2004,3.0,52,78,66.7,874,212,24,35,68.6,24,30,80.0,3,7,42.9,0,0.0,0.1,0.0,3,5,1,0,10
FRA-Ligue 1,2324,Metz,Sadibou Sané,SEN,DF,19-254,2004,2.6,92,121,76.0,1948,547,25,32,78.1,50,60,83.3,16,25,64.0,0,0.0,0.0,0.0,0,3,1,1,7
FRA-Ligue 1,2324,Metz,Simon Elisor,FRA,FW,24-212,1999,8.5,111,157,70.7,1583,387,56,79,70.9,45,61,73.8,3,4,75.0,0,0.9,0.4,-0.9,10,11,2,0,14
FRA-Ligue 1,2324,Metz,Youssef Maziz,FRA,"FW,MF",25-240,1998,1.4,30,39,76.9,628,220,10,11,90.9,14,16,87.5,5,10,50.0,0,0.1,0.1,-0.1,3,4,0,0,6
FRA-Ligue 1,2324,Monaco,Aleksandr Golovin,RUS,"MF,FW",27-265,1996,18.0,690,919,75.1,11549,3697,344,405,84.9,226,296,76.4,84,144,58.3,4,3.2,4.5,0.8,36,72,48,3,133
FRA-Ligue 1,2324,Monaco,Antonin Cartillier,FRA,DF,19-241,2004,0.1,1,3,33.3,10,7,1,1,100.0,0,0,,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Monaco,Caio Henrique Oliveira Silva,BRA,DF,26-203,1997,5.9,303,380,79.7,5224,1746,133,150,88.7,140,168,83.3,26,47,55.3,4,1.1,2.0,2.9,10,18,13,2,26
FRA-Ligue 1,2324,Monaco,Chrislain Matsima,FRA,DF,21-280,2002,3.3,215,231,93.1,3943,1598,75,84,89.3,120,124,96.8,15,17,88.2,1,0.1,0.1,0.9,3,39,0,0,31
FRA-Ligue 1,2324,Monaco,Denis Zakaria,SUI,"MF,DF",27-091,1996,17.0,816,888,91.9,14734,4728,316,343,92.1,412,435,94.7,64,78,82.1,0,0.1,0.4,-0.1,5,76,4,1,69
FRA-Ligue 1,2324,Monaco,Edan Diop,FRA,"MF,DF",19-175,2004,1.3,51,71,71.8,859,274,24,30,80.0,20,26,76.9,4,8,50.0,0,0.0,0.0,0.0,0,8,0,0,6
FRA-Ligue 1,2324,Monaco,Eliesse Ben Seghir,FRA,"FW,MF",19-003,2005,1.3,50,60,83.3,800,131,22,25,88.0,24,26,92.3,2,4,50.0,0,0.0,0.1,0.0,0,3,0,0,4
FRA-Ligue 1,2324,Monaco,Eliot Matazo,BEL,MF,22-004,2002,1.1,50,63,79.4,817,348,24,28,85.7,19,26,73.1,5,7,71.4,1,1.0,0.7,0.0,2,5,1,0,10
FRA-Ligue 1,2324,Monaco,Folarin Balogun,USA,FW,22-231,2001,11.4,171,232,73.7,2116,402,98,121,81.0,47,58,81.0,3,12,25.0,3,1.7,1.3,1.3,18,13,8,0,20
FRA-Ligue 1,2324,Monaco,Guillermo Maripán,CHI,DF,29-289,1994,13.1,649,735,88.3,12927,4695,173,193,89.6,396,426,93.0,69,96,71.9,0,0.0,0.1,0.0,1,33,0,0,32
FRA-Ligue 1,2324,Monaco,Ismail Jakobs,SEN,DF,24-186,1999,13.7,512,727,70.4,7983,2575,257,312,82.4,208,285,73.0,29,87,33.3,1,1.1,1.5,-0.1,13,37,14,8,45
FRA-Ligue 1,2324,Monaco,Kassoum Ouattara,FRA,DF,19-128,2004,2.2,71,112,63.4,1134,288,36,50,72.0,30,43,69.8,4,15,26.7,0,0.4,0.3,-0.4,1,1,3,1,4
FRA-Ligue 1,2324,Monaco,Krépin Diatta,SEN,DF,24-359,1999,7.3,330,418,78.9,5351,1985,167,197,84.8,129,159,81.1,25,38,65.8,0,0.9,1.2,-0.9,12,30,13,1,49
FRA-Ligue 1,2324,Monaco,Maghnes Akliouche,FRA,"MF,FW",21-359,2002,9.2,334,433,77.1,4726,1392,197,231,85.3,103,126,81.7,14,33,42.4,2,1.5,1.6,0.5,22,33,17,3,46
FRA-Ligue 1,2324,Monaco,Mamadou Coulibaly,FRA,MF,19-304,2004,0.7,40,50,80.0,583,122,21,27,77.8,17,20,85.0,1,1,100.0,0,0.1,0.0,-0.1,1,5,1,0,4
FRA-Ligue 1,2324,Monaco,Mohamed Camara,MLI,MF,24-044,2000,9.3,552,602,91.7,9579,2677,243,255,95.3,232,248,93.5,59,69,85.5,1,0.5,0.8,0.5,12,65,8,1,62
FRA-Ligue 1,2324,Monaco,Mohammed Salisu,GHA,DF,24-308,1999,7.0,416,477,87.2,7028,2666,176,190,92.6,212,236,89.8,17,33,51.5,0,0.1,0.2,-0.1,2,64,3,0,44
FRA-Ligue 1,2324,Monaco,Myron Boadu,NED,FW,23-036,2001,0.9,10,15,66.7,114,23,5,10,50.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1
FRA-Ligue 1,2324,Monaco,Philipp Köhn,SUI,GK,25-323,1998,22.0,479,667,71.8,13030,9307,81,81,100.0,238,240,99.2,159,344,46.2,0,0.0,0.0,0.0,0,4,0,0,0
FRA-Ligue 1,2324,Monaco,Soungoutou Magassa,FRA,DF,20-134,2003,13.4,749,866,86.5,14190,5099,252,281,89.7,412,449,91.8,72,112,64.3,0,0.1,0.3,-0.1,2,68,1,0,78
FRA-Ligue 1,2324,Monaco,Takumi Minamino,JPN,"MF,FW",29-034,1995,14.3,447,595,75.1,6554,1667,253,309,81.9,144,191,75.4,23,46,50.0,5,2.9,2.8,2.1,24,38,22,1,61
FRA-Ligue 1,2324,Monaco,Thilo Kehrer,GER,DF,27-151,1996,5.0,248,296,83.8,4446,1638,93,108,86.1,129,145,89.0,21,33,63.6,0,0.3,0.1,-0.3,2,24,1,0,23
FRA-Ligue 1,2324,Monaco,Vanderson,BRA,DF,22-243,2001,13.0,508,696,73.0,8770,2598,248,300,82.7,192,263,73.0,52,97,53.6,1,1.0,1.8,0.0,14,30,22,3,47
FRA-Ligue 1,2324,Monaco,Wilfried Singo,CIV,DF,23-056,2000,15.0,804,930,86.5,15163,5178,296,331,89.4,400,438,91.3,92,136,67.6,0,0.5,0.6,-0.5,9,96,7,1,96
FRA-Ligue 1,2324,Monaco,Wissam Ben Yedder,FRA,"FW,MF",33-191,1990,15.3,310,423,73.3,4146,1050,192,237,81.0,90,125,72.0,10,19,52.6,1,2.2,3.5,-1.2,20,27,21,1,60
FRA-Ligue 1,2324,Monaco,Youssouf Fofana,FRA,MF,25-040,1999,19.5,953,1189,80.2,15706,5799,448,521,86.0,392,467,83.9,73,127,57.5,3,1.9,3.0,1.1,25,115,24,1,154
FRA-Ligue 1,2324,Montpellier,Akor Adams,NGA,FW,24-021,2000,18.2,192,292,65.8,2742,610,100,147,68.0,67,91,73.6,9,21,42.9,0,1.1,1.3,-1.1,14,11,3,2,14
FRA-Ligue 1,2324,Montpellier,Arnaud Nordin,FRA,"FW,MF",25-247,1998,5.7,139,172,80.8,1991,525,79,91,86.8,44,56,78.6,8,13,61.5,1,0.4,0.4,0.6,10,13,11,1,27
FRA-Ligue 1,2324,Montpellier,Axel Gueguin,FRA,"DF,FW",18-332,2005,1.5,28,43,65.1,389,200,17,21,81.0,8,13,61.5,1,4,25.0,0,0.1,0.1,-0.1,1,1,1,0,3
FRA-Ligue 1,2324,Montpellier,Becir Omeragic,SUI,DF,22-030,2002,15.7,571,681,83.8,10737,3741,218,244,89.3,274,299,91.6,63,108,58.3,0,0.2,0.2,-0.2,5,39,1,0,44
FRA-Ligue 1,2324,Montpellier,Benjamin Lecomte,FRA,GK,32-299,1991,22.0,479,735,65.2,14049,11117,60,61,98.4,217,225,96.4,197,439,44.9,1,0.5,0.1,0.5,2,7,0,0,0
FRA-Ligue 1,2324,Montpellier,Boubakar Kouyaté,MLI,DF,26-310,1997,14.8,509,623,81.7,9952,3680,161,188,85.6,273,312,87.5,65,103,63.1,2,1.3,0.3,0.7,5,39,1,0,45
FRA-Ligue 1,2324,Montpellier,Christopher Jullien,FRA,DF,30-334,1993,8.9,261,311,83.9,5215,1727,66,80,82.5,153,168,91.1,31,49,63.3,0,0.0,0.1,0.0,1,10,0,0,12
FRA-Ligue 1,2324,Montpellier,Elye Wahi,FRA,FW,21-048,2003,0.2,6,6,100.0,99,22,3,3,100.0,3,3,100.0,0,0,,0,0.6,0.1,-0.6,1,0,0,0,1
FRA-Ligue 1,2324,Montpellier,Enzo Tchato,CMR,"DF,MF",21-088,2002,4.6,146,198,73.7,2276,908,70,82,85.4,56,77,72.7,12,28,42.9,0,0.0,0.3,0.0,2,12,3,2,7
FRA-Ligue 1,2324,Montpellier,Falaye Sacko,MLI,DF,28-294,1995,14.1,551,716,77.0,9084,3398,244,287,85.0,251,313,80.2,36,74,48.6,1,0.4,1.3,0.6,7,37,13,6,58
FRA-Ligue 1,2324,Montpellier,Issiaga Sylla,GUI,"DF,FW",30-049,1994,10.0,347,465,74.6,6034,2624,158,197,80.2,142,174,81.6,35,67,52.2,1,1.4,0.7,-0.4,11,15,6,4,21
FRA-Ligue 1,2324,Montpellier,Jordan Ferri,FRA,MF,31-344,1992,15.1,758,914,82.9,13565,4263,298,342,87.1,335,374,89.6,85,142,59.9,1,1.5,1.7,-0.5,19,84,20,8,110
FRA-Ligue 1,2324,Montpellier,Joris Chotard,FRA,MF,22-148,2001,20.1,633,797,79.4,11928,4566,248,293,84.6,275,326,84.4,86,125,68.8,2,1.6,2.1,0.4,11,76,12,3,74
FRA-Ligue 1,2324,Montpellier,Kelvin Yeboah,ITA,FW,23-289,2000,3.1,58,79,73.4,762,190,35,40,87.5,18,26,69.2,1,4,25.0,0,0.3,0.1,-0.3,5,3,0,0,5
FRA-Ligue 1,2324,Montpellier,Khalil Fayad,FRA,"FW,MF",19-255,2004,9.0,183,230,79.6,2767,785,101,114,88.6,54,73,74.0,16,27,59.3,0,0.4,0.5,-0.4,6,16,2,1,24
FRA-Ligue 1,2324,Montpellier,Lucas Mincarelli,FRA,"DF,MF",20-045,2004,5.2,131,193,67.9,2013,786,73,94,77.7,41,53,77.4,11,27,40.7,0,0.2,0.3,-0.2,2,5,2,0,11
FRA-Ligue 1,2324,Montpellier,Léo Leroy,FRA,MF,24-005,2000,2.2,67,94,71.3,1161,571,29,40,72.5,27,32,84.4,8,15,53.3,1,0.7,0.1,0.3,2,10,2,0,19
FRA-Ligue 1,2324,Montpellier,Mamadou Sakho,FRA,DF,34-006,1990,0.1,15,16,93.8,192,105,8,8,100.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
FRA-Ligue 1,2324,Montpellier,Maxime Estève,FRA,DF,21-269,2002,11.1,289,369,78.3,5200,1826,110,130,84.6,142,171,83.0,28,55,50.9,1,0.3,0.6,0.7,5,16,0,0,23
FRA-Ligue 1,2324,Montpellier,Modibo Sagnan,FRA,DF,24-311,1999,2.9,87,110,79.1,1471,564,34,39,87.2,39,44,88.6,7,16,43.8,0,0.0,0.0,0.0,0,13,0,0,10
FRA-Ligue 1,2324,Montpellier,Musa Al-Taamari,JOR,FW,26-254,1997,15.1,278,392,70.9,3779,1099,169,208,81.3,79,110,71.8,11,19,57.9,1,2.6,1.4,-1.6,14,16,22,0,42
FRA-Ligue 1,2324,Montpellier,Sacha Delaye,FRA,"FW,MF",21-302,2002,1.1,29,38,76.3,363,80,17,20,85.0,9,11,81.8,0,3,0.0,0,0.1,0.1,-0.1,2,3,1,1,3
FRA-Ligue 1,2324,Montpellier,Silvan Hefti,SUI,"DF,FW",26-117,1997,4.0,111,160,69.4,1583,621,63,78,80.8,32,51,62.7,6,15,40.0,0,0.8,0.5,-0.8,2,5,3,1,13
FRA-Ligue 1,2324,Montpellier,Tanguy Coulibaly,FRA,"MF,FW",23-001,2001,1.9,31,42,73.8,356,69,22,25,88.0,5,8,62.5,0,1,0.0,0,0.2,0.0,-0.2,3,1,0,0,4
FRA-Ligue 1,2324,Montpellier,Théo Sainte-Luce,FRA,DF,25-122,1998,3.8,136,172,79.1,2097,901,67,73,91.8,60,75,80.0,5,14,35.7,0,0.1,0.1,-0.1,1,10,0,0,15
FRA-Ligue 1,2324,Montpellier,Téji Savanier,FRA,MF,32-059,1991,21.4,940,1354,69.4,19448,7755,359,427,84.1,329,434,75.8,209,403,51.9,5,5.3,6.5,-0.3,69,150,32,5,171
FRA-Ligue 1,2324,Montpellier,Wahbi Khazri,TUN,FW,33-011,1991,9.3,179,248,72.2,3175,933,85,111,76.6,56,74,75.7,24,40,60.0,0,1.1,0.6,-1.1,8,16,4,2,23
FRA-Ligue 1,2324,Montpellier,Yanis Ali Issoufou,FRA,FW,17-114,2006,0.1,,,,,,,,,,,,,,,0,,,,,,,,
FRA-Ligue 1,2324,Montpellier,Yann Karamoh,FRA,"FW,MF",25-226,1998,0.6,8,15,53.3,113,18,6,8,75.0,1,4,25.0,1,1,100.0,0,0.1,0.0,-0.1,1,0,0,0,0
FRA-Ligue 1,2324,Nantes,Abdoul Kader Bamba,FRA,"MF,FW",29-270,1994,4.8,179,224,79.9,2870,764,89,104,85.6,65,83,78.3,15,21,71.4,1,0.7,0.7,0.3,6,15,6,0,21
FRA-Ligue 1,2324,Nantes,Adel Mahamoud,COM,FW,21-015,2003,0.1,2,4,50.0,32,18,0,2,0.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2
FRA-Ligue 1,2324,Nantes,Adson,BRA,"MF,FW",23-136,2000,2.6,115,130,88.5,1750,378,61,64,95.3,40,46,87.0,8,10,80.0,0,0.1,0.3,-0.1,3,11,4,0,15
FRA-Ligue 1,2324,Nantes,Alban Lafont,FRA,GK,25-027,1999,15.7,431,593,72.7,11030,7639,99,100,99.0,211,212,99.5,117,277,42.2,0,0.0,0.0,0.0,0,4,0,0,2
FRA-Ligue 1,2324,Nantes,Bastien Meupiyou,FRA,DF,17-337,2006,0.1,5,5,100.0,100,3,1,1,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nantes,Bénie Adama Traore,CIV,"FW,MF",21-081,2002,1.8,28,37,75.7,348,97,21,24,87.5,6,9,66.7,0,0,,1,0.8,0.9,0.2,5,2,2,0,4
FRA-Ligue 1,2324,Nantes,Denis Petrić,SRB,GK,35-271,1988,0.3,6,8,75.0,156,126,2,2,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nantes,Douglas,BRA,MF,27-037,1997,14.6,711,824,86.3,12147,3544,313,346,90.5,309,342,90.4,63,96,65.6,0,1.1,1.5,-1.1,16,66,8,0,83
FRA-Ligue 1,2324,Nantes,Enzo Mongo,FRA,DF,18-317,2005,0.1,0,2,0.0,0,0,0,0,,0,2,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nantes,Eray Cömert,SUI,DF,26-015,1998,14.7,687,763,90.0,13782,4494,227,239,95.0,353,369,95.7,92,134,68.7,0,0.1,0.3,-0.1,3,43,4,2,41
FRA-Ligue 1,2324,Nantes,Fabien Centonze,FRA,DF,28-034,1996,1.0,37,51,72.5,640,242,15,20,75.0,16,21,76.2,5,8,62.5,0,0.0,0.2,0.0,0,1,3,3,1
FRA-Ligue 1,2324,Nantes,Florent Mollet,FRA,"MF,FW",32-092,1991,15.4,571,729,78.3,8640,2203,301,336,89.6,201,244,82.4,35,97,36.1,3,1.6,1.6,1.4,25,51,11,0,66
FRA-Ligue 1,2324,Nantes,Hugo Boutsingkham,FRA,"MF,FW",21-030,2003,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nantes,Ignatius Ganago,CMR,"FW,MF",25-003,1999,2.0,31,53,58.5,475,169,17,23,73.9,11,20,55.0,2,2,100.0,0,0.6,0.5,-0.6,4,1,3,1,5
FRA-Ligue 1,2324,Nantes,Jaouen Hadjam,ALG,DF,20-330,2003,1.2,80,103,77.7,1332,517,37,43,86.0,36,44,81.8,5,12,41.7,0,0.4,0.2,-0.4,4,6,6,3,10
FRA-Ligue 1,2324,Nantes,Jean-Charles Castelletto,CMR,DF,29-024,1995,17.6,733,861,85.1,13147,4822,276,306,90.2,375,421,89.1,60,102,58.8,0,0.3,0.6,-0.3,5,55,5,1,60
FRA-Ligue 1,2324,Nantes,Jean-Kevin Duverne,HAI,DF,26-222,1997,12.9,531,653,81.3,8981,3774,242,268,90.3,237,282,84.0,41,81,50.6,0,0.2,0.3,-0.2,3,42,7,3,57
FRA-Ligue 1,2324,Nantes,Kelvin Amian,FRA,DF,26-011,1998,1.1,27,38,71.1,486,247,11,11,100.0,14,20,70.0,2,5,40.0,0,0.2,0.2,-0.2,1,3,2,1,5
FRA-Ligue 1,2324,Nantes,Lamine Diack,SEN,MF,23-096,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nantes,Marcus Coco,FRA,DF,27-240,1996,11.6,353,464,76.1,5669,2084,167,193,86.5,147,184,79.9,22,62,35.5,0,0.9,0.6,-0.9,8,29,12,5,38
FRA-Ligue 1,2324,Nantes,Marquinhos,BRA,"FW,MF",20-318,2003,1.7,50,67,74.6,768,223,30,37,81.1,18,21,85.7,2,6,33.3,0,0.7,0.7,-0.7,5,2,4,2,4
FRA-Ligue 1,2324,Nantes,Matthis Abline,FRA,FW,20-328,2003,5.1,78,102,76.5,1087,156,50,63,79.4,18,22,81.8,5,6,83.3,0,1.5,0.5,-1.5,11,1,4,1,7
FRA-Ligue 1,2324,Nantes,Moses Simon,NGA,"FW,MF",28-222,1995,16.1,266,416,63.9,4218,1109,140,179,78.2,95,146,65.1,17,41,41.5,4,2.3,3.8,1.7,20,23,18,11,31
FRA-Ligue 1,2324,Nantes,Mostafa Mohamed,EGY,FW,26-083,1997,14.2,147,228,64.5,2162,389,79,111,71.2,47,73,64.4,12,21,57.1,1,0.6,0.5,0.4,10,11,4,2,15
FRA-Ligue 1,2324,Nantes,Moussa Sissoko,FRA,MF,34-187,1989,9.3,257,318,80.8,3886,1184,129,159,81.1,104,125,83.2,11,14,78.6,0,0.4,0.4,-0.4,6,17,4,1,38
FRA-Ligue 1,2324,Nantes,Nathan Zeze,FRA,DF,18-246,2005,5.0,137,163,84.0,2601,879,45,53,84.9,80,87,92.0,11,21,52.4,0,0.0,0.0,0.0,0,4,0,0,5
FRA-Ligue 1,2324,Nantes,Nicolas Cozza,FRA,DF,25-042,1999,1.2,10,21,47.6,175,109,3,4,75.0,5,8,62.5,1,5,20.0,0,0.0,0.0,0.0,0,2,0,0,1
FRA-Ligue 1,2324,Nantes,Nicolas Pallois,FRA,DF,36-153,1987,10.4,342,422,81.0,6829,2616,101,122,82.8,192,214,89.7,45,76,59.2,1,0.4,0.2,0.6,2,28,2,1,33
FRA-Ligue 1,2324,Nantes,Pedro Chirivella,ESP,MF,26-272,1997,20.1,1102,1270,86.8,18755,5494,501,537,93.3,455,497,91.5,101,168,60.1,0,0.6,1.8,-0.6,9,117,14,5,129
FRA-Ligue 1,2324,Nantes,Quentin Merlin,FRA,DF,21-279,2002,14.3,615,841,73.1,11723,4968,236,281,84.0,291,371,78.4,75,150,50.0,1,1.3,1.9,-0.3,18,72,28,8,98
FRA-Ligue 1,2324,Nantes,Ronaël Pierre-Gabriel,FRA,DF,25-251,1998,6.6,227,289,78.5,3413,1320,110,127,86.6,96,119,80.7,8,18,44.4,0,0.8,0.4,-0.8,2,17,3,1,17
FRA-Ligue 1,2324,Nantes,Rémy Descamps,FRA,GK,27-239,1996,6.0,128,212,60.4,4450,3581,26,26,100.0,35,35,100.0,67,150,44.7,0,0.0,0.0,0.0,0,5,0,0,0
FRA-Ligue 1,2324,Nantes,Samuel Moutoussamy,COD,MF,27-191,1996,7.7,234,289,81.0,3626,1127,126,146,86.3,88,104,84.6,11,21,52.4,0,0.5,0.5,-0.5,10,31,3,0,39
FRA-Ligue 1,2324,Nantes,Stredair Appuah,FRA,"FW,MF",19-237,2004,0.7,10,16,62.5,135,26,3,4,75.0,5,5,100.0,0,3,0.0,0,0.0,0.0,0.0,0,1,0,0,0
FRA-Ligue 1,2324,Nantes,Tino Kadewere,ZIM,"MF,FW",28-045,1996,4.3,69,97,71.1,977,328,38,46,82.6,28,34,82.4,1,7,14.3,0,0.3,0.3,-0.3,4,8,4,0,15
FRA-Ligue 1,2324,Nice,Alexis Claude-Maurice,FRA,MF,25-258,1998,2.5,96,120,80.0,1276,177,61,67,91.0,27,39,69.2,2,3,66.7,0,0.1,0.3,-0.1,2,8,3,2,6
FRA-Ligue 1,2324,Nice,Aliou Badara Baldé,SEN,FW,21-069,2002,0.6,6,15,40.0,62,11,5,8,62.5,0,3,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1
FRA-Ligue 1,2324,Nice,Antoine Mendy,FRA,DF,19-268,2004,1.0,43,47,91.5,753,216,14,15,93.3,23,24,95.8,5,6,83.3,0,0.0,0.0,0.0,0,1,0,0,2
FRA-Ligue 1,2324,Nice,Badredine Bouanani,ALG,FW,19-073,2004,1.8,54,70,77.1,959,207,24,31,77.4,20,24,83.3,9,13,69.2,0,0.5,0.4,-0.5,6,1,3,3,2
FRA-Ligue 1,2324,Nice,Bilal Brahimi,ALG,FW,23-342,2000,0.1,10,13,76.9,120,50,8,8,100.0,2,5,40.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0
FRA-Ligue 1,2324,Nice,Dante,BRA,DF,40-124,1983,20.6,1684,1866,90.2,28900,11756,785,822,95.5,739,778,95.0,119,208,57.2,1,0.8,0.8,0.2,9,108,6,1,119
FRA-Ligue 1,2324,Nice,Evann Guessand,FRA,FW,22-233,2001,11.1,144,189,76.2,1919,389,83,99,83.8,48,66,72.7,3,4,75.0,0,1.0,0.8,-1.0,8,9,6,0,22
FRA-Ligue 1,2324,Nice,Gaëtan Laborde,FRA,FW,29-292,1994,17.1,292,449,65.0,4528,1098,154,210,73.3,104,155,67.1,18,50,36.0,1,1.1,1.4,-0.1,19,21,21,11,34
FRA-Ligue 1,2324,Nice,Hicham Boudaoui,ALG,MF,24-149,1999,10.8,340,414,82.1,5036,1293,184,214,86.0,119,135,88.1,19,32,59.4,0,0.5,0.5,-0.5,10,21,7,0,39
FRA-Ligue 1,2324,Nice,Jean-Clair Todibo,FRA,DF,24-051,1999,17.6,1392,1549,89.9,23819,9759,649,676,96.0,621,662,93.8,99,178,55.6,1,0.8,0.4,0.2,5,76,3,0,91
FRA-Ligue 1,2324,Nice,Jeremie Boga,CIV,FW,27-047,1997,11.6,297,399,74.4,4615,1025,163,190,85.8,105,135,77.8,21,47,44.7,2,1.9,1.8,0.1,16,13,16,2,38
FRA-Ligue 1,2324,Nice,Jordan Lotomba,SUI,DF,25-143,1998,12.7,557,656,84.9,7854,2588,329,369,89.2,184,216,85.2,16,29,55.2,0,0.6,0.4,-0.6,9,24,10,3,40
FRA-Ligue 1,2324,Nice,Khéphren Thuram,FRA,MF,22-330,2001,13.1,534,613,87.1,8239,1901,282,311,90.7,211,239,88.3,24,36,66.7,0,2.0,1.5,-2.0,19,45,15,4,56
FRA-Ligue 1,2324,Nice,Marcin Bułka,POL,GK,24-138,1999,22.0,693,778,89.1,14270,8636,227,227,100.0,335,343,97.7,117,193,60.6,0,0.0,0.1,0.0,0,0,0,0,0
FRA-Ligue 1,2324,Nice,Melvin Bard,FRA,DF,23-105,2000,20.6,1040,1255,82.9,16597,4997,537,597,89.9,411,473,86.9,58,125,46.4,2,2.3,2.0,-0.3,14,55,20,12,81
FRA-Ligue 1,2324,Nice,Mohamed Ali Cho,FRA,"FW,MF",20-031,2004,2.4,44,70,62.9,633,150,26,31,83.9,16,24,66.7,2,10,20.0,0,0.2,0.2,-0.2,3,2,3,1,3
FRA-Ligue 1,2324,Nice,Morgan Sanson,FRA,MF,29-185,1994,17.9,543,723,75.1,9288,2350,256,291,88.0,202,253,79.8,60,127,47.2,3,3.6,3.4,-0.6,35,42,18,5,64
FRA-Ligue 1,2324,Nice,Pablo Rosario,NED,"DF,MF",27-043,1997,12.6,629,704,89.3,10473,3507,278,305,91.1,305,327,93.3,30,46,65.2,0,0.5,0.6,-0.5,10,52,8,2,57
