,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,27-034,1997,17.9,1050,1208,86.9,19813,6435,331,359,92.2,623,664,93.8,82,160,51.3,0,0.4,0.6,-0.4,7,105,10,1,98
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"MF,FW",31-252,1992,0.3,20,24,83.3,265,63,11,14,78.6,8,9,88.9,0,0,,0,0.0,0.0,0.0,0,4,0,0,5
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,34-042,1990,1.0,30,39,76.9,675,414,12,12,100.0,11,11,100.0,7,16,43.8,0,0.0,0.0,0.0,0,1,0,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20-234,2003,0.3,14,15,93.3,212,72,8,8,100.0,6,7,85.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30-343,1993,0.3,5,5,100.0,119,86,0,0,,2,2,100.0,2,2,100.0,0,0.0,0.2,0.0,1,1,0,0,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26-288,1997,9.3,406,501,81.0,6394,2050,218,242,90.1,155,184,84.2,23,36,63.9,4,1.7,1.5,2.3,10,51,18,1,79
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30-256,1993,7.8,294,381,77.2,4209,1091,174,198,87.9,106,137,77.4,9,17,52.9,0,0.9,0.9,-0.9,10,6,10,2,16
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32-296,1991,12.2,424,547,77.5,6834,2808,213,233,91.4,178,215,82.8,28,79,35.4,2,0.6,1.0,1.4,7,31,13,9,51
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,20-182,2003,6.2,191,254,75.2,2997,908,99,125,79.2,71,80,88.8,14,33,42.4,1,0.5,0.5,0.5,7,11,7,1,26
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,FW,24-043,2000,11.8,223,313,71.2,3252,632,129,162,79.6,77,102,75.5,7,15,46.7,1,1.9,0.8,-0.9,14,12,15,2,28
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,26-106,1997,3.0,120,151,79.5,2223,764,51,61,83.6,57,66,86.4,11,21,52.4,0,0.0,0.0,0.0,1,11,2,0,6
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"FW,DF",22-008,2002,5.7,153,238,64.3,2428,655,81,108,75.0,54,81,66.7,13,24,54.2,0,0.5,0.5,-0.5,7,8,7,4,14
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,"FW,MF",26-226,1997,3.1,95,132,72.0,1545,666,47,55,85.5,34,42,81.0,10,23,43.5,1,1.0,0.5,0.0,8,14,12,3,21
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,26-158,1997,23.7,257,343,74.9,3167,763,175,208,84.1,55,74,74.3,7,11,63.6,3,1.7,1.3,1.3,21,14,14,3,39
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,"MF,FW",26-285,1997,0.3,4,6,66.7,38,0,4,5,80.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,24-003,2000,0.5,18,27,66.7,244,59,10,11,90.9,6,8,75.0,1,3,33.3,0,0.0,0.0,0.0,1,3,0,0,3
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,21-171,2002,24.0,974,1194,81.6,20501,7141,259,306,84.6,579,621,93.2,126,239,52.7,0,0.3,0.4,-0.3,5,75,7,0,70
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26-267,1997,2.0,56,68,82.4,1211,583,19,19,100.0,29,30,96.7,8,19,42.1,0,0.0,0.0,0.0,0,0,0,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,FW,24-080,1999,1.7,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0,0.0,0.0,0.0,0,3,1,0,8
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,22-040,2002,0.8,27,37,73.0,530,231,12,14,85.7,8,13,61.5,5,7,71.4,0,0.0,0.0,0.0,0,6,0,0,4
